"","PBNleg","dscrPhase","PBNlegPercent","PBNLegChange","PBNdeviation","bank","angdifHCl","angdifSCl","discrSettingNextHdg","dscrTimeWPTCheckCurrLeg","dscrTimeWPTCheckNxtLeg","dscrTimeNavlogCheck","dscrTimeMapCheck","dscrTimeTrackCheck","dscrTimeMapClick","dscrPBNdeviationIntegrCorr"
"7",0,2,10,1,-0.00321142,0,-2.8,-1,0,0,0,0,0,0,0,0
"14",0,2,21,0,-0.00634679,0,-2.8,-1,0,0,0,0,0,0,0,0
"21",0,2,31,0,-0.00934094,2,-2.8,-1,0,0,0,0,0,0,0,0
"28",0,3,42,0,-0.01106716,1.93,-2.5,-2,0,0,0,0,0,0,0,0
"35",0,3,53,0,-0.01177891,-0.21,-2.3,-2,0,0,0,0,0,0,0,0
"42",0,3,65,0,-0.01248334,0.16,-2.3,-2,0,0,0,0,0,0,0,0
"49",0,3,76,0,-0.01297832,0.48,-2.2,-2,0,0,0,0,0,0,0,0
"56",0,3,86,0,-0.01304822,0.14,-2.2,-2,0,0,0,4,0,0,0,0
"63",0,3,97,0,-0.01288485,0.14,-2.1,-2,0,0,0,3,0,0,0,0
"70",1,4,5,1,-0.00246347,-0.17,0.9,-23,0,0,0,3,0,0,0,0
"77",1,4,13,0,0.01127798,-7.75,0.4,-23,0,0,0,3,0,0,0,0
"84",1,4,20,0,0.01589883,-18.56,-2.3,-23,0,0,0,3,0,0,0,0
"91",1,4,27,0,3.115e-05,-21.11,-7.4,-23,0,0,0,3,0,0,0,0
"98",1,4,34,0,-0.03663747,-13.09,-11,-22,0,0,0,3,0,0,0,0
"105",1,4,41,0,-0.08723723,-8.35,-13.7,-22,0,0,0,3,0,0,0,0
"112",1,4,48,0,-0.14536146,-7.16,-3.6,-10,0,0,0,3,3,0,0,0
"119",1,4,55,0,-0.15716345,-5.24,-5.1,-10,0,0,0,3,3,0,0,0
"126",1,4,62,0,-0.17494384,-4,-6.3,-10,0,0,0,2,3,0,0,0
"133",1,3,70,0,-0.1537748,-3.06,2.8,0,0,0,0,2,3,0,0,0
"140",1,3,78,0,-0.13465233,-0.03,2.2,25,1,0,0,2,3,0,0,0
"147",1,3,85,0,-0.11471197,10.05,2.9,25,1,0,0,2,2,0,0,0
"154",1,3,92,0,-0.0835338,19.89,6.3,25,1,0,0,2,2,0,0,0
"161",1,3,99,0,-0.0308704,18.22,11.4,25,1,0,0,2,2,0,0,0
"168",2,4,3,1,-0.04930749,10.28,-10,0,0,0,0,2,2,0,0,0
"175",2,4,7,0,-0.08012543,8.3,-7.8,0,0,0,0,2,2,0,0,0
"182",2,4,11,0,-0.10205629,6.51,-5.9,0,0,0,0,2,2,0,0,0
"189",2,4,15,0,-0.11678758,4.86,-4.5,0,0,0,0,4,2,0,0,0
"196",2,4,19,0,-0.1261428,3.74,-3.4,0,0,0,0,3,2,0,0,0
"203",2,4,23,0,-0.13130617,2.86,-2.6,0,0,0,0,3,2,0,0,0
"210",2,4,27,0,-0.1332355,2.19,-2,0,0,0,0,3,2,0,0,0
"217",2,4,32,0,-0.13252339,5.46,-1.4,5,0,0,0,3,2,0,0,0
"224",2,4,36,0,-0.12611887,6.1,0.100000000000023,5,0,0,0,3,1,0,0,0
"231",2,2,40,0,-0.11347162,3.8,1.30000000000001,5,0,0,0,4,1,0,0,0
"238",2,2,44,0,-0.0961412,3.16,2.10000000000002,5,0,0,0,3,1,0,0,0
"245",2,2,48,0,-0.0752171,2.39,2.80000000000001,5,0,0,0,3,1,0,0,0
"252",2,2,52,0,-0.05138359,1.82,3.30000000000001,5,0,0,0,3,1,0,0,0
"259",2,2,56,0,-0.02640773,1.41,3.69999999999999,5,0,0,0,3,1,0,0,0
"266",2,2,60,0,0.0010154,1.08,4,5,0,0,0,2,1,0,0,0
"273",2,2,64,0,0.02961881,0.83,4.19999999999999,5,0,0,0,2,1,0,0,0
"280",2,2,68,0,0.05849622,0.64,4.39999999999998,5,0,0,0,2,1,0,0,0
"287",2,2,73,0,0.08918229,0.49,4.60000000000002,5,0,0,0,2,1,0,0,0
"294",2,3,77,0,0.12004872,0.38,4.69999999999999,5,0,0,0,2,1,0,0,0
"301",2,3,81,0,0.15132041,0.29,4.69999999999999,5,0,0,0,2,1,0,0,0
"308",2,3,85,0,0.18308723,0.22,4.80000000000001,5,0,0,0,3,1,0,0,0
"315",2,3,89,0,0.21439978,0.17,4.80000000000001,5,0,0,0,3,1,0,0,0
"322",2,3,93,0,0.24661264,0.13,4.89999999999998,5,0,0,0,3,1,0,0,0
"329",2,3,98,0,0.27909331,0.11,4.89999999999998,102,1,0,0,3,1,0,0,0
"336",3,4,1,1,0.30106661,6.6,0.300000000000011,97,0,0,0,4,1,0,0,1
"343",3,4,4,0,0.31815433,17.37,2.69999999999999,97,0,0,0,3,1,0,0,1
"350",3,4,7,0,0.31658512,28.1,-2,87,0,0,0,3,1,0,0,1
"357",3,4,10,0,0.32965592,30.75,-4.19999999999999,77,0,0,0,3,1,0,0,1
"364",3,4,13,0,0.34004746,29.8,3.5,77,0,0,0,3,4,0,0,1
"371",3,4,16,0,0.36127863,30.04,1,67,0,0,0,2,3,4,0,2
"378",3,4,18,0,0.39673439,29.99,8.5,67,0,0,0,2,3,3,0,2
"385",3,4,22,0,0.42164168,30,6,57,0,0,0,2,3,3,0,2
"392",3,4,25,0,0.46069053,30,3.19999999999999,47,0,0,0,2,3,3,0,2
"399",3,4,27,0,0.50747604,30,10.6,47,0,0,0,2,3,3,0,2
"406",3,4,31,0,0.54795858,29.98,8.10000000000002,37,0,0,0,2,2,3,0,2
"413",3,4,34,0,0.59833132,24.5,5,27,0,0,0,2,2,2,0,2
"420",3,4,37,0,0.64912029,18.03,10,27,0,0,0,2,2,2,0,2
"427",3,4,41,0,0.67201621,14.36,3.69999999999999,17,0,0,0,2,2,2,0,2
"434",3,4,44,0,0.67942355,11.17,-3.39999999999998,-6,0,0,0,2,2,2,0,2
"441",3,4,48,0,0.67402634,5.19,-7.19999999999999,-12,0,0,0,2,2,2,0,2
"448",3,2,51,0,0.6408934,-4.78,-8.69999999999999,-14,0,0,0,1,3,4,0,2
"455",3,2,53,0,0.60141741,-5.2,-10,-14,0,0,0,1,3,3,0,2
"462",3,2,56,0,0.55619949,-2.99,-10.9,-14,0,0,0,1,3,3,0,2
"469",3,2,59,0,0.50739323,-2.66,-11.6,-14,0,0,0,4,3,3,0,2
"476",3,2,61,0,0.45562099,-1.99,-12.1,-14,0,0,0,3,3,3,0,2
"483",3,2,64,0,0.40159158,-1.57,-12.5,-14,0,0,0,3,2,3,0,2
"490",3,2,66,0,0.34564921,-1.22,-12.9,-14,0,0,0,3,2,2,0,2
"497",3,2,69,0,0.28830265,-0.95,-13.1,-14,0,0,0,4,2,2,0,0
"504",3,2,72,0,0.23140851,-0.75,-13.3,-14,0,0,0,3,2,2,0,0
"511",3,2,74,0,0.17198714,-0.59,-13.4,-1,0,0,0,3,2,2,0,0
"518",3,2,77,0,0.1120456,3.79,-13.4,-1,0,0,0,4,2,2,0,0
"525",3,2,80,0,0.05658148,12.55,-11.9,-1,0,0,0,3,2,2,0,0
"532",3,2,82,0,0.01391484,9.31,-9.19999999999999,-1,0,0,0,3,2,2,0,0
"539",3,3,85,0,-0.01783963,6.62,-7.39999999999998,-1,0,0,0,3,2,2,0,0
"546",3,3,88,0,-0.04211159,5.69,-6,9,0,0,0,3,2,2,0,0
"553",3,3,91,0,-0.05896635,12.72,-4.30000000000001,9,0,0,0,3,2,2,0,0
"560",3,3,93,0,-0.06236083,12.55,-1.30000000000001,9,0,0,0,3,1,2,0,0
"567",3,3,96,0,-0.0514385,8.15,1.09999999999999,9,0,0,0,3,1,1,0,0
"574",3,3,99,0,-0.03146673,10.43,2.80000000000001,92,1,0,0,3,1,1,0,0
"581",4,4,1,1,-0.01054875,20.58,0.900000000000006,87,0,0,0,3,1,1,0,0
"588",4,4,4,0,0.0223077,30.29,6.80000000000001,87,0,0,0,3,1,1,0,0
"595",4,4,7,0,0.05887981,30.1,4.40000000000001,77,0,0,0,2,1,1,0,0
"602",4,4,10,0,0.1142235,29.94,11.4,77,0,0,0,2,1,1,0,0
"609",4,4,12,0,0.16568212,30.02,8.5,67,0,0,0,2,1,1,0,0
"616",4,4,15,0,0.24256237,29.99,15.6,67,0,0,0,2,1,1,0,0
"623",4,4,18,0,0.3049308,30,12.6,57,0,0,0,2,1,1,0,1
"630",4,4,22,0,0.38947256,30,9.59999999999999,47,0,0,0,2,1,1,0,1
"637",4,4,24,0,0.47278701,30,16.7,47,0,0,0,4,1,1,0,1
"644",4,4,28,0,0.56013618,26.22,13.4,37,0,0,0,3,4,1,0,1
"651",4,4,31,0,0.6545321,19.73,8.40000000000001,27,0,0,0,3,3,1,0,2
"658",4,4,34,0,0.72408549,15.82,12.3,27,0,0,0,3,3,1,0,2
"665",4,4,38,0,0.78161798,12.49,5.39999999999998,17,0,0,0,3,3,1,0,2
"672",4,4,42,0,0.82055231,9.87,-2.19999999999999,7,0,0,0,3,3,1,0,1
"679",4,4,45,0,0.82690614,6.26,-0.300000000000011,-13,0,0,0,2,3,1,0,1
"686",4,2,49,0,0.81137897,-3.68,-7.69999999999999,-21,0,0,0,2,2,1,0,1
"693",4,2,52,0,0.77480725,-13.19,-9.19999999999999,-21,0,0,0,2,2,1,0,2
"700",4,2,54,0,0.72460785,-10.28,-12,-21,0,0,0,2,4,4,0,2
"707",4,2,57,0,0.66378283,-7.44,-13.8,-21,0,0,0,2,3,3,0,2
"714",4,2,60,0,0.59326613,-6.19,-15.3,-21,0,0,0,4,3,3,0,2
"721",4,2,63,0,0.51574221,-4.78,-16.5,-11,0,0,0,3,3,3,0,2
"728",4,2,66,0,0.43370118,3.21,-17,-11,0,0,0,3,3,3,0,2
"735",4,2,68,0,0.35456309,6.31,-15.9,-11,0,0,0,3,2,3,0,2
"742",4,2,71,0,0.28177904,3.83,-14.8,-11,0,0,0,4,2,2,0,0
"749",4,2,74,0,0.21335649,3.3,-14,-11,0,0,0,3,2,2,0,0
"756",4,2,77,0,0.14848585,2.6,-13.4,9,0,0,0,3,2,2,0,0
