"","PBNleg","dscrPhase","PBNlegPercent","PBNLegChange","PBNdeviation","bank","angdifHCl","angdifSCl","discrSettingNextHdg","dscrTimeWPTCheckCurrLeg","dscrTimeWPTCheckNxtLeg","dscrTimeNavlogCheck","dscrTimeMapCheck","dscrTimeTrackCheck","dscrTimeMapClick","dscrPBNdeviationIntegrCorr"
"7",0,2,10,1,-0.00323339,0,-2.8,-1,0,0,0,0,0,0,0,0
"14",0,2,21,0,-0.0064073,0.11,-2.8,-1,0,0,0,0,0,0,0,0
"21",0,2,31,0,-0.00915878,2.1,-2.7,-1,0,0,0,0,0,0,0,0
"28",0,3,42,0,-0.01057075,1.49,-2.5,-1,0,0,0,0,0,0,0,0
"35",0,3,54,0,-0.01080237,1.27,-2.2,-1,0,0,0,0,4,4,0,0
"42",0,3,65,0,-0.00970043,0.99,-1.9,-1,0,0,0,0,3,3,0,0
"49",0,3,76,0,-0.00746765,0.77,-1.7,-1,0,0,0,0,3,3,0,0
"56",0,3,87,0,-0.00441767,0.61,-1.6,-1,0,0,0,0,3,3,0,0
"63",0,3,97,0,-0.00085735,0.47,-1.4,-1,0,0,0,0,3,3,0,0
"70",1,4,5,1,0.01336216,0.36,1.7,2,1,0,0,3,2,3,0,0
"77",1,4,12,0,0.03223011,0.28,1.7,-23,0,0,0,3,2,2,0,0
"84",1,4,20,0,0.05103633,-3.96,1.7,-23,0,0,0,3,2,2,0,0
"91",1,4,27,0,0.06425007,-14.6,-0.1,-23,0,0,0,3,2,2,0,0
"98",1,4,34,0,0.06277693,-21.84,-3.6,-22,0,0,0,3,2,2,0,0
"105",1,4,41,0,0.03906704,-15.82,-8.8,-22,0,0,0,2,2,2,0,0
"112",1,4,48,0,-0.0025824,-10.71,-12.1,-22,0,0,0,2,2,2,0,0
"119",1,4,55,0,-0.0020046,-8.21,-2.5,-10,0,0,0,4,2,2,0,0
"126",1,4,62,0,-0.00937011,-6.26,-4.2,-10,0,0,0,3,2,2,0,0
"133",1,3,69,0,0.01219018,-4.75,4.4,0,0,0,0,3,2,2,0,0
"140",1,3,76,0,0.03714019,-3.62,3.3,0,0,0,0,3,2,2,0,0
"147",1,3,83,0,0.0583366,-2.75,2.5,0,0,0,0,3,2,2,0,0
"154",1,3,90,0,0.07622831,-2.1,1.9,0,0,0,0,3,1,1,0,0
"161",1,3,97,0,0.09185362,-1.6,1.5,0,0,0,0,2,1,1,0,0
"168",2,4,3,1,0.02701979,-1.22,-23.9,-25,0,0,0,2,1,1,0,0
"175",2,4,7,0,-0.07418205,-0.93,-24.1,-25,0,0,0,2,1,1,0,0
"182",2,4,10,0,-0.17646471,-0.71,-24.3,-25,0,0,0,2,1,1,0,0
"189",2,4,14,0,-0.281015,-0.54,-24.5,-25,0,0,0,2,1,1,0,0
"196",2,4,18,0,-0.38541433,-0.32,-24.6,5,0,0,0,2,1,1,0,1
"203",2,4,22,0,-0.48948223,7.63,-24.2,5,0,0,0,2,4,1,0,1
"210",2,4,25,0,-0.58479267,18.38,-21.5,5,0,0,0,2,3,3,0,1
"217",2,4,29,0,-0.66064749,25.1,-16,5,0,0,0,2,3,3,0,2
"224",2,4,33,0,-0.70926415,23.97,-9.8,15,0,0,0,2,3,3,0,2
"231",2,2,37,0,-0.72936869,21.11,-4,15,0,0,0,2,3,3,0,2
"238",2,2,42,0,-0.72474665,15.61,0.600000000000023,15,0,0,0,4,3,3,0,2
"245",2,2,46,0,-0.70263689,12.03,3.89999999999998,15,0,0,0,3,2,2,0,2
"252",2,2,50,0,-0.66687322,9.23,6.5,15,0,0,0,3,2,2,0,2
"259",2,2,54,0,-0.62050712,7.07,8.5,15,0,0,0,3,2,2,0,2
"266",2,2,58,0,-0.56686117,5.44,10,15,0,0,0,3,2,2,0,2
"273",2,2,62,0,-0.50644163,4.17,11.2,15,0,0,0,3,2,2,0,2
"280",2,2,66,0,-0.44147775,3.2,12.1,15,0,0,0,4,2,2,0,2
"287",2,2,70,0,-0.37306291,2.46,12.7,15,0,0,0,3,2,2,0,2
"294",2,3,74,0,-0.30197169,1.89,13.3,15,0,0,0,3,2,2,0,2
"301",2,3,78,0,-0.22961332,1.02,13.6,0,0,0,0,3,2,2,0,0
"308",2,3,82,0,-0.15599393,-8.26,13.3,0,0,0,0,3,4,2,0,0
"315",2,3,86,0,-0.09044209,-13.16,10.7,0,0,0,0,3,3,3,0,0
"322",2,3,90,0,-0.04004728,-8.68,8,0,0,0,0,2,3,3,0,0
"329",2,3,95,0,0.00182506,-6.68,6.19999999999999,0,0,0,0,2,3,3,0,0
"336",2,3,99,0,0.03532507,-5.16,4.80000000000001,0,0,0,0,2,3,3,0,0
"343",3,4,2,1,0.04640132,-3.99,-1.30000000000001,-5,0,0,0,2,3,3,0,0
"350",3,4,4,0,0.0460756,-3.08,-2.19999999999999,-5,0,0,0,2,2,2,0,0
"357",3,4,7,0,-0.00161757,-2.37,-12.8,-15,0,0,0,2,2,2,0,0
"364",3,4,9,0,-0.05976018,-1.82,-23.3,-25,0,0,0,2,2,2,0,0
"371",3,4,12,0,-0.16328528,-1.41,-23.7,-25,0,0,0,2,2,2,0,0
"378",3,4,14,0,-0.26956133,-1.09,-24,-25,0,0,0,2,2,2,0,0
"385",3,4,16,0,-0.41965732,-0.84,-34.2,-35,0,0,0,2,2,2,0,1
"392",3,4,18,0,-0.57369439,-0.65,-34.4,-35,0,0,0,2,2,2,0,1
"399",3,4,19,0,-0.74640547,-0.5,-44.5,-45,0,0,0,1,2,2,0,2
"406",3,4,21,0,-0.93665494,-0.39,-44.6,-45,0,0,0,1,2,2,0,1
"413",3,4,23,0,-1.13170222,-0.3,-44.7,-45,0,0,0,4,2,2,0,1
"420",3,4,25,0,-1.33625199,-0.23,-44.8,-45,0,0,0,3,2,2,0,1
"427",3,4,24,0,-1.56410594,0.93,-54.8,47,0,0,0,3,1,1,0,1
"434",3,4,26,0,-1.79065157,10.88,-53.9,47,0,0,0,3,4,4,0,1
"441",3,4,28,0,-2.00792929,21.56,-50.5,47,0,0,0,3,3,3,0,1
"448",3,4,30,0,-2.21831754,30.17,-44.1,47,0,0,0,3,3,3,0,1
"455",3,4,32,0,-2.42083785,29.99,-36.4,47,0,0,0,2,3,3,0,1
"462",3,4,30,0,-2.60417678,30,-39.1,37,0,0,0,2,3,3,0,1
"469",3,4,32,0,-2.76244416,30,-31.8,37,0,0,0,2,3,2,0,1
"476",3,4,34,0,-2.89353651,30,-24.4,37,0,0,0,2,2,2,0,1
"483",3,4,37,0,-3.01331568,30,-17.1,37,0,0,0,2,2,2,0,1
