"","PBNleg","dscrPhase","PBNdeviation","bank","angleBrM","angdifHCl","angdifSCl","discrSettingNextHdg","dscrTimeWPTCheckCurrLeg","dscrTimeWPTCheckNxtLeg","dscrTimeNavlogCheck","dscrTimeMapCheck","dscrTimeTrackCheck","dscrTimeMapClick","dscrPBNdeviationIntegrCorr"
"7",0,2,-0.00300384,0,-2.8,-2.8,-1,0,0,0,0,0,0,0,0
"14",0,2,-0.00601179,1.43,-2.8,-2.8,-1,0,0,0,0,0,0,0,0
"21",0,2,-0.00788319,2.19,-2.5,-2.5,-2,0,0,0,0,0,0,0,0
"28",0,3,-0.00790187,-0.27,-2.1,-2.1,-2,0,0,0,0,0,0,0,0
"35",0,3,-0.00792512,-0.1,-2.2,-2.2,-2,0,0,0,4,0,0,0,0
"42",0,3,-0.0080242,0.44,-2.2,-2.2,-2,0,0,0,3,0,0,0,0
"49",0,3,-0.00774495,0.09,-2.1,-2.1,-2,0,0,0,3,0,0,0,0
"56",0,3,-0.00736602,0.08,-2.1,-2.1,-2,0,0,0,3,0,0,0,0
"63",0,3,-0.0069268,-2.05,-2.1,-2.1,-26,1,0,0,3,0,0,0,0
"70",1,4,-0.0029914,-11.54,-0.2,-0.2,-23,0,0,0,3,0,0,0,0
"77",1,4,-0.00433305,-21.08,-3.9,-3.9,-23,0,0,0,4,0,0,0,0
"84",1,4,-0.0289276,-18.98,-9.3,-9.3,-23,0,0,0,3,0,0,0,0
"91",1,4,-0.07488572,-10.23,-13.3,-13.3,-23,0,0,0,3,0,0,0,0
"98",1,4,-0.13245657,-7.91,-14.4,-14.4,-22,0,0,0,3,0,0,0,0
"105",1,4,-0.19528338,-6.39,-16.2,-16.2,-22,0,0,0,3,0,0,0,0
"112",1,4,-0.26505932,-4.66,-17.7,-17.7,-22,0,0,0,3,4,0,0,0
"119",1,4,-0.29934205,-3.61,-6.7,-6.7,-10,0,0,0,2,3,0,0,0
"126",1,4,-0.32321313,-2.74,-7.5,-7.5,-10,0,0,0,2,3,0,0,1
