"","PBNleg","dscrPhase","PBNlegPercent","PBNLegChange","PBNdeviation","bank","angdifHCl","angdifSCl","discrSettingNextHdg","dscrTimeWPTCheckCurrLeg","dscrTimeWPTCheckNxtLeg","dscrTimeNavlogCheck","dscrTimeMapCheck","dscrTimeTrackCheck","dscrTimeMapClick","dscrPBNdeviationIntegrCorr"
"7",0,2,11,1,-0.00323644,-0.01,-2.8,-1,0,0,0,0,0,0,0,0
"14",0,2,21,0,-0.00644011,0.31,-2.8,-1,0,0,0,0,0,0,0,0
"21",0,2,32,0,-0.00914058,2.39,-2.6,-1,0,0,0,0,0,0,0,0
"28",0,3,43,0,-0.00986922,1.6,-2.3,-1,0,0,0,0,0,0,0,0
"35",0,3,54,0,-0.00926758,0.83,-2,-1,0,0,0,0,0,0,0,0
"42",0,3,65,0,-0.00773223,0.97,-1.8,-1,0,0,0,0,4,0,0,0
"49",0,3,76,0,-0.00522683,0.74,-1.6,-1,0,0,0,0,3,0,0,0
"56",0,3,86,0,-0.00188642,0.5,-1.5,-1,0,0,0,0,3,4,0,0
"63",0,3,97,0,0.001864,0.43,-1.4,-1,0,0,0,4,3,3,0,0
"70",1,4,5,1,0.01537241,0.33,1.7,2,1,0,0,3,3,3,0,0
"77",1,4,12,0,0.03452733,0.24,1.8,2,1,0,0,3,2,3,0,0
"84",1,4,19,0,0.05319084,0.19,1.8,2,1,0,0,3,2,3,0,0
"91",1,4,26,0,0.07232543,0.14,1.9,2,1,0,0,3,2,3,0,0
"98",1,4,33,0,0.0921681,0.11,2.9,3,1,0,0,3,2,2,0,0
"105",1,4,40,0,0.11512922,0.08,2.9,3,1,0,0,2,2,2,0,0
"112",1,4,47,0,0.13724718,0.06,2.9,3,1,0,0,2,2,2,0,0
"119",1,4,53,0,0.20886993,0.05,15,15,1,0,0,2,2,2,0,0
"126",1,4,60,0,0.28558507,0.04,15,15,1,0,0,4,2,2,0,0
"133",1,3,65,0,0.37942563,0.03,25,25,1,0,0,3,2,2,0,1
"140",1,3,71,0,0.50034908,0.02,25,0,0,0,0,3,2,2,0,1
"147",1,3,78,0,0.62114277,-4.7,24.8,0,0,0,0,3,2,2,0,1
"154",1,3,84,0,0.73373021,-15.17,22.9,0,0,0,0,3,2,2,0,2
"161",1,3,91,0,0.8319102,-22.31,18.3,0,0,0,0,2,1,2,0,1
"168",2,4,4,1,0.86303437,-16.64,-12.1,-25,0,0,0,2,1,2,0,1
"175",2,4,8,0,0.80505704,-9.57,-15.4,-25,0,0,0,2,3,4,0,1
"182",2,4,12,0,0.73391525,-8.15,-17.5,-25,0,0,0,2,3,3,0,2
"189",2,4,16,0,0.65673389,-6.19,-19.3,-25,0,0,0,2,3,3,0,2
"196",2,4,20,0,0.5705835,-4.66,-20.7,-25,0,0,0,4,3,3,0,2
"203",2,4,24,0,0.48139864,-3.6,-21.7,-25,0,0,0,3,3,3,0,2
"210",2,4,28,0,0.38798907,-2.75,-22.4,-25,0,0,0,3,4,3,0,2
"217",2,4,32,0,0.28852777,-2.1,-23.1,-25,0,0,0,3,3,2,0,0
"224",2,4,35,0,0.19072739,-1.61,-23.5,-25,0,0,0,3,3,2,0,0
"231",2,4,39,0,0.08838012,-0.56,-23.8,0,0,0,0,3,3,2,0,0
"238",2,2,43,0,-0.01121757,8.12,-23.4,0,0,0,0,2,3,2,0,0
"245",2,2,47,0,-0.10470889,18.92,-20.5,0,0,0,0,2,3,2,0,0
"252",2,2,51,0,-0.17829693,20.44,-15.4,0,0,0,0,2,2,2,0,0
"259",2,2,55,0,-0.2278365,12.15,-11.1,0,0,0,0,2,2,2,0,0
"266",2,2,59,0,-0.26408374,9.04,-8.6,0,0,0,0,2,2,2,0,0
"273",2,2,63,0,-0.29044997,7.32,-6.7,0,0,0,0,2,2,2,0,0
"280",2,2,67,0,-0.30820589,5.5,-5.1,0,0,0,0,2,4,2,0,1
"287",2,2,71,0,-0.32027595,4.24,-3.9,0,0,0,0,2,3,4,0,1
"294",2,3,75,0,-0.32737869,3.28,-3,0,0,0,0,2,3,3,0,1
"301",2,3,80,0,-0.33098269,2.97,-2.3,10,0,0,0,2,3,3,0,1
