"","PBNleg","PBNdeviation","bank","angleBrM","angdifHCl","angdifSCl","discrSettingNextHdg","dscrTimeWPTCheckCurrLeg","dscrTimeWPTCheckNxtLeg","dscrTimeNavlogCheck","dscrTimeMapCheck","dscrTimeTrackCheck","dscrTimeMapClick","dscrPBNdeviationIntegrCorr"
"259",2,0.03139087,-2.57,2.80000000000001,2.80000000000001,1,0,0,2,3,1,0,1,0
"266",2,0.05130184,-1.24,2.30000000000001,2.30000000000001,-2,0,0,2,3,1,0,1,0
"273",2,0.06943423,-4.19,1.80000000000001,1.80000000000001,-4,0,0,1,3,1,0,1,0
"280",2,0.08328485,-5.45,0.699999999999989,0.699999999999989,-4,0,0,1,4,1,0,1,0
"287",2,0.0913985,-3.86,-0.4,-0.4,-4,0,0,1,3,1,0,1,0
"294",2,0.09509561,-2.93,-1.3,-1.3,-4,0,0,1,3,1,0,1,0
"301",2,0.09556116,-2.29,-1.9,-1.9,-4,0,0,1,3,1,0,1,0
"308",2,0.09338699,-1.74,-2.4,-2.4,-4,0,0,1,3,4,0,1,0
"315",2,0.08930135,-1.34,-2.7,-2.7,-4,0,0,1,3,3,0,1,0
"322",2,0.08366923,-1.03,-3,-3,-4,0,0,1,2,3,0,1,0
"329",2,0.07704252,-0.8,-3.3,-3.3,-4,0,0,1,2,3,0,1,0
"336",3,0.06742961,2.04,-8.4,-8.4,97,0,0,1,2,3,0,1,0
"343",3,0.03889147,12.18,-7.1,-7.1,97,0,0,1,2,2,0,1,0
"350",3,0.0112964,23.04,-13.2,-13.2,87,0,0,1,2,2,0,1,0
"357",3,-0.02518032,30.97,-6.30000000000001,-6.30000000000001,87,0,0,1,2,2,0,1,0
"364",3,-0.04465245,29.91,-8.19999999999999,-8.19999999999999,77,0,0,1,2,2,0,1,0
"371",3,-0.05425733,29.98,-0.699999999999989,-0.699999999999989,77,0,0,1,2,2,0,1,0
"378",3,-0.05501057,30.01,-3.30000000000001,-3.30000000000001,67,0,0,1,2,2,0,1,0
"385",3,-0.04031628,30,4.30000000000001,4.30000000000001,67,0,0,1,2,2,0,1,0
"392",3,-0.0246191,30,1.60000000000002,1.60000000000002,57,0,0,1,2,2,0,1,0
"399",3,0.01387054,30,9,9,57,0,0,1,1,2,0,1,0
"406",3,0.04604003,30,6.5,6.5,47,0,0,1,1,2,0,1,0
"413",3,0.10420384,30,3.89999999999998,3.89999999999998,37,0,0,1,1,2,0,1,0
"420",3,0.15449542,28.74,11.2,11.2,31,0,0,1,1,1,0,1,0
"427",3,0.22109886,19.91,7.39999999999998,7.39999999999998,18,0,0,1,1,1,0,1,0
"434",3,0.28024406,9.31,11,11,18,0,0,1,4,1,0,1,0
"441",3,0.31509396,5.06,2.60000000000002,2.60000000000002,8,0,0,1,3,1,0,1,1
"448",3,0.33556961,2.56,-6.39999999999998,-6.39999999999998,-5,0,0,1,3,1,0,1,1
"455",3,0.3141388,0.65,-6,-6,-5,0,0,1,3,1,0,1,1
"462",3,0.27778282,1.03,-13.8,-13.8,-13,0,0,1,3,4,0,1,0
"469",3,0.21765226,0.67,-13.6,-13.6,-13,0,0,1,3,3,0,1,0
"476",3,0.15814787,0.56,-13.5,-13.5,-13,0,0,1,3,3,0,1,0
"483",3,0.0992176,0.43,-13.4,-13.4,-13,0,0,1,3,3,0,0,0
"490",3,0.04072056,0.34,-13.3,-13.3,-1,0,0,1,3,3,0,0,0
"497",3,-0.01701672,5.54,-13,-13,-1,0,0,1,2,3,0,0,0
"504",3,-0.06832523,14.53,-11,-11,3,0,0,0,2,2,0,0,0
"511",3,-0.10390242,14.38,-7.69999999999999,-7.69999999999999,7,0,0,0,2,2,0,0,0
"518",3,-0.12349098,12.8,-4.5,-4.5,7,0,0,0,4,2,0,0,0
"525",3,-0.12851062,9.52,-1.89999999999998,-1.89999999999998,7,0,0,0,3,2,0,0,0
"532",3,-0.12252495,7.56,0,0,7,0,0,0,3,2,0,0,0
"539",3,-0.1080381,5.89,1.5,1.5,7,0,0,0,3,2,0,0,0
"546",3,-0.08680428,4.61,2.69999999999999,2.69999999999999,7,0,0,0,3,2,0,0,0
"553",3,-0.06025449,3.61,3.69999999999999,3.69999999999999,7,0,0,0,2,2,0,0,0
"560",3,-0.02963036,2.82,4.40000000000001,4.40000000000001,7,0,0,0,2,2,0,0,0
"567",3,0.00322377,2.2,4.90000000000001,4.90000000000001,4,0,0,0,2,2,0,0,0
"574",3,0.0389356,-1.67,5.09999999999999,5.09999999999999,-1,0,0,0,2,2,0,0,0
"581",3,0.07301501,-5.49,4.59999999999999,4.59999999999999,-1,0,0,0,2,1,0,0,0
"588",3,0.10175016,-5.92,3.30000000000001,3.30000000000001,-5,0,0,0,4,1,0,0,0
"595",3,0.12304273,-7.91,1.69999999999999,1.69999999999999,-5,0,0,0,3,1,0,0,0
"602",4,0.11725021,-2.96,-4.69999999999999,-4.69999999999999,87,0,0,0,3,1,0,0,0
"609",4,0.10294352,7.36,-4.60000000000002,-4.60000000000002,87,0,0,0,3,1,0,0,0
"616",4,0.04789491,18.18,-12.1,-12.1,77,0,0,0,3,1,0,0,0
"623",4,0.00809932,28.55,-17,-17,67,0,0,0,3,1,0,0,0
"630",4,-0.04836603,30.52,-9.59999999999999,-9.59999999999999,67,0,0,0,2,1,0,0,0
"637",4,-0.07478066,29.86,-12.5,-12.5,57,0,0,0,2,1,0,0,0
"644",4,-0.10799959,30.03,-5.40000000000001,-5.40000000000001,57,0,0,0,2,1,0,0,0
"651",4,-0.1174633,29.99,-8.40000000000001,-8.40000000000001,47,0,0,0,2,4,0,0,0
"658",4,-0.12927477,30,-1.40000000000001,-1.40000000000001,47,0,0,0,2,3,0,0,0
"665",4,-0.12214182,30,-4.40000000000001,-4.40000000000001,37,0,0,0,2,3,0,0,0
"672",4,-0.11257984,30,2.59999999999999,2.59999999999999,37,0,0,0,2,3,0,0,0
"679",4,-0.08990372,29.6,-0.400000000000006,-0.400000000000006,27,0,0,0,2,3,0,0,0
"686",4,-0.06045611,22.97,5.80000000000001,5.80000000000001,27,0,0,0,4,3,0,0,0
"693",4,-0.03424519,17.88,0.199999999999989,0.199999999999989,17,0,0,0,3,2,0,0,0
"700",4,-0.00932685,14.29,3.69999999999999,3.69999999999999,17,0,0,0,3,2,0,0,0
"707",4,-0.00894645,11.34,-3.59999999999999,-3.59999999999999,7,0,0,0,3,2,0,0,0
"714",4,-0.0091172,8.99,-1.40000000000001,-1.40000000000001,7,0,0,0,3,2,0,0,0
"721",4,-0.03286936,7.12,-7.59999999999999,-7.59999999999999,3,0,0,0,3,2,0,0,0
"728",4,-0.05939993,9.94,-6,-6,3,0,0,0,2,2,0,0,0
"735",4,-0.07546357,7.61,-4,-4,3,0,0,0,2,2,0,0,0
"742",4,-0.08260145,5.93,-2.59999999999999,-2.59999999999999,3,0,0,0,2,2,0,0,0
"749",4,-0.08290939,4.77,-1.40000000000001,-1.40000000000001,3,0,0,0,4,2,0,0,0
"756",4,-0.07778346,3.77,-0.5,-0.5,3,0,0,0,3,2,0,0,0
"763",4,-0.06833737,2.99,0.199999999999989,0.199999999999989,3,0,0,0,3,2,0,0,0
"770",4,-0.05538885,2.37,0.800000000000011,0.800000000000011,3,0,0,0,3,1,0,0,0
"777",4,-0.04024229,1.9,1.19999999999999,1.19999999999999,3,0,0,0,3,1,0,0,0
"784",4,-0.0224378,1.51,1.59999999999999,1.59999999999999,3,0,0,0,4,1,0,0,0
"791",4,-0.00289822,1.2,1.90000000000001,1.90000000000001,3,0,0,0,3,1,0,0,0
"798",4,0.01809547,0.96,2.09999999999999,2.09999999999999,-1,0,0,0,3,1,0,0,0
"805",4,0.0396224,-3.55,2,2,-1,0,0,0,3,1,0,0,0
"812",4,0.0580142,-2.53,1.30000000000001,1.30000000000001,-1,0,0,0,3,1,0,0,0
"819",4,0.07341202,-1.96,0.900000000000006,0.900000000000006,-1,0,0,0,3,1,0,0,0
"826",4,0.08664094,-1.6,0.5,0.5,-1,0,0,0,2,1,0,0,0
"833",4,0.09801532,-1.26,0.199999999999989,0.199999999999989,-1,0,0,0,2,1,0,0,0
"840",4,0.10804165,-0.78,0,0,36,1,0,0,2,1,0,0,0
"847",5,0.11201646,7.3,-4.69999999999999,-4.69999999999999,31,0,0,0,2,1,0,0,0
"854",5,0.1019119,17.93,-2.40000000000001,-2.40000000000001,31,0,0,0,2,1,0,0,0
"861",5,0.08444891,28.51,-7.40000000000001,-7.40000000000001,21,0,0,0,2,1,0,0,0
"868",5,0.07298403,27.68,-0.699999999999989,-0.699999999999989,21,0,0,0,2,1,0,0,0
"875",5,0.05012464,18,-5.69999999999999,-5.69999999999999,11,0,0,0,2,1,0,0,0
"882",5,0.03414016,14.26,-11.4,-11.4,2,0,0,0,2,1,0,0,0
"889",5,-0.00825327,11.53,-8.69999999999999,-8.69999999999999,2,0,0,0,2,1,0,0,0
"896",5,-0.05424155,9.19,-9.59999999999999,-9.59999999999999,-1,0,0,0,2,1,0,0,0
"903",5,-0.09191676,8.5,-7.90000000000001,-7.90000000000001,4,0,0,0,1,1,0,0,0
"910",5,-0.11908891,11.31,-5.80000000000001,-5.80000000000001,4,0,0,0,1,1,0,0,0
"917",5,-0.13383108,8.16,-3.80000000000001,-3.80000000000001,4,0,0,0,1,1,0,0,0
"924",5,-0.1389475,6.74,-2.30000000000001,-2.30000000000001,4,0,0,0,1,1,0,0,0
"931",5,-0.13653963,5.39,-1,-1,4,0,0,0,1,1,0,0,0
"938",5,-0.12783718,4.31,0,0,4,0,0,0,1,1,0,0,0
"945",5,-0.11416186,3.47,0.799999999999997,0.799999999999997,4,0,0,0,1,1,0,0,0
"952",5,-0.09643157,2.78,1.40000000000001,1.40000000000001,4,0,0,0,1,1,0,0,0
"959",5,-0.07523789,2.24,1.90000000000001,1.90000000000001,4,0,0,0,3,1,0,0,0
"966",5,-0.05163215,1.8,2.3,2.3,4,0,0,0,3,1,0,0,0
"973",5,-0.02661704,1.46,2.59999999999999,2.59999999999999,4,0,0,0,3,1,0,0,0
"980",5,0.00089188,1.17,2.90000000000001,2.90000000000001,-1,0,0,0,3,1,0,0,0
"987",5,0.02943968,-3.63,2.90000000000001,2.90000000000001,-3,0,0,0,3,1,0,0,0
"994",5,0.0544904,-5.76,2,2,-3,0,0,0,2,1,0,0,0
"1001",5,0.07344641,-4.2,1,1,-6,0,0,0,2,0,0,0,0
"1008",5,0.08707401,-6.7,0,0,-6,0,0,0,2,0,0,0,0
"1015",5,0.09374144,-5.13,-1.19999999999999,-1.19999999999999,-6,0,0,0,2,0,0,0,0
"1022",5,0.09435474,-4.12,-2.09999999999999,-2.09999999999999,-6,0,0,0,2,0,0,0,0
"1029",5,0.09030971,-3.35,-2.90000000000001,-2.90000000000001,-6,0,0,0,4,0,0,0,0
"1036",5,0.08231499,-2.7,-3.5,-3.5,-6,0,0,0,3,0,0,0,0
"1043",5,0.07147284,-2.19,-3.90000000000001,-3.90000000000001,-6,0,0,0,3,4,4,0,0
"1050",5,0.05771655,-1.77,-4.30000000000001,-4.30000000000001,-6,0,0,0,3,3,3,0,0
"1057",5,0.04256759,-1.45,-4.59999999999999,-4.59999999999999,-6,0,0,0,3,3,3,0,0
"1064",5,0.02505687,-1.17,-4.90000000000001,-4.90000000000001,-6,0,0,0,3,3,3,0,0
"1071",5,0.00643926,-0.95,-5.09999999999999,-5.09999999999999,-6,0,0,0,2,3,3,0,0
"1078",5,-0.01332384,-0.77,-5.30000000000001,-5.30000000000001,-6,0,0,0,2,2,3,0,0
"1085",5,-0.03409744,-3.6,-5.5,-5.5,-48,1,0,0,2,2,2,0,0
"1092",6,-0.04917253,-13.55,-1.80000000000001,-1.80000000000001,-43,0,0,0,2,2,2,0,0
"1099",6,-0.0623722,-24.3,-5.5,-5.5,-43,0,0,0,2,2,2,0,0
"1106",6,-0.0602233,-30.9,-1.59999999999999,-1.59999999999999,-33,0,0,0,2,2,2,0,0
"1113",6,-0.07155949,-27.37,2.19999999999999,2.19999999999999,-23,0,4,0,4,2,2,0,0
"1120",6,-0.06624586,-21.53,-2.69999999999999,-2.69999999999999,-23,0,3,0,3,2,2,0,0
"1127",6,-0.05256918,-17.5,3.40000000000001,3.40000000000001,-13,0,3,0,3,2,2,0,0
"1134",6,-0.03381472,-13.33,0.300000000000011,0.300000000000011,-8,0,3,0,3,2,2,0,0
"1141",6,0.02003282,-6.19,6.40000000000001,6.40000000000001,0,0,3,0,3,2,2,0,0
"1148",6,0.08533799,-7.7,9.19999999999999,9.19999999999999,-6,0,3,0,2,2,2,0,0
"1155",6,0.14407067,-15.53,7.19999999999999,7.19999999999999,-10,0,2,0,4,1,2,0,0
"1162",6,0.1872669,-15.4,4,4,-10,0,2,0,3,1,1,0,0
"1169",6,0.2125446,-11.95,1.30000000000001,1.30000000000001,-10,0,2,0,3,1,1,0,0
"1176",6,0.22381181,-9.81,-0.800000000000011,-0.800000000000011,-10,0,2,0,3,1,1,0,0
"1183",6,0.22360198,-7.96,-2.5,-2.5,-10,0,2,0,3,1,1,0,0
"1190",6,0.21408235,-6.48,-3.90000000000001,-3.90000000000001,-10,0,2,0,3,1,1,0,0
"1197",6,0.19703029,-5.27,-5,-5,-10,0,2,0,2,1,1,0,0
"1204",6,0.17383318,-4.29,-6,-6,-10,0,2,0,2,1,1,0,0
"1211",6,0.14572186,-0.37,-6.60000000000002,-6.60000000000002,-6,0,2,0,4,1,1,0,0
"1218",6,0.11746363,0.8,-6.5,-6.5,-6,0,2,0,3,1,1,0,0
"1225",6,0.08916697,0.39,-6.39999999999998,-6.39999999999998,-6,0,2,0,3,1,1,0,0
"1232",6,0.06134295,0.36,-6.30000000000001,-6.30000000000001,-6,0,1,0,3,1,1,0,0
"1239",6,0.03405214,3.33,-6.19999999999999,-6.19999999999999,-1,0,1,0,3,1,1,0,0
"1246",6,0.01029976,4.96,-5.30000000000001,-5.30000000000001,-1,0,1,0,3,1,1,0,0
"1253",6,-0.00784484,3.65,-4.5,-4.5,-1,0,1,0,2,1,1,0,0
"1260",6,-0.02170379,3.04,-3.80000000000001,-3.80000000000001,-1,0,1,0,2,1,1,0,0
"1267",6,-0.03203538,2.47,-3.30000000000001,-3.30000000000001,-1,0,1,0,2,1,1,0,0
"1274",6,-0.03952579,2.01,-2.90000000000001,-2.90000000000001,-1,0,1,0,2,1,1,0,0
"1281",6,-0.04465201,1.64,-2.5,-2.5,-1,0,1,0,2,1,1,0,0
"1288",6,-0.04787495,1.34,-2.30000000000001,-2.30000000000001,-1,0,1,0,2,1,1,0,0
"1295",6,-0.0495038,1.1,-2,-2,-1,0,1,0,2,1,1,0,0
"1302",6,-0.04994559,0.89,-1.80000000000001,-1.80000000000001,-1,0,1,0,2,1,1,0,0
"1309",6,-0.04931925,0.73,-1.69999999999999,-1.69999999999999,-1,0,1,0,2,1,1,0,0
"1316",6,-0.04786857,0.6,-1.59999999999999,-1.59999999999999,-1,0,1,0,2,1,1,0,0
"1323",6,-0.04570313,0.49,-1.5,-1.5,-1,0,1,0,2,1,1,0,0
"1330",6,-0.04296366,0.4,-1.40000000000001,-1.40000000000001,-1,0,1,0,1,1,1,0,0
"1337",6,-0.03979063,0.32,-1.30000000000001,-1.30000000000001,-1,0,1,0,1,1,1,0,0
"1344",6,-0.03620687,0.26,-1.19999999999999,-1.19999999999999,-1,0,1,0,1,1,1,0,0
"1351",6,-0.03230961,0.21,-1.19999999999999,-1.19999999999999,-1,0,1,0,1,1,1,0,0
"1358",6,-0.0283065,0.17,-1.19999999999999,-1.19999999999999,-1,0,1,0,1,1,1,0,0
"1365",6,-0.02401613,0.14,-1.09999999999999,-1.09999999999999,-1,0,1,0,1,1,1,0,0
"1372",6,-0.01949704,0.11,-1.09999999999999,-1.09999999999999,-1,0,1,0,1,1,1,0,0
"1379",6,-0.01487966,0.09,-1.09999999999999,-1.09999999999999,-1,0,1,0,1,1,1,0,0
"1386",6,-0.01014736,0.08,-1.09999999999999,-1.09999999999999,-1,0,1,0,1,1,1,0,0
"1393",6,-0.0053789,0.06,-1.09999999999999,-1.09999999999999,-1,0,1,0,1,0,0,0,0
"1400",6,-0.00047483,0.05,-1,-1,-1,0,1,0,1,0,0,0,0
"1407",6,0.00444879,0.03,-1,-1,-1,0,1,0,1,0,0,0,0
"1414",6,0.0094479,0.03,-1,-1,-1,0,1,0,1,0,0,0,0
"1421",6,0.01445825,0.02,-1,-1,-1,0,1,0,1,0,0,0,0
"1428",6,0.01934248,0.02,-1,-1,-1,0,1,0,1,0,0,0,0
"1435",6,0.02441441,0.02,-1,-1,-1,0,1,0,1,0,0,0,0
"1442",6,0.02949749,0.01,-1,-1,-1,0,1,0,1,0,0,0,0
"1449",6,0.03456685,0.01,-1,-1,-1,0,1,0,1,0,0,0,0
"1456",6,0.03967837,0.02,-1,-1,-1,0,1,0,1,0,0,0,0
"1463",6,0.04474913,0,-1,-1,-1,0,0,0,1,0,0,0,0
"1470",6,0.04986414,0,-1,-1,-1,0,0,0,1,0,0,0,0
"1477",6,0.0549548,0.01,-1,-1,-1,0,0,0,1,0,0,0,0
"1484",6,0.06004401,0.01,-1,-1,-6,0,0,0,1,0,0,0,0
"1491",6,0.06463994,-4.82,-1.30000000000001,-1.30000000000001,-6,0,0,0,1,0,0,0,0
"1498",6,0.06478799,-4.01,-2.19999999999999,-2.19999999999999,-6,0,0,0,1,0,0,0,0
"1505",6,0.0603539,-3.27,-2.90000000000001,-2.90000000000001,-6,0,0,0,1,0,0,0,0
"1512",6,0.05205696,-2.65,-3.5,-3.5,-6,0,0,0,1,0,0,0,0
"1519",6,0.0406639,-2.16,-4,-4,-6,0,0,0,1,0,0,0,0
"1526",6,0.02680695,-1.75,-4.30000000000001,-4.30000000000001,-6,0,0,0,1,0,0,0,0
"1533",6,0.01108975,-1.5,-4.59999999999999,-4.59999999999999,-6,0,0,0,1,0,0,0,0
"1540",6,-0.0063259,-1.19,-4.90000000000001,-4.90000000000001,-6,0,0,0,1,0,0,0,0
"1547",6,-0.02525322,-0.97,-5.09999999999999,-5.09999999999999,-6,0,0,0,1,0,0,0,0
"1554",6,-0.04531518,-0.79,-5.30000000000001,-5.30000000000001,-6,0,0,0,1,0,0,0,0
"1561",6,-0.06644723,-0.65,-5.40000000000001,-5.40000000000001,4,0,0,0,0,0,0,0,0
"1568",6,-0.08776818,3.12,-5.30000000000001,-5.30000000000001,4,0,0,0,0,0,0,0,0
"1575",6,-0.1055545,9.07,-4,-4,4,0,0,0,0,0,0,0,0
"1582",6,-0.11386414,6.88,-2.5,-2.5,4,0,0,0,0,0,0,0,0
"1589",6,-0.11413425,5.69,-1.30000000000001,-1.30000000000001,4,0,0,0,0,0,0,0,0
"1596",6,-0.10775003,4.67,-0.400000000000006,-0.400000000000006,4,0,0,0,0,0,0,0,0
"1603",6,-0.09592049,3.83,0.400000000000006,0.400000000000006,4,0,0,0,0,0,0,0,0
"1610",6,-0.07949846,3.15,1,1,4,0,0,0,0,0,0,0,0
"1617",6,-0.05928226,2.59,1.59999999999999,1.59999999999999,4,0,0,0,0,0,0,0,0
"1624",6,-0.03588987,2.13,2,2,4,0,0,0,0,0,0,0,0
"1631",6,-0.00998129,-1.48,2.19999999999999,2.19999999999999,-1,0,0,0,0,0,0,0,0
"1638",6,0.01482815,-3.08,1.69999999999999,1.69999999999999,-1,0,0,0,0,0,0,0,0
"1645",6,0.03573701,-2.37,1.30000000000001,1.30000000000001,-1,0,0,0,0,0,0,0,0
"1652",6,0.05455613,-1.98,0.900000000000006,0.900000000000006,-1,0,0,0,0,0,0,0,0
"1659",6,0.07120684,-1.63,0.5,0.5,-1,0,0,0,0,0,0,0,0
"1666",6,0.08605851,-1.35,0.300000000000011,0.300000000000011,-8,0,0,0,0,0,0,0,0
"1673",6,0.09919991,-5.6,-0.0999999999999943,-0.0999999999999943,-8,0,0,0,0,0,0,0,0
"1680",6,0.10627916,-7.36,-1.40000000000001,-1.40000000000001,-8,0,0,0,0,0,0,0,0
"1687",6,0.10488355,-5.78,-2.5,-2.5,-8,0,0,0,0,0,0,0,0
"1694",6,0.09662096,-4.85,-3.40000000000001,-3.40000000000001,-8,0,0,0,0,0,0,0,0
"1701",6,0.08267322,-4.03,-4.19999999999999,-4.19999999999999,-8,0,0,0,0,0,0,0,0
"1708",6,0.06387021,-3.36,-4.80000000000001,-4.80000000000001,-8,0,0,0,0,0,0,0,0
"1715",6,0.04174598,-2.82,-5.30000000000001,-5.30000000000001,-8,0,0,0,0,0,0,0,0
"1722",6,0.0156533,-0.33,-5.69999999999999,-5.69999999999999,-3,0,0,0,0,0,0,0,0
"1729",6,-0.01062469,3.03,-5.40000000000001,-5.40000000000001,-3,0,0,0,0,0,0,0,0
"1736",6,-0.03382857,2.06,-5,-5,-3,0,0,0,0,0,0,0,0
"1743",6,-0.05467274,1.79,-4.69999999999999,-4.69999999999999,-3,0,0,0,0,0,0,0,0
"1750",6,-0.07349293,1.49,-4.40000000000001,-4.40000000000001,-3,0,0,0,0,0,0,0,0
"1757",6,-0.09063516,1.24,-4.19999999999999,-4.19999999999999,-3,0,0,0,0,0,0,0,0
"1764",6,-0.10640953,1.04,-4,-4,-3,0,0,0,0,0,0,0,0
"1771",6,-0.12072016,0.94,-3.80000000000001,-3.80000000000001,3,0,0,0,0,0,0,0,0
"1778",6,-0.1332053,7.12,-3.30000000000001,-3.30000000000001,3,0,0,0,0,0,0,0,0
"1785",6,-0.13861116,5.48,-2.19999999999999,-2.19999999999999,3,0,0,0,0,0,0,0,0
"1792",6,-0.1374396,4.64,-1.40000000000001,-1.40000000000001,3,0,0,0,0,0,0,0,0
"1799",6,-0.13085032,3.9,-0.699999999999989,-0.699999999999989,3,0,0,0,0,0,0,0,0
"1806",6,-0.11962575,3.28,-0.0999999999999943,-0.0999999999999943,3,0,0,0,0,0,0,0,0
"1813",6,-0.10454112,2.75,0.400000000000006,0.400000000000006,3,0,0,0,0,0,0,0,0
"1820",6,-0.08612165,2.32,0.800000000000011,0.800000000000011,3,0,0,0,0,0,0,0,0
"1827",6,-0.06497602,1.95,1.19999999999999,1.19999999999999,3,0,0,0,0,0,0,0,0
"1834",6,-0.04145269,1.65,1.40000000000001,1.40000000000001,3,0,0,0,0,0,0,0,0
"1841",6,-0.01592129,1.39,1.69999999999999,1.69999999999999,3,0,0,0,0,0,0,0,0
"1848",6,0.01050513,-0.35,1.90000000000001,1.90000000000001,-1,0,0,0,0,0,0,0,0
"1855",6,0.03706185,-3.23,1.59999999999999,1.59999999999999,-1,0,0,0,0,0,0,0,0
"1862",6,0.06020685,-2.15,1.09999999999999,1.09999999999999,-1,0,0,0,0,0,0,0,0
"1869",6,0.08074276,-3.74,0.800000000000011,0.800000000000011,-1,0,0,0,0,0,0,0,0
"1876",6,0.09743638,-3.44,0.199999999999989,0.199999999999989,-1,0,0,0,0,0,0,0,0
"1883",6,0.11005454,-2.8,-0.300000000000011,-0.300000000000011,-1,0,0,0,0,0,0,0,0
"1890",6,0.11944942,-2.4,-0.699999999999989,-0.699999999999989,-1,0,0,0,0,0,0,0,0
