"","PBNleg","PBNdeviation","bank","angleBrM","angdifHCl","angdifSCl","discrSettingNextHdg","dscrTimeWPTCheckCurrLeg","dscrTimeWPTCheckNxtLeg","dscrTimeNavlogCheck","dscrTimeMapCheck","dscrTimeTrackCheck","dscrTimeMapClick","dscrPBNdeviationIntegrCorr"
"7",0,-0.00299708,0,-2.8,-2.8,-1,0,0,0,0,0,0,0,0
"14",0,-0.00616661,0.83,-2.8,-2.8,-1,0,0,0,0,0,0,0,0
"21",0,-0.00847464,2.44,-2.6,-2.6,-1,0,0,0,4,0,0,0,0
"28",0,-0.0088721,1.3,-2.2,-2.2,-2,0,0,0,3,0,0,0,0
"35",0,-0.00802645,-0.36,-2,-2,-2,0,0,0,3,0,0,0,0
"42",0,-0.00736423,-0.05,-2.1,-2.1,-2,0,0,0,3,0,0,0,0
"49",0,-0.00679916,-0.45,-2.1,-2.1,-26,1,0,0,3,0,0,0,0
"56",0,-0.00766471,-8.27,-2.6,-2.6,-26,1,0,0,3,0,0,0,0
"63",0,-0.01809212,-19.04,-5.3,-5.3,-26,1,0,0,4,0,0,0,0
"70",1,-0.04251206,-21.47,-7.5,-7.5,-23,0,0,0,3,0,0,0,0
"77",1,-0.08319516,-13.3,-12.2,-12.2,-23,0,0,0,3,0,0,0,0
"84",1,-0.13733437,-8,-14.8,-14.8,-23,0,0,0,3,0,0,0,0
"91",1,-0.20146069,-7.13,-16.6,-16.6,-23,0,0,0,3,0,0,0,0
"98",1,-0.27252767,-5.22,-17.2,-17.2,-17,0,0,0,2,0,0,0,0
"105",1,-0.34564166,0.08,-18.2,-18.2,-17,0,0,0,2,0,0,0,1
"112",1,-0.41907973,1.77,-17.9,-17.9,-17,0,0,0,4,0,0,0,1
"119",1,-0.44987975,0.41,-5.6,-5.6,15,1,0,0,3,0,0,0,1
"126",1,-0.46519654,6.16,-5.2,-5.2,15,1,0,0,3,4,0,0,2
"133",1,-0.43427375,16.5,7,7,25,1,0,0,4,3,0,4,2
"140",1,-0.38036551,18.12,11.5,11.5,25,1,0,4,3,3,0,3,2
"147",1,-0.30692435,10.24,15.4,15.4,25,1,0,3,3,3,0,3,2
"154",1,-0.22162037,7.85,17.5,17.5,25,1,0,4,3,3,0,3,0
"161",1,-0.12800167,6.31,19.3,19.3,25,1,0,3,4,3,0,3,0
"168",2,-0.08925836,4.66,-4.3,-4.3,0,0,0,3,3,2,0,3,0
"175",2,-0.09774937,3.59,-3.3,-3.3,0,0,0,3,3,2,0,2,0
"182",2,-0.1022762,2.73,-2.5,-2.5,0,0,0,3,3,2,0,2,0
"189",2,-0.10370464,2.08,-1.9,-1.9,0,0,0,2,4,2,0,2,0
"196",2,-0.10289549,1.6,-1.5,-1.5,0,0,0,2,3,2,0,2,0
"203",2,-0.10027059,1.24,-1.1,-1.1,4,0,0,2,3,2,0,2,0
"210",2,-0.09559614,5.33,-0.5,-0.5,4,0,0,2,3,2,0,2,0
"217",2,-0.08573059,3.78,0.699999999999989,0.699999999999989,4,0,0,2,3,2,0,2,0
"224",2,-0.07153998,2.65,1.39999999999998,1.39999999999998,4,0,0,2,3,2,0,2,0
"231",2,-0.05434583,2.17,2,2,4,0,0,2,2,2,0,2,0
"238",2,-0.03474116,1.61,2.5,2.5,4,0,0,2,2,2,0,2,0
"245",2,-0.01322692,1.24,2.89999999999998,2.89999999999998,4,0,0,2,2,1,0,2,0
"252",2,0.00960445,-0.35,3.10000000000002,3.10000000000002,1,0,0,2,4,1,0,1,0
