"","PBNleg","dscrPhase","PBNlegPercent","PBNLegChange","PBNdeviation","bank","angdifHCl","angdifSCl","discrSettingNextHdg","dscrTimeWPTCheckCurrLeg","dscrTimeWPTCheckNxtLeg","dscrTimeNavlogCheck","dscrTimeMapCheck","dscrTimeTrackCheck","dscrTimeMapClick","dscrPBNdeviationIntegrCorr"
"1106",6,4,5,0,0.28552474,-16.75,10.7,-5,0,0,0,3,1,0,0,0
"1113",6,1,6,0,0.3547239,-13.63,11.8,-1,0,0,0,3,1,0,0,1
"1120",6,1,7,0,0.42894904,-11.08,9.40000000000001,-1,0,0,0,2,1,0,0,1
"1127",6,1,8,0,0.49036639,-9.01,7.40000000000001,-1,0,0,0,2,1,0,0,1
"1134",6,1,9,0,0.54119736,-9.65,5.80000000000001,-6,0,0,0,2,1,0,0,2
"1141",6,1,9,0,0.58074502,-10.34,3.69999999999999,-6,0,0,0,2,1,0,0,2
"1148",6,1,10,0,0.60826051,-8.41,1.90000000000001,-6,0,0,0,4,1,0,0,2
"1155",6,1,11,0,0.62590524,-6.84,0.400000000000006,-6,0,0,0,3,1,0,0,2
"1162",6,1,12,0,0.63557029,-5.55,-0.800000000000011,-6,0,0,0,3,0,0,0,2
"1169",6,1,13,0,0.63869033,-4.53,-1.80000000000001,-6,0,0,0,3,0,0,0,2
"1176",6,1,13,0,0.63664448,-3.68,-2.5,-6,0,0,0,3,0,0,0,2
"1183",6,1,14,0,0.6303351,-2.99,-3.19999999999999,-6,0,0,0,2,0,0,0,2
"1190",6,1,15,0,0.62053867,-2.42,-3.69999999999999,-6,0,0,0,2,0,0,0,2
"1197",6,1,16,0,0.6079242,-1.97,-4.19999999999999,-6,0,0,0,4,0,0,0,2
"1204",6,1,17,0,0.59307852,-1.6,-4.5,-6,0,0,0,3,4,4,0,2
"1211",6,1,18,0,0.57640817,-1.29,-4.80000000000001,-6,0,0,0,3,3,3,0,2
"1218",6,1,18,0,0.55842639,-1.05,-5,-6,0,0,0,3,3,3,0,2
"1225",6,1,19,0,0.5390442,-1.73,-5.19999999999999,-9,0,0,0,3,3,3,0,2
"1232",6,1,20,0,0.5174661,-3.34,-5.80000000000001,-9,0,0,0,3,3,3,0,2
"1239",6,1,21,0,0.49280936,-2.86,-6.30000000000001,-9,0,0,0,2,3,3,0,2
"1246",6,1,21,0,0.46460585,-2.3,-6.80000000000001,-9,0,0,0,2,2,2,0,2
"1253",6,1,22,0,0.4338857,-1.88,-7.19999999999999,-9,0,0,0,2,2,2,0,3
"1260",6,1,23,0,0.4004873,-1.17,-7.5,-6,0,0,0,2,2,2,0,3
"1267",6,1,24,0,0.3664499,1.46,-7.39999999999998,-6,0,0,0,2,2,2,0,3
"1274",6,1,25,0,0.33366457,1.24,-7.19999999999999,-6,0,0,0,3,2,2,0,3
"1281",6,1,25,0,0.30249475,1.01,-7,-3,0,0,0,3,2,2,0,3
"1288",6,1,26,0,0.27230378,3.53,-6.60000000000002,-3,0,0,0,3,2,2,0,0
"1295",6,1,27,0,0.24544447,3.11,-5.90000000000001,-3,0,0,0,3,2,2,0,0
"1302",6,1,28,0,0.22203377,2.55,-5.40000000000001,-3,0,0,0,3,2,2,0,0
"1309",6,1,29,0,0.20138736,2.09,-5,-3,0,0,0,2,2,2,0,0
"1316",6,1,30,0,0.18307113,1.72,-4.59999999999999,-3,0,0,0,2,2,2,0,0
"1323",6,1,30,0,0.16660734,1.41,-4.30000000000001,-3,0,0,0,2,1,1,0,0
"1330",6,1,31,0,0.1517378,1.16,-4.09999999999999,-3,0,0,0,2,1,1,0,0
"1337",6,1,32,0,0.13831025,0.96,-3.90000000000001,-1,0,0,0,2,1,1,0,0
"1344",6,1,33,0,0.12576242,2.55,-3.59999999999999,-1,0,0,0,2,1,1,0,0
"1351",6,1,34,0,0.11581533,2.33,-3.19999999999999,-1,0,0,0,2,1,1,0,0
"1358",6,1,35,0,0.10845076,1.92,-2.80000000000001,-1,0,0,0,2,1,1,0,0
"1365",6,1,36,0,0.10336507,1.59,-2.5,-1,0,0,0,2,1,1,0,0
"1372",6,1,37,0,0.10006781,1.32,-2.19999999999999,-1,0,0,0,2,1,1,0,0
"1379",6,1,37,0,0.09829641,1.09,-2,-1,0,0,0,2,1,1,0,0
"1386",6,1,38,0,0.09777337,0.91,-1.90000000000001,-1,0,0,0,1,1,1,0,0
"1393",6,1,39,0,0.09834411,0.75,-1.69999999999999,-1,0,0,0,1,1,1,0,0
"1400",6,1,40,0,0.0997395,0.62,-1.59999999999999,-1,0,0,0,1,1,1,0,0
"1407",6,1,41,0,0.10196632,0.51,-1.5,-1,0,0,0,1,1,1,0,0
"1414",6,1,42,0,0.10475268,0.4,-1.40000000000001,-3,0,0,0,1,1,1,0,0
"1421",6,1,43,0,0.10745001,-1.53,-1.5,-3,0,0,0,1,1,1,0,0
"1428",6,1,44,0,0.10857135,-1.3,-1.80000000000001,-3,0,0,0,1,1,1,0,0
"1435",6,1,45,0,0.10822093,-1.08,-2,-3,0,0,0,1,1,1,0,0
"1442",6,1,46,0,0.10657082,-0.9,-2.09999999999999,-3,0,0,0,4,1,1,0,0
"1449",6,1,47,0,0.10391182,-0.75,-2.30000000000001,-3,0,0,0,3,1,1,0,0
"1456",6,1,47,0,0.10031258,-0.63,-2.40000000000001,-3,0,0,0,3,1,1,0,0
"1463",6,1,48,0,0.09597602,-0.53,-2.5,-3,0,0,0,3,1,1,0,0
"1470",6,1,49,0,0.09107725,-0.44,-2.59999999999999,-3,0,0,0,3,1,1,0,0
"1477",6,1,50,0,0.08559608,-0.37,-2.59999999999999,-5,0,0,0,3,1,1,0,0
"1484",6,1,51,0,0.07952705,-2.09,-2.80000000000001,-5,0,0,0,2,1,1,0,0
"1491",6,1,52,0,0.07145047,-2,-3.09999999999999,-5,0,0,0,2,1,1,0,0
"1498",6,1,53,0,0.06116843,-1.68,-3.40000000000001,-5,0,0,0,2,1,1,0,0
"1505",6,1,54,0,0.04872397,-1.41,-3.69999999999999,-5,0,0,0,2,1,1,0,0
"1512",6,1,55,0,0.0345835,-1.18,-3.90000000000001,-5,0,0,0,2,1,1,0,0
"1519",6,1,56,0,0.01909623,1.74,-4,-1,0,0,0,2,1,1,0,0
"1526",6,1,57,0,0.00497283,2.78,-3.59999999999999,-1,0,0,0,2,1,1,0,0
"1533",6,1,58,0,-0.00581301,2.34,-3.19999999999999,-1,0,0,0,2,1,1,0,0
"1540",6,1,59,0,-0.01417235,1.97,-2.90000000000001,-1,0,0,0,2,1,1,0,0
"1547",6,1,60,0,-0.0201857,1.65,-2.59999999999999,-1,0,0,0,2,1,1,0,0
"1554",6,1,61,0,-0.02424776,1.39,-2.30000000000001,-1,0,0,0,2,0,0,0,0
"1561",6,1,62,0,-0.02673888,1.17,-2.09999999999999,-1,0,0,0,1,0,0,0,0
"1568",6,1,63,0,-0.02783191,0.99,-1.90000000000001,-1,0,0,0,1,0,0,0,0
"1575",6,1,64,0,-0.02776029,0.83,-1.80000000000001,-1,0,0,0,1,0,0,0,0
"1582",6,1,65,0,-0.02675641,0.7,-1.69999999999999,-1,0,0,0,1,0,0,0,0
"1589",6,1,66,0,-0.02490288,0.59,-1.59999999999999,-1,0,0,0,1,0,0,0,0
"1596",6,1,67,0,-0.02230009,0.5,-1.5,-1,0,0,0,1,0,0,0,0
"1603",6,1,68,0,-0.01916568,0.42,-1.40000000000001,-1,0,0,0,1,0,0,0,0
"1610",6,1,69,0,-0.01555884,0.36,-1.30000000000001,-1,0,0,0,1,0,0,0,0
"1617",6,1,70,0,-0.01145286,0.3,-1.30000000000001,-1,0,0,0,1,0,0,0,0
"1624",6,1,71,0,-0.00697582,0.26,-1.19999999999999,-1,0,0,0,1,0,0,0,0
"1631",6,1,72,0,-0.00220805,0.21,-1.19999999999999,-1,0,0,0,1,0,0,0,0
"1638",6,1,73,0,0.00284866,0.18,-1.19999999999999,-1,0,0,0,1,0,0,0,0
"1645",6,1,74,0,0.00810387,0.15,-1.09999999999999,-1,0,0,0,1,0,0,0,0
"1652",6,1,75,0,0.01346695,0.13,-1.09999999999999,-1,0,0,0,1,0,0,0,0
"1659",6,1,76,0,0.0191304,0.11,-1.09999999999999,-1,0,0,0,1,0,0,0,0
"1666",6,1,77,0,0.02489252,0.09,-1.09999999999999,-1,0,0,0,1,0,0,0,0
"1673",6,1,78,0,0.03078178,0.08,-1.09999999999999,-1,0,0,0,1,0,0,0,0
"1680",6,1,79,0,0.03682563,0.07,-1.09999999999999,-1,0,0,0,1,0,0,0,0
"1687",6,1,80,0,0.04293622,0.06,-1,-1,0,0,0,1,0,0,0,0
