"","PBNleg","dscrPhase","PBNdeviation","bank","angleBrM","angdifHCl","angdifSCl","discrSettingNextHdg","dscrTimeWPTCheckCurrLeg","dscrTimeWPTCheckNxtLeg","dscrTimeNavlogCheck","dscrTimeMapCheck","dscrTimeTrackCheck","dscrTimeMapClick","dscrPBNdeviationIntegrCorr"
"7",0,2,-0.00298355,-0.01,-2.8,-2.8,-1,0,0,0,0,0,0,0,0
"14",0,2,-0.00609391,0.37,-2.8,-2.8,-1,0,0,0,0,0,0,0,0
"21",0,2,-0.0087183,2.4,-2.7,-2.7,-1,0,0,0,0,0,0,0,0
"28",0,3,-0.00968922,1.07,-2.3,-2.3,-2,0,0,0,0,0,0,0,0
"35",0,3,-0.00972854,-0.44,-2.2,-2.2,-2,0,0,0,0,0,0,0,0
"42",0,3,-0.01001842,0.32,-2.2,-2.2,-2,0,0,0,4,0,0,0,0
"49",0,3,-0.01004921,0.3,-2.2,-2.2,-2,0,0,0,3,0,0,0,0
"56",0,3,-0.00976181,-1.07,-2.1,-2.1,-26,1,0,0,3,0,0,0,0
"63",0,3,-0.01155216,-9.6,-2.9,-2.9,-26,1,0,0,3,0,0,0,0
"70",1,4,-0.01704424,-20.06,-3,-3,-23,0,0,0,4,0,0,0,0
"77",1,4,-0.03729535,-20.57,-8.3,-8.3,-23,0,0,0,3,4,0,0,0
"84",1,4,-0.07921102,-12.05,-12.6,-12.6,-23,0,0,0,3,3,0,0,0
"91",1,4,-0.13580819,-7.96,-15,-15,-23,0,0,0,3,3,0,0,0
"98",1,4,-0.20046188,-6.87,-15.9,-15.9,-22,0,0,0,4,3,0,0,0
"105",1,4,-0.26907557,-4.98,-17.4,-17.4,-22,0,0,0,3,3,0,0,0
"112",1,4,-0.34307065,-3.81,-18.5,-18.5,-22,0,0,0,3,3,0,0,1
"119",1,4,-0.37740877,-2.91,-7.3,-7.3,-10,0,0,0,4,2,0,0,1
"126",1,4,-0.40359026,-2.21,-7.9,-7.9,15,1,0,0,3,2,0,0,1
"133",1,3,-0.39204189,2.37,1.7,1.7,25,1,0,0,3,2,0,0,1
"140",1,3,-0.37318518,12.65,3,3,25,1,0,0,3,2,0,0,2
"147",1,3,-0.33976894,21.04,7,7,25,1,0,0,3,3,0,0,2
"154",1,3,-0.28349969,16.83,12.2,12.2,25,1,0,0,3,3,0,0,0
"161",1,3,-0.20817793,9.45,15.6,15.6,25,1,0,0,3,3,0,0,0
"168",2,4,-0.18716983,8.02,-7.4,-7.4,0,0,0,0,3,3,0,4,0
"175",2,4,-0.20731788,6.1,-5.6,-5.6,0,0,0,0,3,3,0,3,0
"182",2,4,-0.22072153,4.59,-4.3,-4.3,0,0,0,0,3,3,0,3,0
"189",2,4,-0.22897583,3.53,-3.3,-3.3,10,0,0,0,3,3,0,3,0
"196",2,4,-0.23322092,5.05,-2.4,-2.4,10,0,0,0,2,3,0,3,0
"203",2,4,-0.23122007,12.52,-0.6,-0.6,10,0,0,0,2,2,0,2,0
"210",2,4,-0.21647111,9.19,2.30000000000001,2.30000000000001,10,0,0,0,2,2,0,2,0
"217",2,4,-0.19102099,5.96,4.10000000000002,4.10000000000002,10,0,0,0,2,2,0,2,0
"224",2,4,-0.15869721,5.03,5.5,5.5,10,0,0,0,2,2,0,2,0
"231",2,4,-0.12095822,3.73,6.5,6.5,10,0,0,0,2,2,0,2,0
"238",2,2,-0.07889864,2.87,7.30000000000001,7.30000000000001,10,0,0,0,2,2,0,2,0
"245",2,2,-0.03365721,2.2,8,8,10,0,0,0,2,2,0,2,0
"252",2,2,0.01412766,1.68,8.39999999999998,8.39999999999998,10,0,0,0,2,2,0,2,0
"259",2,2,0.06386338,1.29,8.80000000000001,8.80000000000001,10,0,0,0,4,2,0,2,0
"266",2,2,0.11364395,1,9.10000000000002,9.10000000000002,10,0,0,0,3,2,0,2,0
"273",2,2,0.16596087,0.5,9.30000000000001,9.30000000000001,-5,0,0,0,3,2,0,2,0
