"","PBNleg","dscrPhase","PBNlegPercent","PBNLegChange","PBNdeviation","bank","angdifHCl","angdifSCl","discrSettingNextHdg","dscrTimeWPTCheckCurrLeg","dscrTimeWPTCheckNxtLeg","dscrTimeNavlogCheck","dscrTimeMapCheck","dscrTimeTrackCheck","dscrTimeMapClick","dscrPBNdeviationIntegrCorr"
"7",0,2,9,1,-0.00279221,0,-2.8,-1,0,0,0,0,0,0,0,0
"14",0,2,20,0,-0.00585188,0,-2.8,-1,0,0,0,0,0,0,0,0
"21",0,2,30,0,-0.00886291,1.51,-2.8,-1,0,0,0,0,0,0,0,0
"28",0,3,41,0,-0.01061515,1.65,-2.5,-1,0,0,0,0,0,0,0,0
"35",0,3,52,0,-0.01090848,1.27,-2.2,-1,0,0,0,4,0,0,0,0
"42",0,3,63,0,-0.0100612,1.04,-2,-1,0,0,0,3,0,0,0,0
"49",0,3,73,0,-0.00804776,0.8,-1.7,-1,0,0,0,3,0,0,0,0
"56",0,3,84,0,-0.0051715,0.62,-1.6,-1,0,0,0,3,4,0,0,0
"63",0,3,94,0,-0.00170515,0.48,-1.4,-1,0,0,0,3,3,3,0,0
"70",1,4,3,1,0.00850074,0.37,1.7,2,1,0,0,3,3,3,0,0
"77",1,4,10,0,0.02702468,0.29,1.7,2,1,0,0,2,3,3,0,0
"84",1,4,18,0,0.04579133,0.22,1.8,2,1,0,0,4,3,3,0,0
"91",1,4,25,0,0.06461317,0.16,1.9,2,1,0,0,3,4,4,0,0
"98",1,4,32,0,0.08388311,0.13,2.9,3,1,0,0,3,3,3,0,0
"105",1,4,39,0,0.10611402,0.1,2.9,-22,0,0,0,3,3,3,0,0
"112",1,4,46,0,0.12826618,-4.47,2.8,-22,0,0,0,3,3,3,0,0
"119",1,4,52,0,0.1799633,-15.35,12.8,-10,0,0,0,2,3,3,0,0
"126",1,4,59,0,0.23541133,-21.84,8.1,-10,0,0,0,2,3,3,0,0
"133",1,3,64,0,0.27762236,-15.31,13.1,0,0,0,0,2,2,2,0,0
"140",1,3,71,0,0.33478269,-10.7,9.9,0,0,0,0,2,2,2,0,1
"147",1,3,78,0,0.38063312,-8.24,7.6,0,0,0,0,2,2,2,0,1
"154",1,3,85,0,0.41811082,-6.26,5.8,0,0,0,0,2,2,2,0,1
"161",1,3,92,0,0.44863962,-4.75,4.4,0,0,0,0,4,4,3,0,1
"168",2,4,3,1,0.44071999,-3.64,-21.6,-25,0,0,0,3,3,3,0,2
"175",2,4,6,0,0.34696051,-2.77,-22.4,0,0,0,0,3,3,3,0,2
"182",2,4,10,0,0.2490187,2.98,-22.9,0,0,0,0,3,3,3,0,0
"189",2,4,14,0,0.15719867,13.66,-21.3,0,0,0,0,3,3,3,0,0
"196",2,4,18,0,0.07932526,20.48,-17.2,0,0,0,0,3,2,2,0,0
"203",2,4,22,0,0.02195206,14.25,-12.5,0,0,0,0,2,2,2,0,0
"210",2,4,26,0,-0.01815281,10.28,-9.5,0,0,0,0,4,2,2,0,0
"217",2,4,30,0,-0.04668313,7.94,-7.3,0,0,0,0,3,2,2,0,0
"224",2,4,34,0,-0.06720123,6.04,-5.6,0,0,0,0,3,2,2,0,0
"231",2,4,38,0,-0.08047058,4.63,-4.3,0,0,0,0,3,3,4,0,0
"238",2,2,42,0,-0.08891771,3.53,-3.2,0,0,0,0,3,3,3,0,0
"245",2,2,46,0,-0.09325989,2.73,-2.5,1,0,0,0,3,3,3,0,0
"252",2,2,51,0,-0.09432826,3.06,-1.8,1,0,0,0,2,3,3,0,0
"259",2,2,55,0,-0.09211779,2.32,-1.1,1,0,0,0,2,3,3,0,0
"266",2,2,59,0,-0.08726799,1.77,-0.6,1,0,0,0,2,2,2,0,0
"273",2,2,63,0,-0.08055029,1.37,-0.3,1,0,0,0,2,2,2,0,0
"280",2,2,67,0,-0.0721974,1.05,0,1,0,0,0,2,2,2,0,0
"287",2,2,71,0,-0.06266304,0.8,0.300000000000011,1,0,0,0,2,2,2,0,0
"294",2,3,75,0,-0.05217504,0.62,0.399999999999977,1,0,0,0,2,2,2,0,0
"301",2,3,80,0,-0.04114052,0.48,0.600000000000023,1,0,0,0,2,2,2,0,0
"308",2,3,84,0,-0.02942739,0.37,0.699999999999989,1,0,0,0,2,2,2,0,0
"315",2,3,88,0,-0.01730604,0.28,0.699999999999989,1,0,0,0,2,2,2,0,0
"322",2,3,92,0,-0.00477838,0.22,0.800000000000011,1,0,0,0,2,2,2,0,0
"329",2,3,96,0,0.00793012,0.17,0.899999999999977,1,0,0,0,1,2,2,0,0
"336",3,4,0,1,0.01841262,0.13,-4.10000000000002,-4,0,0,0,1,2,2,0,0
"343",3,4,3,0,0.00746957,0.1,-4.10000000000002,-4,0,0,0,1,1,2,0,0
"350",3,4,5,0,-0.01650812,0.07,-14.1,-14,0,0,0,1,1,1,0,0
"357",3,4,8,0,-0.07560284,0.06,-14.1,-14,0,0,0,1,1,1,0,0
"364",3,4,10,0,-0.15191833,0.05,-24,-24,0,0,0,1,1,1,0,0
"371",3,4,13,0,-0.25791981,0.04,-24,-24,0,0,0,1,1,1,0,0
"378",3,4,14,0,-0.37527701,0.03,-34,-34,0,0,0,1,1,1,0,1
"385",3,4,17,0,-0.52471849,0.02,-34,-34,0,0,0,1,1,1,0,1
"392",3,4,19,0,-0.67443409,0.01,-34,-34,0,0,0,1,1,1,0,1
"399",3,4,20,0,-0.85411539,0.01,-44,-44,0,0,0,1,1,1,0,1
"406",3,4,21,0,-1.04432967,0.01,-44,-44,0,0,0,4,1,1,0,1
"413",3,4,23,0,-1.23618881,0,-44,-44,0,0,0,3,4,4,0,1
"420",3,4,25,0,-1.43955982,0.01,-44,-44,0,0,0,3,3,3,0,1
"427",3,4,25,0,-1.66515011,0.01,-54,-54,0,0,0,3,3,3,0,1
"434",3,4,26,0,-1.89278219,2.38,-53.9,47,0,0,0,3,3,3,0,1
"441",3,4,28,0,-2.11690306,12.99,-52.6,47,0,0,0,3,3,3,0,1
"448",3,4,30,0,-2.33417625,23.64,-48.7,47,0,0,0,2,3,3,0,1
"455",3,4,32,0,-2.55548684,30.37,-41.7,47,0,0,0,2,2,2,0,1
"462",3,4,29,0,-2.75882621,29.99,-44.1,37,0,0,0,2,2,2,0,1
"469",3,4,31,0,-2.93436341,30,-36.9,37,0,0,0,2,2,2,0,1
"476",3,4,34,0,-3.0836662,30,-29.6,37,0,0,0,2,2,2,0,1
"483",3,4,36,0,-3.2175823,30,-22.2,37,0,0,0,2,2,2,0,1
"490",3,4,33,0,-3.3401475,30,-24.9,27,0,0,0,2,2,2,0,1
"497",3,4,36,0,-3.43330721,30,-17.7,27,0,0,0,2,2,2,0,1
"504",3,4,39,0,-3.49433195,30,-10.5,27,0,0,0,2,2,2,0,1
"511",3,4,41,0,-3.53825252,30,-3.19999999999999,27,0,0,0,2,2,2,0,1
"518",3,4,38,0,-3.56907646,25.37,-6.30000000000001,17,0,0,0,4,2,2,0,1
"525",3,4,41,0,-3.57472838,19.56,-1.10000000000002,17,0,0,0,3,4,2,0,1
"532",3,4,44,0,-3.56128937,15.4,2.69999999999999,17,0,0,0,3,3,3,0,1
"539",3,4,46,0,-3.55218781,12.04,5.80000000000001,17,0,0,0,3,3,3,0,1
"546",3,4,43,0,-3.55170344,9.41,-1.69999999999999,7,0,0,0,3,3,3,0,1
"553",3,4,46,0,-3.54412402,7.37,0.199999999999989,7,0,0,0,3,4,3,0,1
"560",3,4,49,0,-3.53524817,5.79,1.60000000000002,7,0,0,0,3,3,3,4,1
"567",3,4,48,0,-3.5414327,4.55,-3.19999999999999,1,0,4,0,3,3,2,3,1
"574",3,1,50,0,-3.55385406,3.57,-4.30000000000001,21,0,3,0,3,3,2,3,1
"581",3,1,53,0,-3.56416851,7.96,-3.39999999999998,21,0,3,0,3,3,2,3,1
"588",3,1,55,0,-3.56484135,18.81,-0.800000000000011,21,0,3,0,2,3,2,3,1
"595",3,2,58,0,-3.54469213,21.09,4,21,0,3,0,2,2,2,3,1
"602",3,2,61,0,-3.50069338,14.04,8,26,0,2,0,2,2,2,2,1
"609",3,2,64,0,-3.4390385,15.94,11.1,26,0,2,0,2,2,2,2,1
"616",3,2,66,0,-3.36177217,12.64,14.3,26,0,2,0,2,2,2,2,1
"623",3,2,69,0,-3.26837108,9.9,16.8,26,0,2,0,2,2,2,2,1
"630",3,2,72,0,-3.16467367,7.79,18.8,26,0,2,0,2,2,2,2,1
"637",3,2,74,0,-3.05416296,6.16,20.3,26,0,2,0,2,2,2,2,1
"644",3,2,77,0,-2.93473273,4.86,21.5,26,0,2,0,2,2,1,2,1
"651",3,2,79,0,-2.81121202,3.83,22.4,26,0,2,0,2,2,1,2,1
"658",3,2,82,0,-2.68223529,3.02,23.2,26,0,2,0,2,2,1,2,1
"665",3,2,84,0,-2.55254412,2.39,23.8,26,0,2,0,1,2,1,2,1
"672",3,2,87,0,-2.41688877,1.88,24.3,26,0,2,0,1,1,1,2,1
"679",3,2,89,0,-2.28160171,1.49,24.6,26,0,3,0,1,1,1,1,1
"686",3,2,92,0,-2.14317021,1.46,24.9,28,0,3,0,1,1,1,1,1
"693",3,2,95,0,-2.00508192,2.83,25.4,28,0,4,0,3,1,1,1,1
"700",3,2,97,0,-1.86169315,2.21,25.9,28,0,3,0,3,1,1,1,1
"707",3,3,100,0,-1.71646122,1.76,26.4,28,0,3,0,3,1,1,1,1
"714",4,4,1,1,-1.58031313,1.39,21.7,23,0,3,0,3,3,4,1,1
"721",4,4,3,0,-1.45580298,1.1,22,23,0,3,0,3,3,3,1,1
"728",4,4,6,0,-1.33085069,0.87,22.2,23,0,3,0,2,3,3,1,1
"735",4,4,7,0,-1.24553068,0.69,12.4,13,0,2,0,2,3,3,1,1
"742",4,4,9,0,-1.16647485,0.55,12.5,13,0,2,0,2,3,3,1,1
"749",4,4,10,0,-1.10690477,0.44,2.59999999999999,3,0,2,0,2,4,2,1,1
