"","PBNleg","PBNdeviation","bank","angleBrM","angdifHCl","angdifSCl","discrSettingNextHdg","dscrTimeWPTCheckCurrLeg","dscrTimeWPTCheckNxtLeg","dscrTimeNavlogCheck","dscrTimeMapCheck","dscrTimeTrackCheck","dscrTimeMapClick","dscrPBNdeviationIntegrCorr"
"1365",6,0.02871192,-0.39,-0.599999999999994,-0.599999999999994,-1,0,0,0,1,1,0,0,0
"1372",6,0.03592571,-0.32,-0.699999999999989,-0.699999999999989,-1,0,0,0,1,1,0,0,0
"1379",6,0.04273454,-0.26,-0.800000000000011,-0.800000000000011,-1,0,0,0,1,0,0,0,0
"1386",6,0.04921913,-0.21,-0.800000000000011,-0.800000000000011,-1,0,0,0,1,0,0,0,0
"1393",6,0.05553074,-0.17,-0.800000000000011,-0.800000000000011,-1,0,0,0,1,4,4,0,0
"1400",6,0.0615656,-0.14,-0.900000000000006,-0.900000000000006,-1,0,0,0,1,3,3,0,0
"1407",6,0.06730196,-0.12,-0.900000000000006,-0.900000000000006,-1,0,0,0,1,3,3,0,0
"1414",6,0.07296539,-1.86,-1,-1,-3,0,0,0,1,3,3,0,0
"1421",6,0.07692495,-1.76,-1.40000000000001,-1.40000000000001,-3,0,0,0,1,3,3,0,0
"1428",6,0.07878014,-1.41,-1.69999999999999,-1.69999999999999,-3,0,0,0,1,3,3,0,0
"1435",6,0.07899484,-1.15,-1.90000000000001,-1.90000000000001,-3,0,0,0,1,2,2,0,0
"1442",6,0.07785911,-0.93,-2.09999999999999,-2.09999999999999,-3,0,4,0,1,2,2,0,0
"1449",6,0.07567125,-0.76,-2.30000000000001,-2.30000000000001,-3,0,3,0,1,2,2,0,0
"1456",6,0.07266525,-0.62,-2.40000000000001,-2.40000000000001,-3,0,3,0,1,2,2,0,0
"1463",6,0.06887826,-0.51,-2.5,-2.5,-3,0,3,0,1,2,2,0,0
"1470",6,0.0645237,-0.41,-2.59999999999999,-2.59999999999999,-3,0,3,0,1,2,2,0,0
"1477",6,0.05969486,-0.33,-2.69999999999999,-2.69999999999999,-3,0,2,0,1,2,2,0,0
"1484",6,0.0544913,-0.27,-2.69999999999999,-2.69999999999999,-3,0,2,0,1,2,2,0,0
"1491",6,0.04900605,-0.22,-2.80000000000001,-2.80000000000001,-3,0,2,0,1,2,2,0,0
"1498",6,0.04323496,-0.18,-2.80000000000001,-2.80000000000001,-3,0,2,0,1,2,2,0,0
