"","PBNleg","dscrPhase","PBNlegPercent","PBNLegChange","PBNdeviation","bank","angdifHCl","angdifSCl","discrSettingNextHdg","dscrTimeWPTCheckCurrLeg","dscrTimeWPTCheckNxtLeg","dscrTimeNavlogCheck","dscrTimeMapCheck","dscrTimeTrackCheck","dscrTimeMapClick","dscrPBNdeviationIntegrCorr"
"7",0,2,10,1,-0.00301128,0.01,-2.8,-1,0,0,0,0,0,0,0,0
"14",0,2,20,0,-0.00619027,0.01,-2.8,-1,0,0,0,0,0,0,0,0
"21",0,2,30,0,-0.00928173,1.33,-2.8,-1,0,0,0,0,0,0,0,0
"28",0,3,41,0,-0.01146215,2.36,-2.6,-1,0,0,0,0,0,0,0,0
"35",0,3,53,0,-0.01217924,1.26,-2.3,-1,0,0,0,4,0,0,0,0
"42",0,3,64,0,-0.01163137,0.97,-2,-1,0,0,0,3,0,0,0,0
"49",0,3,75,0,-0.00993126,0.95,-1.8,-1,0,0,0,3,0,0,0,0
"56",0,3,86,0,-0.00734961,0.67,-1.6,-26,1,0,0,3,0,0,0,0
"63",0,3,97,0,-0.00403641,-1.61,-1.5,-26,1,0,0,3,0,0,0,0
"70",1,4,5,1,0.00641522,-10.86,0.5,-23,0,0,0,4,4,0,0,0
"77",1,4,12,0,0.00930712,-21.05,-2.9,-23,0,0,0,3,3,0,0,0
"84",1,4,20,0,-0.01120684,-20.47,-8.4,-23,0,0,0,3,3,0,0,0
"91",1,4,27,0,-0.05489319,-11.48,-12.7,-23,0,0,0,3,3,0,0,0
"98",1,4,34,0,-0.10893902,-9.03,-14,-32,0,0,0,3,3,0,0,0
"105",1,4,41,0,-0.17288265,-16.45,-16.8,-12,0,0,0,3,2,0,0,0
"112",1,4,49,0,-0.25100891,-14.43,-8.9,0,0,0,0,4,2,0,0,0
"119",1,4,56,0,-0.29216177,-4.43,-11.7,0,0,0,0,3,2,0,0,0
"126",1,3,64,0,-0.33559119,6.4,-2,10,0,0,0,3,2,0,0,1
"133",1,3,71,0,-0.33068181,13.6,0.199999999999999,20,1,0,0,3,2,0,0,1
"140",1,3,78,0,-0.31000299,19.53,4.2,20,1,0,0,3,2,0,0,1
"147",1,3,85,0,-0.26806477,13.67,8.7,20,1,0,0,3,4,0,0,0
"154",1,3,92,0,-0.21011876,8.62,11.4,20,1,0,0,2,3,0,0,0
"161",1,3,99,0,-0.14219621,7.33,13.4,25,1,0,0,2,3,0,0,0
"168",2,4,3,1,-0.15800871,9.08,-9.9,0,0,0,0,2,3,0,0,0
"175",2,4,7,0,-0.18914084,9.07,-7.6,0,0,0,0,2,3,0,0,0
"182",2,4,11,0,-0.21015483,5.93,-5.7,0,0,0,0,2,3,0,0,0
"189",2,4,15,0,-0.22428761,6.22,-4.4,10,0,0,0,2,3,0,0,0
"196",2,4,19,0,-0.23048828,13.74,-2.3,10,0,0,0,2,3,0,0,0
"203",2,4,23,0,-0.2225719,11.14,1,10,0,0,0,4,3,0,0,0
"210",2,4,27,0,-0.20194883,6.85,3.19999999999999,10,0,0,0,3,3,0,0,0
"217",2,4,31,0,-0.17317664,5.82,4.69999999999999,10,0,0,0,3,3,0,0,0
"224",2,4,35,0,-0.13816836,4.34,6,10,0,0,0,3,3,0,0,0
"231",2,2,39,0,-0.09801897,7.12,7.10000000000002,20,0,0,0,3,3,0,0,0
"238",2,2,43,0,-0.05076583,13.47,9.30000000000001,20,0,0,0,4,3,0,0,0
"245",2,2,47,0,0.01159337,8.59,12.2,0,0,0,0,3,2,0,0,0
"252",2,2,51,0,0.08368945,2.28,13.9,0,0,0,0,3,2,0,0,0
"259",2,2,55,0,0.15805212,-8.38,13.6,0,0,0,0,3,2,0,0,0
"266",2,2,59,0,0.22370787,-14.18,11,0,0,0,0,3,3,0,0,0
"273",2,2,63,0,0.27365326,-8.67,8,-10,0,0,0,3,3,0,0,0
"280",2,2,68,0,0.31448136,-10.02,6.10000000000002,-10,0,0,0,2,3,0,0,1
"287",2,2,72,0,0.34365079,-16.3,3.10000000000002,-10,0,0,0,2,3,0,0,1
"294",2,3,76,0,0.35561446,-10.75,-0.4,-10,0,0,0,2,3,0,0,1
"301",2,3,80,0,0.35473748,-7.67,-2.6,-10,0,0,0,3,2,0,0,1
"308",2,3,84,0,0.34540427,-6.33,-4.2,-10,0,0,0,3,2,0,0,2
"315",2,3,88,0,0.32878478,-4.74,-5.6,-10,0,0,0,3,2,0,0,2
"322",2,3,93,0,0.30730616,-2.74,-6.6,102,1,0,0,3,2,0,0,2
"329",2,3,97,0,0.2832771,6.69,-6.5,102,1,0,0,3,2,0,0,0
"336",3,4,1,1,0.25937839,17.67,-9,97,0,0,0,2,4,0,0,0
"343",3,4,3,0,0.23931759,28.19,-3.69999999999999,97,0,0,0,2,3,0,0,0
"350",3,4,6,0,0.22368976,30.69,-5.80000000000001,87,0,0,0,2,3,0,0,0
"357",3,4,9,0,0.22625876,29.8,1.89999999999998,87,0,0,0,2,4,0,0,0
"364",3,4,12,0,0.22152077,30.04,-0.699999999999989,77,0,0,0,4,3,0,0,0
"371",3,4,15,0,0.23722614,29.99,-3.39999999999998,67,0,0,0,3,3,0,0,0
"378",3,4,17,0,0.25127142,30,4.10000000000002,67,0,0,0,3,3,0,0,0
"385",3,4,20,0,0.27467189,30,1.60000000000002,57,0,0,0,3,4,0,0,0
"392",3,4,23,0,0.3135443,30,9,67,0,0,0,3,3,0,0,1
"399",3,4,26,0,0.34245087,30,6.39999999999998,57,0,0,0,3,3,0,0,1
"406",3,4,29,0,0.38701,30,3.69999999999999,47,0,0,0,2,3,0,0,1
"413",3,4,32,0,0.43651649,28.86,11,27,0,0,0,2,3,0,0,1
"420",3,4,35,0,0.48133254,19.68,7.19999999999999,17,0,0,0,2,4,0,0,2
"427",3,4,39,0,0.52433597,9.03,0.699999999999989,7,0,0,0,2,3,0,0,2
"434",3,4,41,0,0.5428625,4.38,2.19999999999999,7,0,0,0,2,3,0,0,2
"441",3,4,45,0,0.5239504,4.39,-6.89999999999998,-3,0,0,0,2,4,0,0,2
"448",3,4,48,0,0.49144305,3.18,-12,-9,0,0,0,2,3,0,0,2
"455",3,2,51,0,0.43211452,2.51,-13.3,-11,0,0,0,2,3,0,0,2
"462",3,2,53,0,0.37525133,1.96,-12.8,-11,0,0,0,2,3,0,0,2
"469",3,2,56,0,0.32039688,1.74,-12.4,-1,0,0,0,2,3,0,0,2
"476",3,2,59,0,0.26843145,9.33,-11.6,-1,0,0,0,4,3,0,0,0
"483",3,2,61,0,0.2270326,10.48,-9.19999999999999,-1,0,0,0,3,3,0,0,0
"490",3,2,64,0,0.19585953,6.36,-7.30000000000001,-1,0,0,0,3,4,0,0,0
