"","PBNleg","PBNdeviation","bank","angleBrM","angdifHCl","angdifSCl","discrSettingNextHdg","dscrTimeWPTCheckCurrLeg","dscrTimeWPTCheckNxtLeg","dscrTimeNavlogCheck","dscrTimeMapCheck","dscrTimeTrackCheck","dscrTimeMapClick","dscrPBNdeviationIntegrCorr"
"7",0,-0.00289768,0,-2.8,-2.8,-1,0,0,0,0,0,0,0,0
"14",0,-0.00609729,0.26,-2.8,-2.8,-1,0,0,0,0,0,0,0,0
"21",0,-0.00880414,2.36,-2.7,-2.7,-2,0,0,0,0,0,0,0,0
"28",0,-0.01008969,0.93,-2.4,-2.4,-2,0,0,0,0,0,0,0,0
"35",0,-0.01054966,-0.35,-2.3,-2.3,-2,0,0,0,3,0,0,0,0
"42",0,-0.0111838,0.42,-2.3,-2.3,-2,0,0,0,3,0,0,0,0
"49",0,-0.01146218,0.34,-2.2,-2.2,-2,0,0,0,3,0,0,0,0
"56",0,-0.01137266,-1.18,-2.2,-2.2,-26,1,0,0,3,0,0,0,0
"63",0,-0.01344939,-9.81,-2.9,-2.9,-26,1,0,0,3,0,0,0,0
"70",1,-0.01953457,-20.2,-3.1,-3.1,-23,0,0,0,2,0,0,0,0
"77",1,-0.04043686,-20.45,-8.4,-8.4,-23,0,0,0,2,0,0,0,0
"84",1,-0.08428065,-11.65,-12.8,-12.8,-23,0,0,0,2,0,0,0,0
"91",1,-0.14158403,-8.67,-15.1,-15.1,-27,0,0,0,4,0,0,0,0
"98",1,-0.20774694,-11.38,-16.5,-16.5,-26,0,0,0,3,0,0,0,0
"105",1,-0.28110995,-7.54,-19,-19,-26,0,0,0,3,0,0,0,0
"112",1,-0.3640147,-5.73,-20.6,-20.6,-26,0,0,0,3,0,0,0,1
"119",1,-0.40945482,-4.15,-9.9,-9.9,15,1,0,0,3,4,0,0,1
"126",1,-0.44746244,4.45,-10.3,-10.3,15,1,0,0,3,3,0,0,1
"133",1,-0.43984693,15.27,1.6,1.6,35,1,0,0,2,3,0,0,2
"140",1,-0.41203615,25.78,6.3,6.3,35,1,0,0,3,3,0,0,2
"147",1,-0.35433772,28.57,13.8,13.8,35,1,0,0,3,3,0,0,2
"154",1,-0.26358759,20.17,20.5,20.5,35,1,0,0,3,3,0,0,0
"161",1,-0.15029902,10.86,24.4,24.4,35,1,0,0,3,2,0,0,0
"168",2,-0.08355926,7.19,1.69999999999999,1.69999999999999,0,0,0,0,4,2,0,0,0
"175",2,-0.06307258,-2.12,2.69999999999999,2.69999999999999,0,0,4,0,3,4,0,4,0
"182",2,-0.0438199,-3.05,2,2,0,0,3,0,3,3,0,3,0
"189",2,-0.02785046,-1.29,1.5,1.5,0,0,3,0,3,3,0,3,0
"196",2,-0.01379111,-1.34,1.19999999999999,1.19999999999999,0,0,3,0,3,4,4,3,0
"203",2,-0.00074221,-0.96,0.899999999999977,0.899999999999977,0,0,3,0,3,3,3,3,0
"210",2,0.01121212,-0.73,0.699999999999989,0.699999999999989,0,0,3,0,2,3,3,2,0
"217",2,0.02239051,-0.57,0.5,0.5,0,0,2,0,2,3,3,2,0
"224",2,0.03288387,-0.43,0.399999999999977,0.399999999999977,-1,0,2,0,2,3,3,2,0
"231",2,0.04278369,-1.43,0.199999999999989,0.199999999999989,-1,0,2,0,2,3,3,2,0
"238",2,0.05131584,-1.04,-0.1,-0.1,-1,0,2,0,2,2,2,2,0
"245",2,0.05866237,-0.72,-0.3,-0.3,-3,0,2,0,3,2,2,2,0
