"","PBNleg","PBNdeviation","bank","angleBrM","angdifHCl","angdifSCl","discrSettingNextHdg","dscrTimeWPTCheckCurrLeg","dscrTimeWPTCheckNxtLeg","dscrTimeNavlogCheck","dscrTimeMapCheck","dscrTimeTrackCheck","dscrTimeMapClick","dscrPBNdeviationIntegrCorr"
"7",0,-0.00301398,0.01,-2.8,-2.8,-1,0,0,0,0,0,0,0,0
"14",0,-0.0061737,0,-2.8,-2.8,-1,0,0,0,0,0,0,0,0
"21",0,-0.00940644,0.24,-2.8,-2.8,-1,0,0,0,0,0,0,0,0
"28",0,-0.01209237,2.3,-2.7,-2.7,-1,0,0,0,0,0,0,0,0
"35",0,-0.01287557,1.58,-2.3,-2.3,-1,0,0,0,4,0,0,0,0
"42",0,-0.01247988,0.93,-2.1,-2.1,-1,0,0,0,3,0,0,0,0
"49",0,-0.0111062,0.99,-1.8,-1.8,-26,1,0,0,3,0,0,0,0
"56",0,-0.00920338,-4.68,-1.9,-1.9,-26,1,0,0,3,0,0,0,0
"63",0,-0.0128557,-14.95,-3.6,-3.6,-26,1,0,4,3,0,0,0,0
"70",1,-0.02802273,-22.21,-5.1,-5.1,-23,0,0,3,4,0,0,0,0
"77",1,-0.058447,-16.79,-10.6,-10.6,-23,0,0,3,3,0,0,0,0
"84",1,-0.10797144,-8.98,-14,-14,-23,0,0,3,3,0,0,0,0
"91",1,-0.16552163,-7.65,-16,-16,-23,0,0,3,3,0,0,0,0
"98",1,-0.23215716,-5.78,-17.7,-17.7,-23,0,0,3,3,0,0,0,0
"105",1,-0.30217245,-4.26,-18.1,-18.1,-22,0,0,2,3,0,0,0,1
"112",1,-0.3763341,-2.79,-19,-19,8,1,0,2,2,0,0,0,1
"119",1,-0.43045744,6.2,-7.1,-7.1,20,1,0,2,2,3,0,0,1
"126",1,-0.44597464,16.74,-4.6,-4.6,40,1,0,2,2,3,0,0,1
"133",1,-0.42349869,27.55,10.9,10.9,50,1,0,2,2,3,0,0,2
"140",1,-0.34629427,30.77,19.3,19.3,50,1,0,2,2,3,0,0,2
"147",1,-0.23351141,25.56,27.5,27.5,50,1,0,2,2,3,0,0,0
"154",1,-0.09285553,17.95,33.2,33.2,50,1,0,2,2,2,0,0,0
"161",1,0.0609742,11.62,37,37,26,1,0,2,2,2,0,0,0
"168",1,0.22836143,0.9,39,39,16,1,0,2,2,2,0,0,0
"175",2,0.33629311,-9.92,13.3,13.3,-9,0,0,2,2,2,0,0,1
"182",2,0.39544423,-19.85,9.80000000000001,9.80000000000001,-19,0,0,1,2,2,0,0,1
"189",2,0.43198682,-26.85,3.69999999999999,3.69999999999999,-19,0,0,1,1,2,0,0,1
"196",2,0.43791482,-21.87,-3,-3,-19,0,0,1,1,2,0,0,1
"203",2,0.41800742,-12.23,-7.6,-7.6,-9,0,0,1,1,2,0,0,2
"210",2,0.38416641,-2.55,-9.7,-9.7,-9,0,0,1,1,2,0,0,2
"217",2,0.34695892,1.94,-9.8,-9.8,-9,0,0,1,1,2,0,0,2
"224",2,0.31121273,0.36,-9.5,-9.5,-9,0,0,1,1,2,0,0,2
"231",2,0.27592542,0.49,-9.4,-9.4,-9,0,0,1,1,1,0,0,0
"238",2,0.24192258,1.46,-9.3,-9.3,1,0,0,1,1,1,0,0,0
"245",2,0.2096945,9.82,-8.2,-8.2,1,0,0,1,4,1,0,0,0
"252",2,0.18721326,8.28,-5.8,-5.8,1,0,0,1,3,1,0,0,0
"259",2,0.17411246,5.23,-4.1,-4.1,1,0,0,1,3,4,0,0,0
"266",2,0.16716009,4.32,-2.9,-2.9,1,0,0,1,3,3,0,0,0
"273",2,0.16494842,3.23,-2,-2,1,0,0,1,4,3,0,0,0
"280",2,0.16632648,2.47,-1.3,-1.3,1,0,0,1,3,3,0,0,0
"287",2,0.17048097,1.6,-0.7,-0.7,-2,0,0,1,3,3,0,0,0
"294",2,0.17577234,-1.97,-0.7,-0.7,-2,0,0,1,3,2,0,0,0
"301",2,0.17942414,-0.89,-1.1,-1.1,-2,0,0,1,3,2,0,0,0
