ID_flight,bank,distacleg,discrdistacleg,distaclegend,brgaclegend,distaclegendsecondstas,actionhdgval,actionspdval,actionspdsel,actionfdsel,thr68y78y88y93y98,discrDistACLegAccum,discrDistACLegAvgGlobal,discrDistACLegAvg20,discrDistACLegAvg40,accumConsecDiscrDistACLeg3orMore,accumConsecDiscrDistACLeg3orMoreDisc05,accumActionHdgValChange,percentActionHdgValChangeLast20,percentActionHdgValChangeLast40,PBNleg,PBNlegCourse,PBNnxtlegCourse,PBNDistDiscr,PBNLogCheck,PBNNxtTrnPointCheck,PBNMapCheck,PBNMapClick,PBNTrackCheck,PBNWPTCheck,angleM,angleCLCrs,anglePBNleg,anglePBNnxtleg,dstNxtTP,angleBrM,dscrAngleBrM,angleDiffBrM,dscrBank,bankDiff,PBNLegChange,PBNLegEndType,PBNdeviationIntegr,PBNdeviationIntegrCorr,PBNdeviation,PBNlegLength,PBNlegPercent,phaseTxt,angleLegDiff
16,0,0.00688908,0,2.14625093,359.17082246,27,-999,-999,1,1,5,0,0,0,0,0,0,0,0,0,0,359,25,0,0,0,0,0,0,0,1.8,-1,-1,25,2.14865522582873,-2.8,0,0,0,-0.0193906038445716,0,1,0,0,-0.00688908,2.76,22.299875212817,2,-26
17,0,0.00733332,0,2.10680856,359.155298,27,-999,-999,1,1,5,0,0,0,0,0,0,0,0,0,0,359,25,0,0,0,0,0,0,0,1.8,-1,-1,25,2.10916866880322,-2.8,0,0,0,0,0,1,0,0,-0.00733332,2.76,23.7304826619554,2,-26
18,-0.01,0.00779176,0,2.06610564,359.13865587,26,-999,260,1,1,4,0,0,0,0,0,0,0,0,0,0,359,25,0,0,0,0,0,0,0,1.8,-1,-1,25,2.06842015313318,-2.8,0,0,0,-0.0193906038445716,0,1,0,0,-0.00779176,2.76,25.2068090986141,2,-26
19,0,0.00824885,0,2.02552297,359.12139694,26,-999,260,1,1,3,0,0,0,0,0,0,0,0,0,0,359,25,0,0,0,0,0,0,0,1.8,-1,-1,25,2.02779202060526,-2.8,0,0,0,0.0193906038445716,0,1,0,0,-0.00824885,2.76,26.678801436628,2,-26
20,0,0.00869309,0,1.98608112,359.10394724,25,-999,260,1,1,2,0,0,0,0,0,0,0,0,0,0,359,25,0,0,0,0,0,0,0,1.8,-1,-1,25,1.98830598561081,-2.8,0,0,0,0,0,1,0,0,-0.00869309,2.76,28.1094089639972,2,-26
21,-0.01,0.00913192,0,1.94711972,359.08601594,25,-999,260,1,1,2,0,0,0,0,0,0,0,0,0,0,359,25,0,0,0,0,0,0,0,1.8,-1,-1,25,1.94930094403302,-2.8,0,0,0,-0.0193906038445716,0,1,0,0,-0.00913192,2.76,29.5225911167741,2,-26
22,0.01,0.00957819,0,1.90749817,359.06702948,24,-999,260,1,1,2,0,0,0,0,0,0,0,0,0,0,359,25,0,0,0,0,0,0,0,1.8,-1,-1,25,1.90963500293897,-2.8,0,0,0,0.0387812076891433,0,1,0,0,-0.00957819,2.76,30.9597329783492,2,-26
23,0,0.01002107,0,1.86817699,359.04739063,24,-999,260,1,1,2,0,0,0,0,0,0,0,0,0,0,359,25,0,0,0,0,0,0,0,1.8,-1,-1,25,1.87026977820343,-2.8,0,0,0,-0.0193906038445716,0,1,0,0,-0.01002107,2.76,32.3859840316901,2,-26
24,0,0.01046464,0,1.82879601,359.02687536,23,-999,260,1,1,2,0,0,0,0,0,0,0,0,0,0,359,25,0,0,0,0,0,0,0,1.8,-1,-1,25,1.83084468302742,-2.8,0,0,0,0,0,1,0,0,-0.01046464,2.76,33.8144134575136,2,-26
25,0.12,0.0109197,0,1.78839474,359.00488951,23,0,260,1,1,2,0,0,0,0,0,0,1,5,4,0,359,25,0,0,0,0,0,0,0,1.8,-1,-1,25,1.79039815677959,-2.8,0,0,0,0.23268724613486,0,1,0,0,-0.0109197,2.76,35.279849214905,3,-26
26,0.37,0.01136596,0,1.74877415,358.98234173,22,0,260,1,1,2,0,0,0,0,0,0,1,5,3,0,359,25,0,0,0,0,0,0,0,1.8,-1,-1,25,1.75073318329079,-2.8,0,0,0,0.484765096114291,0,1,0,0,-0.01136596,2.76,36.7169911618036,3,-26
27,0.72,0.01183387,0,1.70723287,358.95757684,22,0,260,1,1,1,0,0,0,0,0,0,1,5,3,0,359,25,0,0,0,0,0,0,0,1.8,-1,-1,25,1.70914536260555,-2.8,0,0,0,0.678671134560007,0,1,0,0,-0.01183387,2.76,38.2238118795333,3,-26
28,1.11,0.01224263,0,1.66689167,358.93391376,21,0,260,1,1,1,0,0,0,0,0,0,1,5,3,0,359,25,0,0,0,0,0,0,0,1.8,-1,-1,25,1.66875897328827,-2.8,0,0,0,0.756233549938294,0,1,0,0,-0.01224263,2.76,39.6871134200869,3,-26
29,1.44,0.01257769,0,1.633094,358.91344838,21,0,260,1,1,1,0,0,0,0,0,0,1,5,3,0,359,25,0,0,0,0,0,0,0,1.8,-1,-1,25,1.63492344175889,-2.8,0,0,0,0.639889926870863,0,1,0,0,-0.01257769,2.76,40.9130621073918,3,-26
30,1.78,0.01297089,0,1.59413403,358.88852976,20,0,260,1,1,1,0,0,0,0,0,0,1,5,3,0,359,25,0,0,0,0,0,0,0,1.8,-1,-1,25,1.59591983314655,-2.8,0,0,0,0.659280530715435,0,1,0,0,-0.01297089,2.76,42.3262879356897,3,-26
31,2.06,0.01328908,0,1.55373189,358.86467068,20,0,260,1,1,1,0,0,0,0,0,0,1,5,3,0,359,25,0,0,0,0,0,0,0,1.7,-1,-1,25,1.5554724272728,-2.7,0,0.193906038445716,0,0.542936907648006,0,1,0,0,-0.01328908,2.76,43.7918111606707,3,-26
32,2.26,0.01362283,0,1.51194938,358.83847782,19,0,260,1,1,1,0,0,0,0,0,0,1,5,3,0,359,25,0,0,0,0,0,0,0,1.7,-1,-1,25,1.51364311242562,-2.7,0,0,0,0.387812076891432,0,1,0,0,-0.01362283,2.76,45.3074314911337,3,-26
33,2.36,0.0138464,0,1.47184609,358.81570445,18,0,260,1,1,1,0,0,0,0,0,0,1,5,3,0,359,25,0,0,0,0,0,0,0,1.6,-1,-1,25,1.47349489595514,-2.6,0,0.193906038445716,0,0.193906038445716,0,1,0,0,-0.0138464,2.76,46.7621294107068,3,-26
34,2.36,0.01402571,0,1.43162203,358.79337887,18,0,260,1,1,1,0,0,0,0,0,0,1,5,2,0,359,25,0,0,0,0,0,0,0,1.5,-1,-1,25,1.43322577234877,-2.5,0,0.193906038445716,0,0,0,1,0,0,-0.01402571,2.76,48.2212269526208,3,-26
35,2.27,0.01416616,0,1.39079695,358.77110988,17,0,260,1,1,1,0,0,0,0,0,0,1,5,2,0,359,25,0,0,0,0,0,0,0,1.5,-1,-1,25,1.39235496239127,-2.5,0,0,0,-0.174515434601144,0,1,0,0,-0.01416616,2.76,49.7021277455173,3,-26
36,2.11,0.01428467,0,1.34787018,358.74747968,17,0,260,1,1,0,0,0,0,0,0,0,1,5,2,0,359,25,0,0,0,0,0,0,0,1.4,-1,-1,25,1.34938010708913,-2.4,0,0.193906038445716,0,-0.310249661513146,0,1,0,0,-0.01428467,2.76,51.262994032339,3,-26
37,1.93,0.01436396,0,1.30842514,358.72569515,16,0,260,1,1,0,0,0,0,0,0,0,1,5,2,0,359,25,0,0,0,0,0,0,0,1.4,-1,-1,25,1.3098908808422,-2.4,0,0,0,-0.349030869202289,0,1,0,0,-0.01436396,2.76,52.6937392920568,3,-26
38,1.73,0.014399,0,1.26885922,358.70449246,16,0,260,1,1,0,0,0,0,0,0,0,1,5,2,0,359,25,0,0,0,0,0,0,0,1.4,-1,-1,25,1.27028063776434,-2.4,0,0,0,-0.387812076891432,0,1,0,0,-0.014399,2.76,54.1288676434123,3,-26
39,1.54,0.01440127,0,1.22815197,358.68282789,15,0,260,1,1,0,0,0,0,0,0,0,1,5,2,0,359,25,0,0,0,0,0,0,0,1.3,-1,-1,25,1.22952778460753,-2.3,0,0.193906038445716,0,-0.368421473046861,0,1,0,0,-0.01440127,2.76,55.6053832229161,3,-26
40,1.37,0.01439949,0,1.18780505,358.6600844,15,0,260,1,1,0,0,0,0,0,0,0,1,5,2,0,359,25,0,0,0,0,0,0,0,1.3,-1,-1,25,1.18913566665659,-2.3,0,0,0,-0.329640265357718,0,1,0,0,-0.01439949,2.76,57.0688573358187,3,-26
41,1.22,0.01440381,0,1.14691812,358.63509879,14,0,260,1,1,0,0,0,0,0,0,0,1,5,2,0,359,25,0,0,0,0,0,0,0,1.3,-1,-1,25,1.1482029328571,-2.3,0,0,0,-0.290859057668575,0,1,0,0,-0.01440381,2.76,58.5519163703713,3,-26
42,1.13,0.0143841,0,1.11221488,358.61365468,14,0,260,1,1,0,0,0,0,0,0,0,1,5,2,0,359,25,0,0,0,0,0,0,0,1.2,-1,-1,25,1.1134608184713,-2.2,0,0.193906038445716,0,-0.174515434601145,0,1,0,0,-0.0143841,2.76,59.8107076483261,3,-26
43,1.05,0.01433372,0,1.06808494,358.58573147,13,0,260,1,1,0,0,0,0,0,0,0,1,5,2,0,359,25,0,0,0,0,0,0,0,1.2,-1,-1,25,1.06928144585321,-2.2,0,0,0,-0.155124830756573,0,1,0,0,-0.01433372,2.76,61.4114099447293,3,-26
44,1.01,0.0142563,0,1.02635614,358.55878134,13,0,260,1,1,0,0,0,0,0,0,0,1,5,2,0,359,25,0,0,0,0,0,0,0,1.2,-1,-1,25,1.0275058939131,-2.2,0,0,0,-0.0775624153782866,0,1,0,0,-0.0142563,2.76,62.9250383432942,3,-26
45,1,0.01422045,0,0.98498888,358.52743254,12,0,260,1,1,0,0,0,0,0,0,0,1,0,2,0,359,25,0,0,0,0,0,0,0,1.2,-1,-1,25,0.986092291780029,-2.2,0,0,0,-0.0193906038445716,0,1,0,0,-0.01422045,2.76,64.4255802101747,3,-26
46,1.01,0.01415387,0,0.9423003,358.49399561,12,0,260,1,1,0,0,0,0,0,0,0,1,0,2,0,359,25,0,0,0,0,0,0,0,1.2,-1,-1,25,0.943355895498317,-2.2,0,0,0,0.0193906038445716,0,1,0,0,-0.01415387,2.76,65.9740425295262,3,-26
47,1.03,0.01407446,0,0.90075244,358.45933881,11,0,260,1,1,0,0,0,0,0,0,0,1,0,2,0,359,25,0,1,0,0,0,0,0,1.1,-1,-1,25,0.901761486487002,-2.1,0,0.193906038445716,0,0.0387812076891433,0,1,0,0,-0.01407446,2.76,67.481146628058,3,-26
48,1.07,0.01398663,0,0.8559027,358.41829221,10,0,260,1,1,0,0,0,0,0,0,0,1,0,2,0,359,25,0,0,0,0,0,0,0,1.1,-1,-1,25,0.856861511209561,-2.1,0,0,0,0.0775624153782866,0,1,0,0,-0.01398663,2.76,69.1080252004584,3,-26
49,1.1,0.01387245,0,0.81339409,358.37739001,10,0,260,1,1,0,0,0,0,0,0,0,1,0,2,0,359,25,0,0,0,0,0,0,0,1.1,-1,-1,25,0.814305284416372,-2.1,0,0,0,0.0581718115337149,0,1,0,0,-0.01387245,2.76,70.6500058641692,3,-26
50,1.12,0.01375827,0,0.77088595,358.33197693,9,0,260,1,1,0,0,0,0,0,0,0,1,0,2,0,359,25,0,0,0,0,0,0,0,1.1,-1,-1,25,0.7717495155689,-2.1,0,0,0,0.0387812076891433,0,1,0,0,-0.01375827,2.76,72.1919891112775,3,-26
51,1.13,0.01360526,0,0.72777684,358.28343455,9,0,260,1,1,0,0,0,0,0,0,0,1,0,2,0,359,25,0,0,0,0,0,0,0,1,-1,-1,25,0.728592111879479,-2,0,0.193906038445716,0,0.0193906038445712,0,1,0,0,-0.01360526,2.76,73.755755509575,3,-26
52,1.13,0.01344618,0,0.68520842,358.23017599,8,0,260,1,1,0,0,0,0,0,0,0,1,0,2,0,359,25,0,0,0,0,0,0,0,1,-1,-1,25,0.685976012083765,-2,0,0,0,0,0,1,0,0,-0.01344618,2.76,75.2999434556514,3,-26
53,1.12,0.01324961,0,0.6419191,358.1718768,8,0,260,1,1,0,0,0,0,0,0,0,1,0,2,0,359,25,0,0,0,0,0,0,0,1,-1,-1,25,0.642638197970227,-2,0,0,0,-0.0193906038445712,0,1,0,0,-0.01324961,2.76,76.8702921460548,3,-26
54,1.1,0.01300947,0,0.59844901,358.10893995,7,0,260,1,1,0,0,0,0,0,0,0,1,0,2,0,359,25,0,0,0,0,0,0,0,0.9,-1,-1,25,0.599119410811168,-1.9,0,0.193906038445716,0,-0.0387812076891433,0,1,0,0,-0.01300947,2.76,78.4471989679985,3,-26
55,1.06,0.01274403,0,0.55317804,358.03447166,7,0,260,1,1,0,0,0,0,0,0,0,1,0,2,0,359,25,0,0,0,0,0,0,0,0.9,-1,-1,25,0.55379772800564,-1.9,0,0,0,-0.0775624153782866,0,1,0,0,-0.01274403,2.76,80.0894720059053,3,-26
56,1.02,0.0124644,0,0.50916821,357.9518119,6,0,260,1,1,0,0,0,0,0,0,0,1,0,2,0,359,25,0,0,0,0,0,0,0,0.8,-1,-1,25,0.50973860062597,-1.8,0,0.193906038445716,0,-0.0775624153782866,0,1,0,0,-0.0124644,2.76,81.6860073288621,3,-26
57,0.96,0.01218479,0,0.46515965,357.85351108,6,0,260,1,1,0,0,0,0,0,0,0,1,0,2,0,359,25,0,0,0,0,0,0,0,0.8,-1,-1,25,0.465680728650935,-1.8,0,0,0,-0.11634362306743,0,1,0,0,-0.01218479,2.76,83.2825444179613,3,-26
58,0.91,0.01184471,0,0.4224708,357.74792812,5,0,260,1,1,0,0,0,0,0,0,0,1,0,2,0,359,25,0,0,0,0,0,0,0,0.8,-1,-1,25,0.422944062028641,-1.8,0,0,0,-0.096953019222858,0,1,0,0,-0.01184471,2.76,84.8312305312585,3,-26
59,0.85,0.01151952,0,0.37846396,357.61030095,5,0,260,1,1,0,0,0,0,0,0,0,1,0,2,0,359,25,0,0,0,0,0,0,0,0.7,-1,-1,25,0.378887929897656,-1.7,0,0.193906038445716,0,-0.11634362306743,0,1,0,0,-0.01151952,2.76,86.4277926325956,3,-26
60,0.8,0.01114401,0,0.33487772,357.44746977,4,0,260,1,1,0,0,0,0,0,0,0,1,0,2,0,359,25,0,0,0,0,0,0,0,0.7,-1,-1,25,0.335252855020312,-1.7,0,0,0,-0.096953019222858,0,1,0,0,-0.01114401,2.76,88.0091532112468,3,-26
61,0.75,0.01076107,0,0.29195466,357.2421621,4,0,260,1,1,0,0,0,0,0,0,0,1,0,2,0,359,25,0,0,0,0,0,0,0,0.7,-1,-1,25,0.292281720760703,-1.7,0,0,0,-0.0969530192228582,0,1,0,0,-0.01076107,2.76,89.5665779266067,3,-26
62,0.7,0.01033458,0,0.24885437,356.97437705,3,0,260,1,1,0,0,0,0,0,0,0,1,0,2,0,359,25,0,0,0,0,0,0,0,0.7,-1,-1,25,0.249133150072969,-1.7,0,0,0,-0.0969530192228582,0,1,0,0,-0.01033458,2.76,91.1305382746464,3,-26
63,0.67,0.00996714,0,0.21266255,356.66812427,3,0,260,1,1,0,0,0,0,0,0,0,1,0,2,0,359,25,0,0,0,0,0,0,0,0.6,-1,-1,25,0.212900784968192,-1.6,0,0.193906038445716,0,-0.0581718115337147,0,1,0,0,-0.00996714,2.76,92.4440183649354,3,-26
64,0.64,0.00953256,0,0.17029971,356.14563215,2,0,260,1,1,0,0,0,0,0,0,0,1,0,2,0,359,25,0,0,0,0,0,0,0,0.6,-1,-1,25,0.170490485640874,-1.6,0,0,0,-0.0581718115337149,0,1,0,0,-0.00953256,2.76,93.9818656124905,3,-26
65,0.61,0.00909598,0,0.12813991,355.28389124,2,0,260,1,1,0,0,0,0,0,0,0,1,0,0,0,359,25,0,0,0,0,0,0,0,0.6,-1,-1,25,0.128283458760215,-1.6,0,0,0,-0.0581718115337149,0,1,0,0,-0.00909598,2.76,95.5132012275878,3,-26
66,0.59,0.00861516,0,0.08591308,353.5992711,1,0,260,1,1,0,0,0,0,0,0,0,1,0,0,0,359,25,0,0,0,0,0,0,0,0.6,-1,-1,25,0.0860093363585591,-1.6,0,0,0,-0.0387812076891433,0,1,0,0,-0.00861516,2.76,97.0488941462293,3,-26
67,0.57,0.0081418,0,0.04325615,348.50532105,1,0,260,1,1,0,0,0,0,0,0,0,1,0,0,0,359,25,0,0,0,0,0,0,0,0.6,-1,-1,25,0.043304628615072,-1.6,0,0,0,-0.0387812076891433,0,1,0,0,-0.0081418,2.76,98.6085471791905,3,-26
68,0.55,0.00765561,0,0.00768121,274.03407679,0,0,260,1,1,0,0,0,0,0,0,0,1,0,0,0,359,25,0,0,0,0,0,0,0,0.5,-1,-1,25,0.00768988478635089,-1.5,0,0.193906038445716,0,-0.0387812076891431,0,1,0,0,-0.00765561,2.76,100.126839035064,3,-26
69,0.54,0.00498595,0,1.12039016,2.10424068,14,0,260,1,1,0,0,0,0,0,0,0,1,0,0,1,25,360,0,0,0,0,0,0,0,0.5,2,25,0,3.66694221589396,1.5,0,5.81718115337149,0,-0.0193906038445716,1,1,0,0,-0.00498595,3.77,1.11043695556276,4,25
70,0.53,0.00227314,0,1.07890998,2.23848872,13,0,260,1,1,0,0,0,0,0,0,0,1,0,0,1,25,360,0,0,0,0,0,0,0,0.5,2,25,0,3.62661759755556,1.5,0,0,0,-0.0193906038445716,0,1,0,0,-0.00227314,3.77,2.21213208769937,4,25
71,0.52,0.00036937,0,1.03803419,2.37957861,13,0,260,1,1,0,0,0,0,0,0,0,1,0,0,1,25,360,0,0,0,0,0,0,0,0.5,2,25,0,3.58689728309021,1.5,0,0,0,-0.0193906038445716,0,1,0,0,0.00036937,3.77,3.29795297987808,4,25
72,0.51,0.00306484,0,0.99698729,2.53530974,12,0,260,1,1,0,0,0,0,0,0,0,1,0,0,1,25,360,0,0,0,0,0,0,0,0.5,2,25,0,3.5470411878791,1.5,0,0,0,-0.0193906038445716,0,1,0,0,0.00306484,3.77,4.38849581635892,4,25
73,0.49,0.00570237,0,0.9562461,2.70083571,12,0,260,1,1,0,0,0,0,0,0,0,1,0,0,1,25,360,0,0,0,0,0,0,0,0.5,2,25,0,3.50749748471851,1.5,0,0,0,-0.0387812076891433,0,1,0,0,0.00570237,3.77,5.47112634591183,4,25
74,0.48,0.00837061,0,0.91587568,2.88280827,12,0,260,1,1,0,0,0,0,0,0,0,1,0,0,1,25,360,0,0,0,0,0,0,0,0.4,2,25,0,3.46834612149426,1.6,0,0.193906038445716,0,-0.0193906038445716,0,1,0,0,0.00837061,3.77,6.54413696075186,4,25
75,0.47,0.01111159,0,0.87485831,3.08686745,11,0,260,1,1,0,0,0,0,0,0,0,1,0,0,1,25,360,0,0,0,0,0,0,0,0.4,2,25,0,3.42859547636884,1.6,0,0,0,-0.0193906038445716,0,1,0,0,0.01111159,3.77,7.63464800313922,4,25
76,0.45,0.01394645,0,0.83157542,3.32007824,11,0,260,1,1,0,0,0,0,0,0,0,1,0,0,1,25,360,0,0,0,0,0,0,0,0.4,2,25,0,3.38666282957432,1.6,0,0,0,-0.0387812076891432,0,1,0,0,0.01394645,3.77,8.78570274227152,4,25
77,0.43,0.01677497,0,0.78956906,3.5764849,10,0,260,1,1,0,0,0,0,0,0,0,1,0,0,1,25,360,0,0,0,0,0,0,0,0.4,2,25,0,3.34600436804941,1.6,0,0,0,-0.0387812076891433,0,1,0,0,0.01677497,3.77,9.9032553216159,4,25
78,0.42,0.01943571,0,0.7494312,3.84516125,10,0,260,1,1,0,0,0,0,0,0,0,1,0,0,1,25,360,0,0,0,0,0,0,0,0.4,2,25,0,3.30716703610168,1.6,0,0,0,-0.0193906038445716,0,1,0,0,0.01943571,3.77,10.9714958572619,4,25
79,0.4,0.02226912,0,0.70734216,4.16320364,9,0,260,1,1,0,0,0,0,0,0,0,1,0,0,1,25,360,0,0,0,0,0,0,0,0.4,2,25,0,3.26646950057416,1.6,0,0,0,-0.0387812076891432,0,1,0,0,0.02226912,3.77,12.0922228751016,4,25
80,0.39,0.02448422,0,0.67471727,4.4386728,9,0,260,1,1,0,0,0,0,0,0,0,1,0,0,1,25,360,0,1,0,0,0,0,0,0.4,2,25,0,3.23493912115591,1.6,0,0,0,-0.0193906038445716,0,1,0,0,0.02448422,3.77,12.9614284044413,4,25
81,0.37,0.02773462,0,0.62700747,4.89425168,8,0,260,1,1,0,0,0,0,0,0,0,1,0,0,1,25,360,0,0,0,0,0,0,0,0.3,2,25,0,3.18884810449652,1.7,0,0.193906038445716,0,-0.0387812076891433,0,1,0,0,0.02773462,3.77,14.2333619971211,4,25
82,0.36,0.02988928,0,0.59478467,5.23948715,8,0,260,1,1,0,0,0,0,0,0,0,1,0,0,1,25,360,0,0,0,0,0,0,0,0.3,2,25,0,3.15771965838056,1.7,0,0,0,-0.0193906038445716,0,1,0,0,0.02988928,3.77,15.0930436443935,4,25
83,0.34,0.03314458,0,0.54703912,5.83263641,7,0,260,1,1,0,0,0,0,0,0,0,1,0,0,1,25,360,0,0,0,0,0,0,0,0.3,2,25,0,3.11161200423102,1.7,0,0,0,-0.0387812076891432,0,1,0,0,0.03314458,3.77,16.3693114518216,4,25
84,0.33,0.03588149,0,0.50745623,6.41368189,7,0,260,1,1,0,0,0,0,0,0,0,1,0,0,1,25,360,0,0,0,0,0,0,0,0.3,2,25,0,3.07339003284173,1.7,0,0,0,-0.0193906038445716,0,1,0,0,0.03588149,3.77,17.4278298097093,4,25
85,0.31,0.03862333,0,0.46781519,7.09477396,6,0,260,1,1,0,0,0,0,0,0,0,1,0,0,1,25,360,0,0,0,0,0,0,0,0.3,2,25,0,3.0350978808342,1.7,0,0,0,-0.0387812076891433,0,1,0,0,0.03862333,3.77,18.4895470337422,4,25
86,0.3,0.04136762,0,0.42819303,7.90294365,6,0,260,1,1,0,0,0,0,0,0,0,1,0,0,1,25,360,0,0,0,0,0,0,0,0.3,2,25,0,2.99679543818466,1.7,0,0,0,-0.0193906038445716,0,1,0,0,0.04136762,3.77,19.5528819477355,4,25
87,0.29,0.04357271,0,0.39611519,8.67427403,5,0,260,1,1,0,0,0,0,0,0,0,1,0,0,1,25,360,0,0,0,0,0,0,0,0.3,2,25,0,2.96574790410007,1.7,0,0,0,-0.0193906038445716,0,1,0,0,0.04357271,3.77,20.4156497907145,4,25
88,0.28,0.04629471,0,0.35723571,9.80492545,5,0,260,1,1,0,0,0,0,0,0,0,1,0,0,1,25,360,0,0,0,0,0,0,0,0.3,2,25,0,2.92805503320833,1.7,0,0,0,-0.0193906038445715,0,1,0,0,0.04629471,3.77,21.464637043708,4,25
