"","PBNleg","dscrPhase","PBNlegPercent","PBNLegChange","PBNdeviation","bank","angdifHCl","angdifSCl","discrSettingNextHdg","dscrTimeWPTCheckCurrLeg","dscrTimeWPTCheckNxtLeg","dscrTimeNavlogCheck","dscrTimeMapCheck","dscrTimeTrackCheck","dscrTimeMapClick","dscrPBNdeviationIntegrCorr"
"7",0,2,10,1,-0.00309985,0,-2.8,-1,0,0,0,0,0,0,0,0
"14",0,2,21,0,-0.00634341,0,-2.8,-1,0,0,0,0,0,0,0,0
"21",0,2,32,0,-0.00971309,0.01,-2.8,-1,0,0,0,0,0,0,0,0
"28",0,3,43,0,-0.01321698,0.07,-2.8,-1,0,0,0,0,0,0,0,0
"35",0,3,54,0,-0.01622077,2.13,-2.7,-1,0,0,0,0,0,0,0,0
"42",0,3,66,0,-0.01736728,1.37,-2.3,-1,0,0,0,0,0,0,0,0
"49",0,3,78,0,-0.01696503,1.13,-2.1,-1,0,0,0,0,0,0,0,0
"56",0,3,89,0,-0.01568828,1.02,-2,-1,0,0,0,0,0,0,0,0
"63",0,3,100,0,-0.01383454,0.86,-1.8,-1,0,0,0,0,0,0,0,0
"70",1,4,8,1,0.0043769,0.6,1.5,2,1,0,0,0,0,0,0,0
"77",1,4,16,0,0.02351514,0.44,1.6,2,1,0,0,0,0,0,0,0
"84",1,4,23,0,0.04281525,0.35,1.7,2,1,0,0,0,0,0,0,0
"91",1,4,30,0,0.06161758,0.27,1.8,2,1,0,0,0,0,0,0,0
"98",1,4,38,0,0.08400033,0.21,2.8,3,1,0,0,0,0,0,0,0
"105",1,4,45,0,0.10643811,0.16,2.9,3,1,0,0,3,0,0,0,0
"112",1,4,51,0,0.15738031,0.12,14.9,15,1,0,0,3,0,0,0,0
"119",1,4,58,0,0.23463311,0.09,14.9,-10,0,0,0,3,0,0,0,0
"126",1,4,64,0,0.31537032,-5.43,14.7,-10,0,0,0,3,0,0,0,1
"133",1,3,69,0,0.42632218,-16.17,22.5,0,0,0,0,3,0,0,0,1
"140",1,3,76,0,0.52139314,-22.3,17.7,-4,0,0,0,2,0,0,0,1
"147",1,3,82,0,0.5930914,-17.92,12.3,-4,0,0,0,2,0,0,0,2
"154",1,3,89,0,0.64402652,-13.46,8.4,-4,0,0,0,2,0,0,0,2
"161",2,4,2,1,0.67525401,-10.25,-19.6,-29,0,0,0,2,0,0,0,2
"168",2,4,6,0,0.58676499,-7.81,-21.8,-29,0,0,0,2,0,0,0,2
"175",2,4,10,0,0.48990628,-5.95,-23.5,-29,0,0,0,2,0,0,0,2
"182",2,4,14,0,0.38558761,-4.52,-24.8,-29,0,0,0,2,0,0,0,2
"189",2,4,18,0,0.27695681,-3.45,-25.8,-29,0,0,0,2,0,0,0,0
"196",2,4,21,0,0.16528915,1.35,-26.4,0,0,0,0,2,0,0,0,0
"203",2,4,25,0,0.05586685,12.13,-25.3,0,0,0,0,2,0,0,0,0
"210",2,4,29,0,-0.0418425,22.05,-21.4,0,0,0,0,2,0,0,0,0
"217",2,4,33,0,-0.11622715,20.1,-15.7,0,0,0,0,4,0,0,0,0
"224",2,4,37,0,-0.16733265,12.6,-11.7,0,0,0,0,3,0,0,0,0
"231",2,2,41,0,-0.20514177,9.71,-8.9,0,0,0,0,3,0,0,0,0
"238",2,2,45,0,-0.23169577,7.47,-6.9,9,0,0,0,3,0,0,0,0
"245",2,2,49,0,-0.25014618,10.32,-5.1,9,0,0,0,3,0,0,0,0
"252",2,2,53,0,-0.25675761,13.84,-2.1,9,0,0,0,3,0,0,0,0
"259",2,2,57,0,-0.24888876,8.99,0.699999999999989,9,0,0,0,2,0,0,0,0
"266",2,2,61,0,-0.23050813,6.93,2.60000000000002,9,0,0,0,2,0,0,0,0
"273",2,2,65,0,-0.20430151,5.32,4.10000000000002,9,0,0,0,2,0,0,0,0
"280",2,2,70,0,-0.17249786,4.09,5.19999999999999,9,0,0,0,2,0,0,0,0
"287",2,3,74,0,-0.13519681,3.12,6.10000000000002,-1,0,0,0,2,0,0,0,0
"294",2,3,78,0,-0.09589278,-3.31,6.5,-1,0,0,0,4,0,0,0,0
"301",2,3,82,0,-0.05969049,-7.73,5.19999999999999,-1,0,0,0,3,0,0,0,0
"308",2,3,86,0,-0.03150082,-5.09,3.69999999999999,-1,0,0,0,3,0,0,0,0
"315",2,3,90,0,-0.00846156,-3.92,2.60000000000002,-1,0,0,0,3,0,0,0,0
"322",2,3,94,0,0.01011612,-3.02,1.80000000000001,102,1,0,0,3,0,0,0,0
"329",2,3,99,0,0.02559763,2.51,1.30000000000001,102,1,0,0,2,0,0,0,0
"336",3,4,2,1,0.02820004,13.31,-2.30000000000001,97,0,0,0,2,0,0,0,0
"343",3,4,4,0,0.03774985,24.03,1.80000000000001,97,0,0,0,4,0,0,0,0
"350",3,4,7,0,0.03428876,30.34,-1,87,0,0,0,3,0,0,0,0
"357",3,4,10,0,0.05828172,29.99,-3.19999999999999,77,0,0,0,3,4,4,4,0
"364",3,4,12,0,0.07329071,30,4.30000000000001,77,0,0,0,4,3,3,4,0
"371",3,4,15,0,0.11157517,30,1.69999999999999,67,0,0,0,3,3,3,3,0
"378",3,4,17,0,0.15061967,30,9.19999999999999,67,0,0,0,3,3,3,3,0
"385",3,4,20,0,0.20163204,30,6.69999999999999,57,0,0,0,3,3,3,3,0
"392",3,4,23,0,0.26562644,30,14.2,57,0,0,0,3,2,2,3,0
"399",3,4,26,0,0.32550681,30,11.6,47,0,0,0,3,2,2,3,1
"406",3,4,29,0,0.40387461,29.74,8.89999999999998,37,0,0,0,2,2,2,2,1
"413",3,4,31,0,0.47835849,23.31,15.6,37,0,0,0,2,2,2,2,1
"420",3,4,35,0,0.54965937,17.99,10.4,27,0,0,0,2,2,2,2,2
"427",3,4,38,0,0.61592112,12.04,4,11,0,0,0,2,2,2,2,2
"434",3,4,41,0,0.65336181,5.26,6,11,0,0,0,2,2,2,2,2
"441",3,4,45,0,0.65939882,4.25,-2.89999999999998,1,0,0,0,2,2,2,2,2
"448",3,4,48,0,0.64804748,3.31,-8.10000000000002,-5,0,0,0,2,2,2,2,2
"455",3,2,51,0,0.60891183,2.57,-9.39999999999998,-7,0,0,0,2,2,2,2,2
"462",3,2,53,0,0.57258232,2.01,-8.89999999999998,-7,0,0,0,2,2,2,2,2
"469",3,2,56,0,0.53841939,1.58,-8.5,-7,0,0,0,2,2,2,2,2
"476",3,2,59,0,0.50535947,1.23,-8.10000000000002,-7,0,0,0,2,1,1,2,2
"483",3,2,61,0,0.47398281,0.96,-7.89999999999998,-7,0,0,0,1,1,1,1,2
"490",3,2,64,0,0.4441203,0.75,-7.69999999999999,-7,0,0,0,1,1,1,1,2
"497",3,2,67,0,0.41412936,0.58,-7.5,-7,0,0,0,4,1,1,1,2
"504",3,2,69,0,0.38556261,0.46,-7.39999999999998,-7,0,0,0,3,1,1,1,2
"511",3,2,72,0,0.35675543,0.36,-7.30000000000001,-7,0,0,0,3,1,1,1,2
"518",3,2,75,0,0.32877192,0.28,-7.30000000000001,-7,0,0,0,3,1,1,1,2
"525",3,2,78,0,0.30065656,0.22,-7.19999999999999,-7,0,0,0,3,1,1,1,2
"532",3,2,80,0,0.27330374,1.03,-7.19999999999999,-1,0,0,0,3,1,1,1,0
"539",3,2,83,0,0.2473932,6.37,-6.39999999999998,-1,0,0,0,2,1,1,1,0
"546",3,3,86,0,0.22798199,4.47,-5.10000000000002,-1,0,0,0,2,1,1,1,0
"553",3,3,88,0,0.21384294,3.52,-4.30000000000001,-1,0,0,0,2,1,1,1,0
"560",3,3,91,0,0.2033741,2.75,-3.5,-1,0,0,0,3,1,1,1,0
"567",3,3,94,0,0.1961694,2.16,-3,-1,0,0,0,3,1,1,1,0
"574",3,3,97,0,0.19129296,1.69,-2.60000000000002,-1,0,0,0,3,1,1,1,0
"581",3,3,99,0,0.18821865,1.32,-2.19999999999999,92,1,0,0,3,1,1,1,0
"588",4,4,2,1,0.16854269,4.63,-6.89999999999998,87,0,0,0,3,1,1,1,0
"595",4,4,5,0,0.14894644,15.38,-5,87,0,0,0,2,1,1,1,0
"602",4,4,8,0,0.09790989,26.26,-10.5,77,0,0,0,2,1,1,1,0
"609",4,4,11,0,0.06904262,30.2,-13.5,67,0,0,0,3,1,1,1,0
"616",4,4,13,0,0.03134687,30,-6.30000000000001,67,0,0,0,3,1,1,1,0
"623",4,4,16,0,0.01742304,30,-9.30000000000001,57,0,0,0,3,1,1,1,0
"630",4,4,19,0,0.00098831,30,-2.19999999999999,57,0,0,0,3,1,1,1,0
"637",4,4,22,0,0.00052557,30,-5.09999999999999,47,0,0,0,3,1,1,1,0
"644",4,4,24,0,0.00636838,30,1.90000000000001,47,0,0,0,2,1,1,1,0
"651",4,4,27,0,0.01859575,30,-1.09999999999999,37,0,0,0,2,1,1,1,0
"658",4,4,30,0,0.04582915,30,5.90000000000001,37,0,0,0,2,1,1,1,0
"665",4,4,33,0,0.06898713,26.53,2.5,27,0,0,0,2,1,1,1,0
"672",4,4,36,0,0.1119083,20.66,7.80000000000001,27,0,0,0,2,1,1,1,0
"679",4,4,39,0,0.12754587,16.35,1.80000000000001,17,0,0,0,2,1,1,1,0
"686",4,4,42,0,0.14905723,12.89,-5,7,0,0,0,2,1,1,1,0
"693",4,4,44,0,0.14246836,10.18,-2.5,7,0,0,0,2,1,1,1,0
"700",4,4,47,0,0.13250908,8.06,-6.5,1,0,0,0,2,1,1,1,0
"707",4,2,50,0,0.10325721,6.39,-6.90000000000001,-1,0,0,0,2,0,0,1,0
"714",4,2,53,0,0.07971818,5.07,-5.69999999999999,-1,0,0,0,2,0,0,0,0
"721",4,2,56,0,0.06153927,4,-4.69999999999999,-1,0,0,0,1,0,0,0,0
"728",4,2,59,0,0.04830367,3.18,-4,-1,0,0,0,1,0,0,0,0
"735",4,2,62,0,0.03851329,2.52,-3.30000000000001,-1,0,0,0,4,0,0,0,0
"742",4,2,65,0,0.03165597,2,-2.90000000000001,-1,0,0,0,3,0,0,0,0
"749",4,2,67,0,0.02698915,1.59,-2.5,-1,0,0,0,3,0,0,0,0
"756",4,2,70,0,0.02416635,1.26,-2.19999999999999,-1,0,0,0,3,0,0,0,0
"763",4,2,73,0,0.02278611,1,-1.90000000000001,-1,0,0,0,3,0,0,0,0
"770",4,2,76,0,0.0225091,0.79,-1.69999999999999,-1,0,0,0,3,0,0,0,0
"777",4,2,79,0,0.02316782,0.63,-1.59999999999999,-1,0,0,0,2,0,0,0,0
"784",4,2,82,0,0.02454266,0.5,-1.5,-1,0,0,0,2,0,0,0,0
"791",4,3,85,0,0.02648532,0.4,-1.40000000000001,-1,0,0,0,2,0,0,0,0
"798",4,3,88,0,0.02889815,0.32,-1.30000000000001,-1,0,0,0,2,0,0,0,0
"805",4,3,91,0,0.03171082,0.25,-1.19999999999999,-1,0,0,0,2,0,0,0,0
"812",4,3,93,0,0.03482714,0.2,-1.19999999999999,-1,0,0,0,2,0,0,0,0
"819",4,3,96,0,0.03817472,0.15,-1.09999999999999,-1,0,0,0,4,0,0,0,0
"826",4,3,99,0,0.04164983,0.12,-1.09999999999999,-1,0,0,0,3,0,0,0,0
"833",5,4,2,1,0.02390722,0.1,-6.09999999999999,-6,1,0,0,3,0,0,0,0
"840",5,4,5,0,-0.00034673,4.84,-5.90000000000001,31,0,0,0,3,0,0,0,0
"847",5,4,8,0,-0.07413754,15.64,-14.1,21,0,0,0,3,0,0,0,0
"854",5,4,10,0,-0.14135003,26.6,-19.7,11,0,0,0,3,0,0,0,0
"861",5,4,13,0,-0.22076953,29.41,-13.1,11,0,0,0,2,0,0,0,0
"868",5,4,15,0,-0.28002641,20.27,-16.7,2,0,0,0,2,0,0,0,0
"875",5,4,18,0,-0.34758978,16.02,-12.9,2,0,0,0,2,0,0,0,1
"882",5,1,20,0,-0.41584148,12.75,-12.9,-1,0,0,0,2,0,0,0,1
"889",5,1,23,0,-0.4688199,10.23,-10.5,-1,0,0,0,2,0,0,0,1
"896",5,1,26,0,-0.51110984,8.19,-8.59999999999999,-1,0,0,0,2,0,0,0,2
"903",5,1,29,0,-0.54422943,6.55,-7.09999999999999,-1,0,0,0,2,0,0,0,2
"910",5,1,32,0,-0.56925635,5.27,-5.90000000000001,-1,0,0,0,2,4,4,0,2
"917",5,1,34,0,-0.58878751,4.23,-4.90000000000001,-1,0,0,0,4,3,3,0,2
"924",5,1,37,0,-0.60346738,3.39,-4.19999999999999,-1,0,0,0,3,3,3,0,2
"931",5,1,40,0,-0.61417398,2.72,-3.5,4,0,0,0,3,3,3,0,2
