"","PBNleg","dscrPhase","PBNdeviation","bank","angleBrM","angdifHCl","angdifSCl","discrSettingNextHdg","dscrTimeWPTCheckCurrLeg","dscrTimeWPTCheckNxtLeg","dscrTimeNavlogCheck","dscrTimeMapCheck","dscrTimeTrackCheck","dscrTimeMapClick","dscrPBNdeviationIntegrCorr"
"7",0,2,-0.00299978,0,-2.8,-2.8,-1,0,0,0,0,0,0,0,0
"14",0,2,-0.00613313,0.05,-2.8,-2.8,-1,0,0,0,0,0,0,0,0
"21",0,2,-0.0090884,2.16,-2.8,-2.8,-1,0,0,0,0,0,0,0,0
"28",0,3,-0.01055576,1.97,-2.5,-2.5,-1,0,0,0,4,0,0,0,0
"35",0,3,-0.01062815,0.98,-2.1,-2.1,-1,0,0,0,3,0,0,0,0
"42",0,3,-0.0095796,0.99,-1.9,-1.9,-1,0,0,0,3,0,0,0,0
"49",0,3,-0.00739269,0.84,-1.7,-1.7,-1,0,0,0,3,0,0,0,0
"56",0,3,-0.00442304,0.19,-1.6,-1.6,-26,1,0,0,3,0,0,0,0
"63",0,3,-0.00215114,-7.31,-1.9,-1.9,-26,1,0,0,4,0,0,0,0
"70",1,4,0.00042007,-18.09,-1.4,-1.4,-23,0,0,0,3,0,0,0,0
"77",1,4,-0.0108009,-22.29,-6.4,-6.4,-23,0,0,0,3,0,0,0,0
"84",1,4,-0.04701485,-15,-11.4,-11.4,-23,0,0,0,4,0,0,0,0
"91",1,4,-0.10027486,-8.41,-14.4,-14.4,-23,0,0,0,3,0,0,0,0
"98",1,4,-0.16170054,-7.44,-15.3,-15.3,-22,0,0,0,3,0,0,0,0
"105",1,4,-0.22809459,-5.52,-16.9,-16.9,-22,0,0,0,3,0,0,0,0
"112",1,4,-0.30066009,-4.14,-18.1,-18.1,-22,0,0,0,3,0,0,0,1
"119",1,4,-0.32626088,-2.93,-7.1,-7.1,15,1,0,0,3,0,0,0,1
"126",1,4,-0.3502544,5.31,-7.2,-7.2,15,1,0,0,2,0,0,0,1
"133",1,3,-0.3240174,16.11,4.9,4.9,25,1,0,0,2,3,0,0,1
"140",1,3,-0.28118301,20.35,9.4,9.4,25,1,0,0,2,3,0,0,0
"147",1,3,-0.21524336,12.91,14,14,25,1,0,0,2,3,0,0,0
"154",1,3,-0.13443132,8.56,16.6,16.6,25,1,0,0,2,3,0,0,0
"161",1,3,-0.04430959,7.22,18.5,18.5,25,1,0,0,2,3,0,0,0
"168",2,4,-0.02696862,5.33,-4.9,-4.9,0,0,0,0,2,2,0,0,0
"175",2,4,-0.03787941,4.08,-3.8,-3.8,0,0,0,0,3,2,0,0,0
"182",2,4,-0.04423296,3.12,-2.9,-2.9,0,0,0,0,3,2,0,0,0
"189",2,4,-0.04712375,2.38,-2.2,-2.2,0,0,0,0,3,2,0,0,0
"196",2,4,-0.04732706,1.82,-1.7,-1.7,0,0,0,0,3,2,0,0,0
"203",2,4,-0.04552609,1.39,-1.3,-1.3,0,0,0,0,3,2,0,0,0
"210",2,4,-0.04213148,1.06,-1,-1,0,0,0,0,2,2,0,0,0
"217",2,4,-0.03768552,0.82,-0.7,-0.7,0,0,0,0,2,2,0,0,0
"224",2,4,-0.03219795,0.63,-0.6,-0.6,0,0,0,0,2,2,0,0,0
"231",2,2,-0.02602831,0.48,-0.4,-0.4,0,0,0,0,2,2,0,0,0
"238",2,2,-0.0192681,0.37,-0.3,-0.3,0,0,0,0,2,2,0,0,0
"245",2,2,-0.01209979,0.28,-0.3,-0.3,0,0,0,0,4,1,0,0,0
"252",2,2,-0.00478991,0.22,-0.2,-0.2,0,0,0,0,3,1,0,0,0
"259",2,2,0.00296776,0.17,-0.2,-0.2,0,0,0,0,3,1,0,0,0
"266",2,2,0.01090568,0.13,-0.1,-0.1,0,0,0,0,3,1,0,0,0
"273",2,2,0.01902492,0.1,-0.1,-0.1,0,0,0,0,3,1,0,0,0
"280",2,2,0.02723396,0.08,-0.1,-0.1,0,0,0,0,2,1,0,0,0
"287",2,2,0.03553259,0.06,0,0,0,0,0,0,2,1,0,0,0
"294",2,3,0.04374382,0.05,0,0,0,0,0,0,2,1,0,0,0
"301",2,3,0.05217575,0.04,0,0,0,0,0,0,2,1,0,0,0
"308",2,3,0.06069717,0.03,0,0,0,0,0,0,2,1,0,0,0
"315",2,3,0.06926236,0.02,0,0,102,1,0,0,2,1,0,0,0
"322",2,3,0.07819006,4.6,0.199999999999989,0.199999999999989,102,1,0,0,2,1,0,0,0
"329",2,3,0.09280311,15.19,2.10000000000002,2.10000000000002,102,1,0,0,2,1,0,0,0
"336",3,4,0.11478784,26.04,1.80000000000001,1.80000000000001,97,0,0,0,2,1,0,0,0
"343",3,4,0.15339161,31.01,9.39999999999998,9.39999999999998,97,0,0,0,2,1,0,0,0
"350",3,4,0.1992278,29.78,7.30000000000001,7.30000000000001,87,0,0,0,2,1,0,0,0
"357",3,4,0.26482876,30.03,14.7,14.7,87,0,0,0,2,1,0,0,0
"364",3,4,0.32036671,30,12,12,77,0,0,0,1,1,0,0,1
"371",3,4,0.39844805,30,9.60000000000002,9.60000000000002,67,0,0,0,1,1,0,0,1
"378",3,4,0.47550312,30,17.1,17.1,67,0,0,0,1,1,0,0,1
"385",3,4,0.55885718,30,14.5,14.5,57,0,0,0,1,1,0,0,2
"392",3,4,0.65475985,30,12,12,27,0,0,0,1,1,0,0,2
"399",3,4,0.74354956,24.29,19,19,27,0,0,0,1,1,0,0,2
"406",3,4,0.82827747,13.91,13.7,13.7,17,0,0,0,1,1,0,0,1
"413",3,4,0.89637838,3.16,6,6,7,0,0,0,1,1,0,0,1
"420",3,4,0.93139424,-0.1,-3.69999999999999,-3.69999999999999,-3,0,0,0,1,1,0,0,1
"427",3,4,0.9221233,0.93,-3.60000000000002,-3.60000000000002,-3,0,0,0,1,1,0,0,1
"434",3,4,0.87017462,0.46,-13.5,-13.5,-13,0,0,0,1,1,0,0,1
"441",3,2,0.79468549,0.4,-21.4,-21.4,-21,0,0,0,1,1,0,0,2
"448",3,2,0.69740266,0.9,-21.3,-21.3,-11,0,0,0,4,1,0,0,2
"455",3,2,0.60217827,9.14,-20.5,-20.5,-11,0,0,0,3,1,0,0,2
"462",3,2,0.51579324,9.06,-18.3,-18.3,-11,0,0,0,3,1,0,0,2
"469",3,2,0.43902444,5.64,-16.6,-16.6,-11,0,0,0,3,1,0,0,2
"476",3,2,0.3686475,4.81,-15.4,-15.4,-11,0,0,0,3,1,0,0,2
"483",3,2,0.30335158,3.67,-14.4,-14.4,-11,0,0,0,3,0,0,0,2
"490",3,2,0.24201159,3.46,-13.7,-13.7,-1,0,0,0,2,0,0,0,0
"497",3,2,0.18548351,11.38,-12.3,-12.3,-1,0,0,0,2,0,0,0,0
"504",3,2,0.14046422,10.52,-9.69999999999999,-9.69999999999999,-1,0,0,0,2,0,0,0,0
"511",3,2,0.10800532,6.85,-7.69999999999999,-7.69999999999999,-1,0,0,0,2,0,0,0,0
"518",3,2,0.08249069,5.78,-6.30000000000001,-6.30000000000001,-1,0,0,0,4,0,0,0,0
"525",3,2,0.06327254,4.44,-5.10000000000002,-5.10000000000002,-1,0,0,0,3,0,0,0,0
"532",3,2,0.04910205,3.49,-4.19999999999999,-4.19999999999999,-1,0,0,0,3,0,0,0,0
"539",3,3,0.03885092,2.73,-3.5,-3.5,-1,0,0,0,3,0,0,0,0
"546",3,3,0.03165206,2.14,-3,-3,-1,0,0,0,3,0,0,0,0
"553",3,3,0.02691054,1.67,-2.60000000000002,-2.60000000000002,-1,0,0,0,3,0,0,0,0
"560",3,3,0.02396529,1.31,-2.19999999999999,-2.19999999999999,92,1,0,0,2,0,0,0,0
"567",3,3,0.02304041,6.74,-1.69999999999999,-1.69999999999999,92,1,0,0,4,0,0,0,0
"574",3,3,0.03009678,17.33,0.600000000000023,0.600000000000023,92,1,0,0,3,0,0,0,0
"581",4,4,0.03891175,27.8,0.5,0.5,87,0,0,0,3,0,0,0,0
"588",4,4,0.07413495,30.68,7.90000000000001,7.90000000000001,87,0,0,0,3,0,0,0,0
"595",4,4,0.1039371,29.83,5.19999999999999,5.19999999999999,77,0,0,0,3,0,0,0,0
"602",4,4,0.16175561,30.04,2.19999999999999,2.19999999999999,67,0,0,0,3,0,0,0,0
"609",4,4,0.20611414,29.99,9.30000000000001,9.30000000000001,67,0,0,0,2,0,0,0,0
"616",4,4,0.27405818,30,6.40000000000001,6.40000000000001,57,0,0,0,2,0,0,0,0
"623",4,4,0.34020268,30,13.4,13.4,57,0,0,0,2,0,0,0,1
"630",4,4,0.41497957,30,10.5,10.5,47,0,0,0,2,0,0,0,1
"637",4,4,0.50251851,30,17.5,17.5,47,0,0,0,2,0,0,0,1
"644",4,4,0.57966649,24.65,14.1,14.1,27,0,0,0,2,0,0,0,2
"651",4,4,0.66320585,14.24,8.59999999999999,8.59999999999999,17,0,0,0,2,0,0,0,2
"658",4,4,0.72887009,5.79,10.8,10.8,17,0,0,0,2,0,0,0,2
"665",4,4,0.75504732,5.45,2,2,7,0,0,0,2,0,0,0,2
"672",4,4,0.75665548,4.27,-7,-7,-3,0,0,0,2,0,0,0,2
"679",4,4,0.73333589,3.35,-6.09999999999999,-6.09999999999999,-3,0,0,0,2,0,0,0,2
"686",4,2,0.67629175,2.67,-13.5,-13.5,-11,0,0,0,1,0,0,0,2
"693",4,2,0.61508659,2.11,-13,-13,-11,0,0,0,1,0,0,0,2
"700",4,2,0.55618659,1.67,-12.5,-12.5,-11,0,0,0,1,0,0,0,2
"707",4,2,0.49897776,1.32,-12.2,-12.2,-11,0,0,0,1,0,0,0,2
"714",4,2,0.44330446,1.05,-12,-12,-11,0,0,0,1,0,0,0,2
"721",4,2,0.38862324,0.83,-11.8,-11.8,-11,0,0,0,1,0,0,0,2
"728",4,2,0.33464052,0.66,-11.6,-11.6,-11,0,0,0,1,0,0,0,2
"735",4,2,0.28299144,0.52,-11.5,-11.5,-11,0,0,0,1,0,0,0,0
"742",4,2,0.23032127,0.42,-11.4,-11.4,-11,0,0,0,1,0,0,0,0
"749",4,2,0.17806073,0.33,-11.3,-11.3,-1,0,0,0,1,0,0,0,0
"756",4,2,0.12616824,3.48,-11.2,-11.2,-1,0,0,0,1,0,0,0,0
"763",4,2,0.07863295,10.71,-9.80000000000001,-9.80000000000001,-1,0,0,0,1,4,0,0,0
"770",4,2,0.04198391,7.14,-7.69999999999999,-7.69999999999999,-1,0,0,0,4,3,0,0,0
"777",4,3,0.01387862,5.76,-6.40000000000001,-6.40000000000001,-1,0,0,0,3,3,0,0,0
"784",4,3,-0.00778012,4.62,-5.30000000000001,-5.30000000000001,-1,0,0,0,3,3,0,0,0
"791",4,3,-0.02411662,3.66,-4.40000000000001,-4.40000000000001,-1,0,0,0,3,3,0,0,0
"798",4,3,-0.03631384,2.92,-3.69999999999999,-3.69999999999999,36,1,0,0,3,3,0,0,0
"805",4,3,-0.04472087,6.98,-3,-3,36,1,0,0,3,2,0,0,0
"812",5,4,-0.04897455,17.32,-5.80000000000001,-5.80000000000001,31,0,0,0,2,2,0,0,0
"819",5,4,-0.05737287,28.09,-0.900000000000006,-0.900000000000006,31,0,0,0,2,2,0,0,0
"826",5,4,-0.05275272,29.46,-4,-4,21,0,0,0,2,2,0,0,0
"833",5,4,-0.04703906,20.63,1.5,1.5,21,0,0,0,2,2,0,0,0
"840",5,4,-0.04872507,16.66,-4.59999999999999,-4.59999999999999,11,0,0,0,2,2,0,0,0
"847",5,4,-0.0539258,13.32,-1.40000000000001,-1.40000000000001,11,0,0,0,2,2,0,0,0
"854",5,4,-0.08282138,10.62,-7.90000000000001,-7.90000000000001,2,0,0,0,2,2,0,0,0
"861",5,1,-0.11885087,8.5,-8.90000000000001,-8.90000000000001,-1,0,0,0,2,2,0,0,0
"868",5,1,-0.15298818,6.8,-7.40000000000001,-7.40000000000001,-1,0,0,0,2,2,0,0,0
"875",5,1,-0.17938494,5.44,-6.09999999999999,-6.09999999999999,-1,0,0,0,2,2,0,0,0
"882",5,1,-0.19905404,6.78,-5,-5,9,0,0,0,2,1,0,0,0
"889",5,1,-0.21067597,14.05,-3,-3,9,0,0,0,1,1,0,0,0
"896",5,1,-0.20740022,10,-0.400000000000006,-0.400000000000006,9,0,0,0,1,1,0,0,0
"903",5,1,-0.19202989,8.06,1.40000000000001,1.40000000000001,9,0,0,0,1,1,0,0,0
"910",5,1,-0.16735579,6.5,2.90000000000001,2.90000000000001,9,0,0,0,4,1,0,0,0
"917",5,1,-0.13513073,5.2,4.09999999999999,4.09999999999999,9,0,0,0,3,1,0,0,0
"924",5,1,-0.0968074,1.2,5,5,-1,0,0,0,3,1,0,0,0
"931",5,1,-0.05772781,-6.84,4.59999999999999,4.59999999999999,-1,0,0,0,3,1,0,0,0
"938",5,2,-0.02492105,-4.61,3.40000000000001,3.40000000000001,-1,0,0,0,3,1,0,0,0
"945",5,2,0.00238565,-3.76,2.5,2.5,-1,0,0,0,3,1,0,0,0
"952",5,2,0.02483506,-3.06,1.90000000000001,1.90000000000001,-1,0,0,0,2,1,0,0,0
"959",5,2,0.0445852,-2.45,1.3,1.3,-1,0,0,0,2,1,0,0,0
"966",5,2,0.06160328,-1.98,0.900000000000006,0.900000000000006,-1,0,0,0,2,1,0,0,0
"973",5,2,0.07630916,-1.59,0.5,0.5,-1,0,0,0,4,1,0,0,0
"980",5,2,0.08931454,-1.95,0.200000000000003,0.200000000000003,-3,0,0,0,3,1,0,0,0
"987",5,2,0.09982126,-3.14,-0.299999999999997,-0.299999999999997,-3,0,0,0,3,1,0,0,0
"994",5,2,0.10692779,-2.22,-0.900000000000006,-0.900000000000006,-3,0,0,0,3,1,0,0,0
"1001",5,2,0.11153564,-1.85,-1.30000000000001,-1.30000000000001,-3,0,0,0,3,1,0,0,0
"1008",5,2,0.11400406,-1.48,-1.59999999999999,-1.59999999999999,-3,0,0,0,2,1,0,0,0
"1015",5,2,0.11479494,-1.21,-1.90000000000001,-1.90000000000001,-3,0,0,0,2,1,0,0,0
"1022",5,3,0.11426949,-0.98,-2.09999999999999,-2.09999999999999,-3,0,0,0,2,1,0,0,0
"1029",5,3,0.11261164,-0.79,-2.30000000000001,-2.30000000000001,-3,0,0,0,3,1,0,0,0
"1036",5,3,0.11009709,-0.64,-2.40000000000001,-2.40000000000001,-3,0,0,0,3,1,0,0,0
"1043",5,3,0.10683339,-0.52,-2.5,-2.5,-3,0,0,0,3,1,0,0,0
"1050",5,3,0.102986,-0.42,-2.59999999999999,-2.59999999999999,-3,0,0,0,3,1,0,0,0
"1057",5,3,0.09867987,-0.36,-2.69999999999999,-2.69999999999999,-3,0,0,0,3,1,0,0,0
"1064",6,4,0.11856093,-0.29,2.30000000000001,2.30000000000001,2,0,0,0,2,1,0,0,0
"1071",6,4,0.15286582,-3.2,12.1,12.1,-33,0,0,0,2,1,0,0,0
"1078",6,4,0.23134252,-13.52,10.8,10.8,-33,0,0,0,2,1,0,0,0
"1085",6,4,0.31552786,-23.96,17.3,17.3,-23,0,0,0,4,1,0,0,1
"1092",6,4,0.40943312,-30.91,11.2,11.2,-23,0,0,0,3,1,0,0,1
"1099",6,4,0.49661897,-29.54,14.9,14.9,-13,0,0,0,3,1,0,0,1
"1106",6,4,0.57595662,-28.73,9,9,-33,0,0,0,3,1,0,0,2
"1113",6,4,0.65036803,-30.23,10.7,10.7,-25,0,0,0,3,0,0,0,2
"1120",6,1,0.71180674,-29.95,8.40000000000001,8.40000000000001,-21,0,0,0,2,0,0,0,2
"1127",6,1,0.75391582,-25.46,2.59999999999999,2.59999999999999,-21,0,0,0,2,0,0,0,2
"1134",6,1,0.76431498,-20.22,-2,-2,-21,0,0,0,2,0,0,0,2
"1141",6,1,0.75030862,-16.44,-5.59999999999999,-5.59999999999999,-21,0,0,0,2,0,0,0,2
"1148",6,1,0.71678216,-13.33,-8.5,-8.5,-21,0,0,0,2,0,0,0,2
"1155",6,1,0.669166,-10.88,-10.8,-10.8,-21,0,0,0,2,0,0,0,2
"1162",6,1,0.60763418,-8.84,-12.7,-12.7,-21,0,0,0,2,0,0,0,2
"1169",6,1,0.53526006,-7.18,-14.3,-14.3,-21,0,0,0,2,0,0,0,2
"1176",6,1,0.45521645,-5.84,-15.5,-15.5,-21,0,0,0,2,0,0,0,2
"1183",6,1,0.36857312,-4.74,-16.5,-16.5,-11,0,0,0,2,0,0,0,2
"1190",6,1,0.27730046,3.23,-17,-17,-11,0,0,0,2,0,0,0,0
"1197",6,1,0.19116638,5.93,-16,-16,-11,0,0,0,2,0,0,0,0
"1204",6,1,0.10861238,4.35,-15,-15,-1,0,0,0,1,0,0,0,0
"1211",6,1,0.03239302,12.3,-13.7,-13.7,-1,0,0,0,1,0,0,0,0
"1218",6,1,-0.03097175,11.23,-11.2,-11.2,-1,0,0,0,1,0,0,0,0
"1225",6,1,-0.08125729,8.8,-9.30000000000001,-9.30000000000001,9,0,0,0,1,0,0,0,0
"1232",6,1,-0.12097124,13.3,-7.5,-7.5,9,0,0,0,1,0,0,0,0
"1239",6,1,-0.14536269,15.36,-4.5,-4.5,9,0,0,0,1,0,0,0,0
"1246",6,1,-0.15201289,11.49,-1.90000000000001,-1.90000000000001,9,0,0,0,1,0,0,0,0
"1253",6,1,-0.14537652,9.56,0,0,9,0,0,0,1,0,0,0,0
"1260",6,1,-0.12754962,7.77,1.69999999999999,1.69999999999999,9,0,0,0,1,0,0,0,0
"1267",6,1,-0.10058294,6.33,3.09999999999999,3.09999999999999,9,0,0,0,1,0,0,0,0
"1274",6,1,-0.06631947,5.15,4.19999999999999,4.19999999999999,9,0,0,0,1,0,0,0,0
"1281",6,1,-0.02620059,0.66,4.90000000000001,4.90000000000001,-1,0,0,0,1,0,0,0,0
"1288",6,1,0.01429567,-6.46,4.40000000000001,4.40000000000001,-1,0,0,0,1,0,0,0,0
"1295",6,1,0.04841429,-4.5,3.30000000000001,3.30000000000001,-1,0,0,0,1,0,0,0,0
"1302",6,1,0.07715571,-3.76,2.5,2.5,-1,0,0,0,1,0,0,0,0
"1309",6,1,0.10159939,-4.09,1.80000000000001,1.80000000000001,-4,0,0,0,1,0,0,0,0
"1316",6,1,0.12098448,-5.44,0.900000000000006,0.900000000000006,-4,0,0,0,1,0,0,0,0
"1323",6,1,0.13419339,-4.16,-0.0999999999999943,-0.0999999999999943,-4,0,0,0,1,0,0,0,0
"1330",6,1,0.14236886,-3.44,-0.800000000000011,-0.800000000000011,-4,0,0,0,1,0,0,0,0
"1337",6,1,0.14680389,-2.8,-1.40000000000001,-1.40000000000001,-4,0,0,0,1,0,0,0,0
"1344",6,1,0.14799799,-2.29,-1.80000000000001,-1.80000000000001,-4,0,0,0,1,0,0,0,0
"1351",6,1,0.14656972,-1.87,-2.19999999999999,-2.19999999999999,-4,0,0,0,1,0,0,0,0
"1358",6,1,0.14290369,-1.52,-2.59999999999999,-2.59999999999999,-4,0,0,0,1,0,0,0,0
