"","PBNleg","dscrPhase","PBNdeviation","bank","angleBrM","angdifHCl","angdifSCl","discrSettingNextHdg","dscrTimeWPTCheckCurrLeg","dscrTimeWPTCheckNxtLeg","dscrTimeNavlogCheck","dscrTimeMapCheck","dscrTimeTrackCheck","dscrTimeMapClick","dscrPBNdeviationIntegrCorr"
"1680",6,1,0.09747441,0.03,-1,-1,-1,0,2,0,1,1,0,1,0
"1687",6,1,0.10292162,0.03,-1,-1,-1,0,2,0,1,1,0,1,0
"1694",6,1,0.10820703,0.02,-1,-1,-1,0,2,0,1,4,0,1,0
"1701",6,1,0.11369276,0.01,-1,-1,-1,0,1,0,1,3,0,1,0
"1708",6,1,0.11919147,0.02,-1,-1,-1,0,1,0,1,3,0,1,0
"1715",6,1,0.12476612,0.02,-1,-1,-1,0,1,0,1,3,3,1,0
"1722",6,1,0.13031433,0.02,-1,-1,-1,0,1,0,1,3,3,0,0
"1729",6,1,0.13590288,0.01,-1,-1,-1,0,1,0,1,3,3,0,0
"1736",6,1,0.14138381,0,-1,-1,-1,0,1,0,1,2,3,0,0
"1743",6,1,0.1470234,0,-1,-1,-1,0,1,0,1,2,3,0,0
"1750",6,1,0.15269247,-0.01,-1,-1,-1,0,1,0,1,2,2,0,0
"1757",6,1,0.15837734,0,-1,-1,-1,0,1,0,3,2,2,0,0
"1764",6,1,0.16408067,0,-1,-1,-1,0,1,0,3,2,2,0,0
"1771",6,1,0.16976894,0,-1,-1,-1,0,1,0,3,2,2,0,0
"1778",6,1,0.1753818,0,-1,-1,-1,0,1,0,4,2,2,0,0
"1785",6,1,0.1811452,-0.01,-1,-1,-1,0,1,0,3,2,2,0,0
"1792",6,1,0.18697806,0,-1,-1,-1,0,1,0,3,2,2,0,0
"1799",6,1,0.19284842,0,-1,-1,-1,0,1,0,3,2,2,0,0
"1806",6,1,0.19880602,0,-1,-1,-1,0,1,0,3,2,2,0,0
"1813",6,1,0.20463366,0,-1,-1,-1,0,1,0,3,1,2,0,0
"1820",6,1,0.210722,0,-1,-1,-1,0,1,0,2,1,2,0,0
"1827",6,1,0.21683236,0,-1,-1,-1,0,1,0,2,1,1,0,0
"1834",6,1,0.22292432,-0.01,-1,-1,-1,0,1,0,2,1,1,0,0
"1841",6,2,0.2290759,0,-1,-1,-1,0,1,0,2,1,1,0,0
"1848",6,2,0.23527486,0,-1,-1,-1,0,1,0,2,1,1,0,0
"1855",6,2,0.24150022,0,-1,-1,-1,0,1,0,2,1,1,0,0
"1862",6,2,0.24754495,0.01,-1,-1,-1,0,1,0,2,1,1,0,0
"1869",6,2,0.25388514,0,-1,-1,-1,0,1,0,2,1,1,0,0
"1876",6,2,0.26005014,0,-1,-1,-1,0,1,0,2,1,1,0,0
"1883",6,2,0.2664089,-0.01,-1,-1,-1,0,1,0,2,1,1,0,0
"1890",6,2,0.27259721,0,-1,-1,-1,0,1,0,2,1,1,0,0
"1897",6,2,0.27904959,0.01,-1,-1,-1,0,1,0,1,1,1,0,0
"1904",6,2,0.28527664,0,-1,-1,-1,0,1,0,1,1,1,0,0
"1911",6,3,0.29158435,0,-1,-1,-1,0,1,0,1,1,1,0,0
"1918",6,3,0.29798721,0,-1,-1,-1,0,1,0,1,1,1,0,0
"1925",6,3,0.30437859,0,-1,-1,-1,0,1,0,1,1,1,0,1
