"","PBNleg","PBNdeviation","bank","angleBrM","angdifHCl","angdifSCl","discrSettingNextHdg","dscrTimeWPTCheckCurrLeg","dscrTimeWPTCheckNxtLeg","dscrTimeNavlogCheck","dscrTimeMapCheck","dscrTimeTrackCheck","dscrTimeMapClick","dscrPBNdeviationIntegrCorr"
"7",0,-0.00316071,0,-2.8,-2.8,-1,0,0,0,0,0,0,0,0
"14",0,-0.00628324,0.21,-2.8,-2.8,-1,0,0,0,0,0,0,0,0
"21",0,-0.00904486,2.33,-2.7,-2.7,-1,0,0,0,0,0,0,0,0
"28",0,-0.01020369,1.73,-2.4,-2.4,-1,0,0,0,3,0,0,0,0
"35",0,-0.00989226,0.7,-2.1,-2.1,-2,0,0,0,3,0,0,0,0
"42",0,-0.00892173,-0.3,-2,-2,-2,0,0,0,3,0,0,0,0
"49",0,-0.00815256,0,-2,-2,-26,1,0,0,3,0,0,0,0
"56",0,-0.00751736,-2.47,-2.1,-2.1,-26,1,0,0,3,0,0,0,0
"63",0,-0.01032544,-11.9,-3.2,-3.2,-26,1,0,0,2,0,0,0,0
"70",1,-0.01820495,-21.39,-3.9,-3.9,-23,0,0,0,2,0,0,0,0
"77",1,-0.04345797,-19.26,-9.3,-9.3,-23,0,0,0,4,0,0,0,0
"84",1,-0.09043155,-10.35,-13.3,-13.3,-23,0,0,0,3,0,0,0,0
"91",1,-0.14922663,-7.82,-15.4,-15.4,-23,0,0,0,3,0,0,0,0
"98",1,-0.21504952,-6.21,-16.2,-16.2,-17,0,0,0,3,0,0,0,0
"105",1,-0.28398028,0.72,-17.2,-17.2,-17,0,0,0,4,0,0,0,0
"112",1,-0.35111206,0.26,-17,-17,-17,0,0,0,3,0,0,0,1
"119",1,-0.37067456,2.32,-4.9,-4.9,15,1,0,0,3,0,0,0,1
"126",1,-0.38032975,12.37,-3.6,-3.6,15,1,0,0,3,0,0,0,1
"133",1,-0.33260369,18.74,10.2,10.2,25,1,0,0,3,0,0,0,1
"140",1,-0.26407078,12.54,14.5,14.5,25,1,0,0,3,0,0,0,0
"147",1,-0.18123676,8.07,17,17,25,1,0,0,4,0,0,0,0
"154",1,-0.08980244,6.86,18.8,18.8,25,1,0,0,3,0,0,0,0
"161",1,0.00897897,5.06,20.3,20.3,25,1,0,0,3,0,0,0,0
"168",2,0.03339592,3.87,-3.6,-3.6,0,0,0,0,4,0,0,0,0
"175",2,0.02785782,2.96,-2.7,-2.7,0,0,0,0,3,0,0,0,0
"182",2,0.02556015,2.27,-2.1,-2.1,0,0,0,0,3,0,0,0,0
"189",2,0.02576273,1.74,-1.6,-1.6,0,0,0,0,3,0,0,0,0
"196",2,0.02787834,1.33,-1.2,-1.2,0,0,0,0,3,0,0,0,0
"203",2,0.03149622,1.01,-0.9,-0.9,0,0,0,0,3,0,0,0,0
"210",2,0.03629658,0.77,-0.7,-0.7,0,0,4,0,2,0,0,0,0
"217",2,0.04191707,0.59,-0.5,-0.5,0,0,3,0,2,0,0,0,0
"224",2,0.04821946,0.45,-0.4,-0.4,0,0,3,0,2,0,0,0,0
"231",2,0.0550217,0.35,-0.3,-0.3,0,0,3,0,2,0,0,0,0
"238",2,0.06201054,0.27,-0.2,-0.2,0,0,3,0,2,0,0,0,0
"245",2,0.06953866,0.21,-0.2,-0.2,0,0,3,0,2,0,0,0,0
"252",2,0.07724757,0.03,-0.1,-0.1,-3,0,3,0,2,0,0,0,0
"259",2,0.08440847,-3.35,-0.5,-0.5,-3,0,3,0,2,0,0,0,0
"266",2,0.08842717,-1.99,-1.1,-1.1,-3,0,2,0,4,0,0,0,0
"273",2,0.09007798,-1.51,-1.6,-1.6,-3,0,2,0,3,0,0,0,0
"280",2,0.09004371,-1.21,-1.9,-1.9,-3,0,2,0,3,0,0,0,0
"287",2,0.08864393,-0.91,-2.1,-2.1,-3,0,2,0,3,0,0,0,0
"294",2,0.08619727,-0.7,-2.3,-2.3,-3,0,2,0,3,0,0,0,0
"301",2,0.08302216,-0.54,-2.5,-2.5,-3,0,2,0,4,0,0,0,0
