"","PBNleg","dscrPhase","PBNlegPercent","PBNLegChange","PBNdeviation","bank","angdifHCl","angdifSCl","discrSettingNextHdg","dscrTimeWPTCheckCurrLeg","dscrTimeWPTCheckNxtLeg","dscrTimeNavlogCheck","dscrTimeMapCheck","dscrTimeTrackCheck","dscrTimeMapClick","dscrPBNdeviationIntegrCorr"
"126",0,2,5,1,0.03797045,0.01,-1,-1,0,0,0,0,4,4,0,0
"133",0,2,11,0,0.04123759,0.01,-1,-1,0,0,0,0,3,3,0,0
"140",0,2,17,0,0.04454048,0.01,-1,-1,0,0,0,0,3,3,0,0
"147",0,2,23,0,0.04795982,-0.01,-1,-1,0,0,0,0,3,3,0,0
"154",0,2,29,0,0.05153238,0,-1,-1,0,0,0,0,3,3,0,0
"161",0,3,36,0,0.05515576,0.01,-1,-1,0,0,0,4,3,3,0,0
"168",0,3,42,0,0.05883807,0.01,-1,-1,0,0,0,3,2,2,0,0
"175",0,3,49,0,0.0626127,-0.01,-1,-1,0,0,0,3,2,2,0,0
"182",0,3,56,0,0.06652074,-1.67,-1.1,-26,1,0,0,3,2,2,0,0
"189",0,3,63,0,0.06738835,-12.31,-3.3,-26,1,0,0,3,2,2,0,0
"196",0,3,70,0,0.05466134,-19.77,-8.6,-26,1,0,0,3,4,2,0,0
"203",0,3,77,0,0.02114282,-14.15,-14.1,-26,1,0,0,2,3,3,0,0
"210",0,3,84,0,-0.02998531,-9.25,-17.7,-26,1,0,0,2,3,3,0,0
"217",0,3,92,0,-0.09230408,-6.6,-20,-26,1,0,0,2,3,3,0,0
"224",0,3,99,0,-0.16209811,-4.77,-21.7,-26,1,0,0,2,4,4,0,0
"231",1,4,5,1,-0.22849252,-2.95,-19.8,-3,1,0,0,2,3,3,0,0
"238",1,4,11,0,-0.2985788,6.88,-19.6,-3,1,0,0,2,3,3,0,0
"245",1,4,17,0,-0.36248075,15.14,-16.8,-3,1,0,0,2,3,3,0,1
"252",1,4,23,0,-0.41321429,11.18,-12.9,-3,1,0,0,2,3,3,0,1
"259",1,4,29,0,-0.45062973,8.07,-10.3,-3,1,0,0,2,2,2,0,1
"266",1,4,36,0,-0.47833665,5.88,-7.3,-2,1,0,0,2,4,4,0,2
"273",1,4,43,0,-0.49950472,4.15,-5.7,-2,1,0,0,2,3,3,0,2
"280",1,4,52,0,-0.48962292,2.82,7.5,10,1,0,0,1,3,3,0,2
"287",1,4,59,0,-0.44876464,1.76,8.5,10,1,0,0,4,3,3,0,2
"294",1,3,68,0,-0.38268016,0.96,19.3,20,1,0,0,3,3,3,0,2
"301",1,3,74,0,-0.29637412,2.02,19.9,25,1,0,0,3,3,3,0,0
"308",1,3,81,0,-0.2064245,4.47,21.3,25,1,0,0,3,2,2,0,0
"315",1,3,87,0,-0.11460272,2.77,22.6,25,1,0,0,3,2,2,0,0
"322",1,3,94,0,-0.01728037,1.67,23.6,25,1,0,0,3,4,4,0,0
"329",2,4,1,1,0.06736648,0.86,-0.6,0,0,0,0,2,3,3,0,0
"336",2,4,5,0,0.05500336,0.35,-0.3,0,0,0,0,2,3,3,0,0
"343",2,4,9,0,0.04203235,0.18,-0.2,0,0,0,0,2,3,3,0,0
"350",2,4,13,0,0.02970548,0.12,-0.1,0,0,0,0,3,3,3,0,0
"357",2,4,17,0,0.01751525,0.09,-0.1,0,0,0,0,3,3,3,0,0
"364",2,4,21,0,0.00555513,0.06,0,0,0,0,0,3,4,2,0,0
"371",2,4,25,0,-0.00622043,0.04,0,0,0,0,0,3,3,4,0,0
"378",2,4,29,0,-0.01808966,0.02,0,0,0,0,0,3,3,3,0,0
"385",2,4,33,0,-0.02982031,0.01,0,0,0,0,0,4,3,3,0,0
"392",2,4,38,0,-0.04155027,0.01,0,0,0,0,0,3,3,3,0,0
"399",2,2,42,0,-0.05328036,-0.34,0,-1,0,0,0,3,3,3,0,0
"406",2,2,46,0,-0.06532498,-0.94,-0.1,-1,0,0,0,3,2,3,0,0
"413",2,2,50,0,-0.07846389,-0.71,-0.3,-1,0,0,0,4,4,2,0,0
"420",2,2,54,0,-0.09219003,-0.56,-0.5,-1,0,0,0,3,3,2,0,0
"427",2,2,58,0,-0.10669127,-0.44,-0.6,-1,0,0,0,3,3,2,0,0
"434",2,2,63,0,-0.12173797,-0.35,-0.7,-1,0,0,0,3,3,2,0,0
"441",2,2,67,0,-0.13696291,-0.28,-0.7,-1,0,0,0,3,3,2,0,0
"448",2,2,71,0,-0.1529198,-0.22,-0.8,-1,0,0,0,2,2,2,0,0
"455",2,3,75,0,-0.16859539,-0.18,-0.8,-1,0,0,0,4,2,2,0,0
"462",2,3,80,0,-0.18481957,-0.15,-0.9,-1,0,0,0,3,2,2,0,0
