"","PBNleg","dscrPhase","PBNdeviation","bank","angleBrM","angdifHCl","angdifSCl","discrSettingNextHdg","dscrTimeWPTCheckCurrLeg","dscrTimeWPTCheckNxtLeg","dscrTimeNavlogCheck","dscrTimeMapCheck","dscrTimeTrackCheck","dscrTimeMapClick","dscrPBNdeviationIntegrCorr"
"7",0,2,-0.0029112,0.01,-2.8,-2.8,-1,0,0,0,0,0,0,0,0
"14",0,2,-0.00607262,0.13,-2.8,-2.8,-1,0,0,0,0,0,0,0,0
"21",0,2,-0.00888831,2.26,-2.7,-2.7,-1,0,0,0,0,0,0,0,0
"28",0,3,-0.01017048,1.83,-2.4,-2.4,-1,0,0,0,4,0,0,0,0
"35",0,3,-0.00999249,0.51,-2.1,-2.1,-2,0,0,0,3,0,0,0,0
"42",0,3,-0.00930786,-0.31,-2,-2,-2,0,0,0,3,0,0,0,0
"49",0,3,-0.008813,0.16,-2.1,-2.1,-2,0,0,0,3,0,0,0,0
"56",0,3,-0.00827088,0.12,-2.1,-2.1,-26,1,0,0,3,0,0,0,0
"63",0,3,-0.00807831,-5.31,-2.3,-2.3,-26,1,0,0,3,0,0,0,0
"70",1,4,-0.00676223,-15.8,-1.2,-1.2,-23,0,0,0,3,4,0,0,0
"77",1,4,-0.01622715,-22.03,-5.9,-5.9,-23,0,0,0,3,3,0,0,0
"84",1,4,-0.0503328,-15.83,-11,-11,-23,0,0,0,3,3,0,0,0
"91",1,4,-0.10225834,-8.63,-14.2,-14.2,-23,0,0,0,3,3,0,0,0
"98",1,4,-0.16142407,-7.58,-15.1,-15.1,-22,0,0,0,2,3,0,0,0
"105",1,4,-0.22692138,-5.73,-16.8,-16.8,-12,0,0,0,2,3,0,0,0
"112",1,4,-0.2983365,1.22,-17.7,-17.7,-12,0,0,0,4,2,0,0,0
"119",1,4,-0.32249216,6.98,-4.8,-4.8,20,1,0,0,3,2,0,0,1
"126",1,4,-0.33018116,5.77,-3.4,-3.4,20,1,0,0,3,2,0,0,1
"133",1,3,-0.29035672,14.5,8.6,8.6,30,1,0,0,3,2,0,0,0
"140",1,3,-0.22989398,21.17,13,13,30,1,0,0,3,4,0,0,0
"147",1,3,-0.14936636,15.38,17.9,17.9,30,1,0,0,4,3,0,0,0
"154",1,3,-0.04991705,9.03,20.9,20.9,30,1,0,0,3,3,0,0,0
"161",1,3,0.05975586,7.76,23,23,30,1,0,0,3,3,0,0,0
"168",2,4,0.10968205,3.43,-0.4,-0.4,-5,0,0,0,3,3,0,0,0
"175",2,4,0.11726054,-5.5,-0.3,-0.3,-5,0,0,0,3,3,0,0,0
"182",2,4,0.11991728,-4.16,-1.6,-1.6,-5,0,0,0,2,2,0,0,0
"189",2,4,0.11783548,-2.5,-2.4,-2.4,-5,0,0,0,4,2,0,0,0
"196",2,4,0.11288373,-2.22,-3,-3,-5,0,0,0,3,2,0,0,0
"203",2,4,0.1054727,-1.61,-3.5,-3.5,-3,0,0,0,3,2,0,0,0
"210",2,4,0.09651419,0.96,-3.7,-3.7,-3,0,0,0,3,2,0,0,0
"217",2,4,0.08842761,0.63,-3.5,-3.5,-3,0,0,0,3,2,0,0,0
"224",2,4,0.08079145,0.33,-3.4,-3.4,-3,0,0,0,3,2,0,0,0
"231",2,2,0.07356586,0.33,-3.3,-3.3,-3,0,0,0,2,2,0,0,0
"238",2,2,0.0667047,0.23,-3.2,-3.2,-3,0,0,0,2,2,0,0,0
"245",2,2,0.06007228,0.18,-3.2,-3.2,-3,0,0,0,4,2,0,0,0
"252",2,2,0.05366796,0.14,-3.1,-3.1,-3,0,0,0,3,2,0,0,0
"259",2,2,0.04735502,0.11,-3.1,-3.1,-3,0,0,0,3,1,0,0,0
"266",2,2,0.04117925,0.08,-3.1,-3.1,-3,0,0,0,3,1,0,0,0
"273",2,2,0.03509482,0.06,-3.1,-3.1,-3,0,0,0,3,1,0,0,0
"280",2,2,0.02905653,0.05,-3,-3,-3,0,0,0,2,1,0,0,0
"287",2,2,0.02306428,0.04,-3,-3,-3,0,0,0,2,1,0,0,0
"294",2,3,0.01730563,0.03,-3,-3,-3,0,0,0,2,1,0,0,0
"301",2,3,0.01135966,0.02,-3,-3,-3,0,0,0,2,1,0,0,0
"308",2,3,0.00545953,0.02,-3,-3,-3,0,0,0,2,1,0,0,0
"315",2,3,-0.00048591,0.02,-3,-3,102,1,0,0,2,1,0,0,0
"322",2,3,-0.00629424,2.66,-2.9,-2.9,102,1,0,0,2,1,0,0,0
"329",2,3,-0.00832613,12.78,-1.6,-1.6,102,1,0,0,2,1,0,0,0
"336",3,4,-0.00516525,23.59,-2.5,-2.5,97,0,0,0,2,1,0,0,0
"343",3,4,0.01098732,31.04,4.60000000000002,4.60000000000002,97,0,0,0,2,1,0,0,0
"350",3,4,0.03791233,29.87,2.69999999999999,2.69999999999999,87,0,0,0,2,1,0,0,0
"357",3,4,0.07967939,29.99,9.89999999999998,9.89999999999998,87,0,0,0,1,1,0,0,0
"364",3,4,0.12306718,30.01,7.39999999999998,7.39999999999998,77,0,0,0,1,1,0,0,0
"371",3,4,0.1897557,30,15,15,77,0,0,0,1,1,0,0,0
"378",3,4,0.24672896,30,12.5,12.5,67,0,0,0,1,1,0,0,0
"385",3,4,0.32547133,30,10,10,57,0,0,0,1,1,0,0,1
"392",3,4,0.4048768,30,17.4,17.4,57,0,0,0,1,1,0,0,1
"399",3,4,0.49003041,30,14.8,14.8,47,0,0,0,1,1,0,0,1
"406",3,4,0.58953622,27.94,12.2,12.2,37,0,0,0,1,1,0,0,2
"413",3,4,0.67468661,19.54,17.9,17.9,17,0,0,0,1,1,0,0,2
"420",3,4,0.75610655,9.04,11.5,11.5,7,0,0,0,1,1,0,0,2
"427",3,4,0.81615075,-1.77,2.69999999999999,2.69999999999999,-3,0,0,0,1,1,0,0,1
"434",3,4,0.8364559,-6.74,1.80000000000001,1.80000000000001,-3,0,0,0,1,1,0,0,1
"441",3,4,0.8020535,-3.47,-9.5,-9.5,-13,0,0,0,1,4,0,0,1
"448",3,2,0.7408357,-3,-18.2,-18.2,-21,0,0,0,1,3,0,0,2
"455",3,2,0.65633311,-2.34,-18.8,-18.8,-21,0,0,0,1,3,0,0,2
"462",3,2,0.56917235,0.41,-19.3,-19.3,-17,0,0,0,1,3,0,0,2
"469",3,2,0.4824525,2.73,-18.9,-18.9,-17,0,0,0,1,4,4,0,2
"476",3,2,0.40029508,1.37,-18.4,-18.4,-17,0,0,0,1,3,3,0,2
"483",3,2,0.31756786,1.24,-18.1,-18.1,-17,0,0,0,1,3,3,0,2
"490",3,2,0.23604514,0.94,-17.9,-17.9,-7,0,0,0,1,3,3,0,0
"497",3,2,0.1558265,4.98,-17.5,-17.5,-7,0,0,0,1,3,3,0,0
"504",3,2,0.08123231,11.26,-15.8,-15.8,-1,0,0,0,1,3,3,0,0
"511",3,2,0.01786895,11.29,-13.4,-13.4,-1,0,0,0,1,2,2,0,0
"518",3,2,-0.03278889,11.21,-10.8,-10.8,-1,0,0,0,4,2,2,0,0
"525",3,2,-0.07040098,7.99,-8.60000000000002,-8.60000000000002,9,0,0,0,3,2,2,0,0
"532",3,2,-0.09967321,9.86,-6.89999999999998,-6.89999999999998,9,0,0,0,3,2,2,0,0
"539",3,2,-0.11714578,16,-4,-4,9,0,0,0,3,2,2,0,0
