"","PBNleg","PBNdeviation","bank","angleBrM","angdifHCl","angdifSCl","discrSettingNextHdg","dscrTimeWPTCheckCurrLeg","dscrTimeWPTCheckNxtLeg","dscrTimeNavlogCheck","dscrTimeMapCheck","dscrTimeTrackCheck","dscrTimeMapClick","dscrPBNdeviationIntegrCorr"
"7",0,-0.00310459,-0.01,-2.8,-2.8,-1,0,0,0,0,0,0,0,0
"14",0,-0.00628391,0.48,-2.8,-2.8,-1,0,0,0,0,0,0,0,0
"21",0,-0.00890866,2.45,-2.7,-2.7,-1,0,0,0,4,0,0,0,0
"28",0,-0.00997932,1.62,-2.3,-2.3,-1,0,0,0,3,0,0,0,0
"35",0,-0.00954561,0.88,-2.1,-2.1,-1,0,0,0,3,0,0,0,0
"42",0,-0.00817104,0.97,-1.9,-1.9,-1,0,0,0,3,0,0,0,0
"49",0,-0.00571533,0.19,-1.7,-1.7,-2,0,0,0,3,0,0,0,0
"56",0,-0.00319788,-0.66,-1.7,-1.7,-2,0,0,0,4,0,0,0,0
"63",0,-0.00128149,-0.12,-1.8,-1.8,-26,1,0,0,3,0,0,0,0
"70",1,0.00975122,-4.38,1,1,-23,0,0,0,3,4,0,0,0
"77",1,0.02011973,-14.69,-0.7,-0.7,-23,0,0,0,3,3,0,0,0
"84",1,0.01433088,-21.98,-5.1,-5.1,-23,0,0,0,4,3,0,0,0
"91",1,-0.01605795,-16.91,-10.4,-10.4,-23,0,0,0,3,3,0,0,0
"98",1,-0.0644596,-9.09,-12.8,-12.8,-22,0,0,0,3,3,0,0,0
"105",1,-0.12120413,-7.73,-14.9,-14.9,-22,0,0,0,3,3,0,0,0
"112",1,-0.18418267,-5.95,-16.6,-16.6,-22,0,0,0,4,2,0,0,0
"119",1,-0.20253182,-4.4,-5.9,-5.9,-10,0,0,0,3,2,0,0,0
"126",1,-0.22329486,-3.39,-6.9,-6.9,-10,0,0,0,3,2,0,0,0
"133",1,-0.20632361,-2.57,2.4,2.4,0,0,0,0,3,2,0,0,0
"140",1,-0.18929568,-1.97,1.8,1.8,0,0,0,0,3,2,0,0,0
"147",1,-0.17390771,1.05,1.5,1.5,25,1,0,0,3,4,0,0,0
"154",1,-0.15661732,11.25,2.5,2.5,25,1,0,0,2,3,0,0,0
"161",1,-0.12776869,20.58,6,6,25,1,0,0,2,3,0,0,0
"168",2,-0.15320405,18.38,-13.7,-13.7,6,0,0,0,2,3,0,0,0
"175",2,-0.19540448,16.55,-9.5,-9.5,6,0,0,0,2,3,0,0,0
"182",2,-0.2192406,13.02,-5.8,-5.8,6,0,0,0,4,3,0,0,0
"189",2,-0.22854282,9.55,-2.9,-2.9,6,0,0,0,3,2,0,0,0
"196",2,-0.22700238,7.43,-0.8,-0.8,6,0,0,0,3,2,0,0,0
"203",2,-0.21712708,5.64,0.800000000000011,0.800000000000011,6,0,0,0,3,4,0,0,0
"210",2,-0.20137251,4.35,2,2,6,0,0,0,3,3,4,0,0
"217",2,-0.18038768,3.33,2.89999999999998,2.89999999999998,6,0,0,0,3,3,3,0,0
"224",2,-0.1555355,2.54,3.69999999999999,3.69999999999999,4,0,0,0,2,3,3,0,0
"231",2,-0.12809045,-0.03,4.10000000000002,4.10000000000002,4,0,0,0,2,3,3,0,0
"238",2,-0.10023928,-0.23,4,4,4,0,0,0,2,3,3,0,0
"245",2,-0.0726202,0.06,4,4,4,0,0,0,2,2,2,0,0
"252",2,-0.04500481,-0.05,4,4,4,0,0,0,2,2,2,0,0
"259",2,-0.01807079,-0.02,4,4,4,0,0,0,4,2,2,0,0
"266",2,0.00962721,-0.02,4,4,4,0,4,0,3,2,2,0,0
"273",2,0.03732136,-0.02,4,4,4,0,3,0,3,2,2,0,0
"280",2,0.06505679,-0.01,4,4,4,0,3,0,3,2,2,0,0
"287",2,0.09305949,-0.01,4,4,4,0,3,0,3,2,2,0,0
"294",2,0.12092247,-0.01,4,4,4,0,3,0,3,2,2,0,0
"301",2,0.14855612,0,4,4,4,0,3,0,2,2,2,0,0
"308",2,0.17483142,0.01,4,4,4,0,2,0,2,2,2,0,0
"315",2,0.20232223,-0.01,4,4,4,0,2,0,2,2,2,0,0
"322",2,0.23035089,0,4,4,4,0,2,0,2,1,1,0,0
"329",2,0.25842074,0.01,4,4,4,0,2,0,2,1,1,0,0
"336",3,0.28278279,1.44,-1,-1,97,0,2,0,2,1,1,0,0
"343",3,0.28952742,11,0,0,97,0,2,0,2,1,1,0,0
"350",3,0.28617313,21.82,-6.39999999999998,-6.39999999999998,87,0,2,0,2,4,1,0,0
"357",3,0.28200942,30.69,0.199999999999989,0.199999999999989,87,0,2,0,2,3,1,0,0
"364",3,0.27484452,30.02,-1.69999999999999,-1.69999999999999,77,0,2,0,2,3,1,0,0
"371",3,0.28893775,29.94,-4.39999999999998,-4.39999999999998,67,0,2,0,2,3,1,0,0
"378",3,0.29793466,30.02,3,3,67,0,2,0,4,3,1,0,0
"385",3,0.31847155,29.99,0.600000000000023,0.600000000000023,57,0,1,0,3,4,1,0,1
"392",3,0.35212671,30,8.10000000000002,8.10000000000002,57,0,1,0,3,3,1,4,1
"399",3,0.37746997,30,5.39999999999998,5.39999999999998,47,0,1,0,3,3,1,3,1
"406",3,0.41935124,30,2.89999999999998,2.89999999999998,27,0,1,0,3,3,1,3,1
"413",3,0.46456766,27.73,10.2,10.2,27,0,1,0,3,3,1,3,2
"420",3,0.5039841,18,5.89999999999998,5.89999999999998,17,0,1,0,2,3,1,3,2
"427",3,0.53921946,8.17,-0.899999999999977,-0.899999999999977,7,0,1,0,4,4,1,3,2
"434",3,0.54978804,6.6,0.699999999999989,0.699999999999989,7,0,1,0,3,3,1,2,2
"441",3,0.52422164,5.39,-7.89999999999998,-7.89999999999998,-3,0,1,0,3,3,1,2,2
"448",3,0.48679135,4.05,-12.8,-12.8,-9,0,1,0,3,3,1,2,2
"455",3,0.42614261,3.22,-14,-14,-11,0,1,0,3,3,1,2,2
"462",3,0.36668554,2.5,-13.3,-13.3,-16,0,1,0,3,2,1,2,2
