"","PBNleg","dscrPhase","PBNdeviation","bank","angleBrM","angdifHCl","angdifSCl","discrSettingNextHdg","dscrTimeWPTCheckCurrLeg","dscrTimeWPTCheckNxtLeg","dscrTimeNavlogCheck","dscrTimeMapCheck","dscrTimeTrackCheck","dscrTimeMapClick","dscrPBNdeviationIntegrCorr"
"7",0,2,-0.00289971,0,-2.8,-2.8,-1,0,0,0,0,0,0,0,0
"14",0,2,-0.00609899,0.62,-2.8,-2.8,-1,0,0,0,0,0,0,0,0
"21",0,2,-0.0085703,2.43,-2.6,-2.6,-1,0,0,0,0,0,0,0,0
"28",0,3,-0.00904517,1.02,-2.2,-2.2,-2,0,0,0,0,0,0,0,0
"35",0,3,-0.00845129,-0.54,-2.1,-2.1,-2,0,0,0,4,0,0,0,0
"42",0,3,-0.00824447,0.19,-2.2,-2.2,-2,0,0,0,3,0,0,0,0
"49",0,3,-0.00790809,0.24,-2.1,-2.1,-2,0,0,0,3,0,0,0,0
"56",0,3,-0.00736167,0.01,-2.1,-2.1,-26,1,0,0,3,0,0,0,0
"63",0,3,-0.00706537,-4.04,-2.2,-2.2,-26,1,0,0,3,0,0,0,0
"70",1,4,-0.00496117,-14.25,-0.8,-0.8,-23,0,0,0,3,0,0,0,0
"77",1,4,-0.01135789,-21.86,-5.2,-5.2,-23,0,0,0,3,0,0,0,0
"84",1,4,-0.04230939,-16.88,-10.5,-10.5,-23,0,0,0,3,4,0,0,0
"91",1,4,-0.0909126,-9.1,-13.9,-13.9,-23,0,0,0,3,3,0,0,0
"98",1,4,-0.15054062,-7.7,-14.9,-14.9,-22,0,0,0,3,3,0,0,0
"105",1,4,-0.21508013,-5.93,-16.6,-16.6,-22,0,0,0,4,3,0,0,0
"112",1,4,-0.28615563,-4.38,-17.9,-17.9,-22,0,0,0,3,3,0,0,0
"119",1,4,-0.32175423,-3.37,-6.9,-6.9,-10,0,0,0,3,2,0,0,1
"126",1,4,-0.34556113,-2.57,-7.6,-7.6,-10,0,0,0,3,2,0,0,1
"133",1,3,-0.33838903,-1.96,1.8,1.8,0,0,0,0,3,4,0,0,1
"140",1,3,-0.32330616,-1.49,1.4,1.4,0,0,0,0,3,3,0,0,1
"147",1,3,-0.30982824,-1.14,1.1,1.1,0,0,0,0,2,3,0,0,2
"154",1,3,-0.29760358,-0.86,0.800000000000001,0.800000000000001,0,0,0,0,2,4,0,0,0
"161",1,3,-0.28634488,-0.66,0.600000000000001,0.600000000000001,0,0,0,0,2,3,0,0,0
"168",2,4,-0.32687681,-0.5,-24.5,-24.5,-25,0,0,0,2,3,0,0,1
"175",2,4,-0.43042906,-0.38,-24.6,-24.6,-25,0,0,0,2,3,0,0,1
"182",2,4,-0.53150402,1.83,-24.7,-24.7,20,0,0,0,2,3,0,0,1
"189",2,4,-0.63298209,11.76,-23.5,-23.5,20,0,0,0,2,3,0,0,2
"196",2,4,-0.72210477,22.57,-19.6,-19.6,20,0,0,0,2,2,0,0,2
"203",2,4,-0.78621239,30.86,-12.6,-12.6,20,0,0,0,2,2,0,0,2
"210",2,4,-0.81387622,27.86,-4.4,-4.4,20,0,0,0,2,2,0,0,1
"217",2,4,-0.80683063,19.4,1.80000000000001,1.80000000000001,20,0,0,0,2,2,0,0,1
"224",2,4,-0.77642133,15.11,5.89999999999998,5.89999999999998,20,0,0,0,1,2,0,0,2
"231",2,4,-0.7292118,11.72,9.19999999999999,9.19999999999999,20,0,0,0,1,2,0,0,2
"238",2,2,-0.66902924,8.89,11.8,11.8,10,0,0,0,1,2,0,0,2
"245",2,2,-0.60119974,2.35,13.4,13.4,10,0,0,0,1,2,0,0,2
"252",2,2,-0.52892178,-4.94,13.3,13.3,10,0,0,0,4,2,0,0,2
"259",2,2,-0.46088823,-2.44,12.3,12.3,10,0,0,0,3,2,0,0,2
"266",2,2,-0.3956871,-1.87,11.8,11.8,10,0,0,0,3,2,0,0,2
"273",2,2,-0.33249799,-1.56,11.4,11.4,10,0,0,0,3,1,0,0,2
"280",2,2,-0.27095642,-1.14,11.1,11.1,10,0,0,0,3,1,0,0,0
"287",2,2,-0.2105617,-0.89,10.8,10.8,10,0,0,0,3,1,0,0,0
"294",2,2,-0.15113104,-1.72,10.6,10.6,7,0,0,0,2,1,0,0,0
"301",2,3,-0.09371186,-3.84,9.89999999999998,9.89999999999998,7,0,0,0,2,1,0,0,0
"308",2,3,-0.04148359,-2.5,9.19999999999999,9.19999999999999,-1,0,0,0,4,1,0,0,0
"315",2,3,0.00841088,-9.22,8.19999999999999,8.19999999999999,-1,0,0,0,3,1,0,0,0
"322",2,3,0.04919684,-8.48,5.89999999999998,5.89999999999998,-1,0,0,0,3,1,0,0,0
"329",2,3,0.08064858,-4.52,4.30000000000001,4.30000000000001,102,1,0,0,3,1,0,0,0
"336",2,3,0.10781912,4.86,3.89999999999998,3.89999999999998,102,1,0,0,3,1,0,0,0
"343",3,4,0.13581967,15.67,0.800000000000011,0.800000000000011,97,0,0,0,3,1,0,0,0
"350",3,4,0.16258614,26.53,5.69999999999999,5.69999999999999,97,0,0,0,2,1,0,0,0
"357",3,4,0.19927367,30.97,3.39999999999998,3.39999999999998,87,0,0,0,2,1,0,0,0
"364",3,4,0.24521959,29.78,11,11,87,0,0,0,2,1,0,0,0
"371",3,4,0.2953392,30.03,8.5,8.5,77,0,0,0,2,4,0,0,0
"378",3,4,0.36514924,30,6,6,67,0,0,0,2,3,0,0,1
"385",3,4,0.42504913,30,13.5,13.5,67,0,0,0,2,3,0,0,1
"392",3,4,0.50032608,30,11,11,57,0,0,0,2,3,0,0,1
