"","PBNleg","dscrPhase","PBNlegPercent","PBNLegChange","PBNdeviation","bank","angdifHCl","angdifSCl","discrSettingNextHdg","dscrTimeWPTCheckCurrLeg","dscrTimeWPTCheckNxtLeg","dscrTimeNavlogCheck","dscrTimeMapCheck","dscrTimeTrackCheck","dscrTimeMapClick","dscrPBNdeviationIntegrCorr"
"7",0,2,9,1,-0.00272323,-0.01,-2.8,-1,0,0,0,0,0,0,0,0
"14",0,2,19,0,-0.00589071,0,-2.8,-1,0,0,0,0,0,0,0,0
"21",0,2,29,0,-0.0087983,2.07,-2.8,-1,0,0,0,0,0,0,0,0
"28",0,3,40,0,-0.01017836,1.97,-2.4,-1,0,0,0,0,3,4,0,0
"35",0,3,50,0,-0.01010703,0.96,-2.1,-1,0,0,0,0,3,3,0,0
"42",0,3,61,0,-0.00890051,0.96,-1.9,-25,1,0,0,0,3,3,0,0
"49",0,3,72,0,-0.0069354,-3.17,-1.8,-25,1,0,0,0,3,3,0,0
"56",0,3,82,0,-0.00906579,-13.13,-3.1,-25,1,0,0,4,3,3,0,0
"63",0,3,93,0,-0.02593563,-21.5,-7.2,-25,1,0,0,3,2,2,0,0
"70",1,4,2,1,-0.06188097,-17.76,-9.3,-22,0,0,0,3,2,2,0,0
"77",1,4,9,0,-0.10717317,-9.22,-12.9,-22,0,0,0,4,2,2,0,0
"84",1,4,15,0,-0.16277629,-7.49,-15,-22,0,0,0,3,2,2,0,0
"91",1,4,22,0,-0.2257551,-4.91,-16.7,2,1,0,0,3,2,2,0,0
"98",1,4,29,0,-0.29284765,4.93,-17.1,2,1,0,0,3,2,2,0,0
"105",1,4,35,0,-0.35026437,15.52,-14,23,1,0,0,3,2,2,0,1
"112",1,4,42,0,-0.39060688,26.36,-8.8,23,1,0,0,3,2,2,0,1
"119",1,4,51,0,-0.38249799,30.47,11.5,35,1,0,0,2,2,2,0,1
"126",1,4,57,0,-0.30210319,22.56,19.1,25,1,0,0,2,2,2,0,2
"133",1,3,65,0,-0.18894695,11.72,33.8,35,1,0,0,2,2,2,0,0
"140",1,3,70,0,-0.03383886,0.85,35.8,25,1,0,0,4,1,2,0,0
"147",1,3,75,0,0.11793807,-9.33,35.2,25,1,0,0,3,1,1,0,0
"154",1,3,81,0,0.26733791,-9.91,32.6,25,1,0,0,3,4,1,0,0
"161",1,3,87,0,0.40815175,-5.62,30.6,25,1,0,0,3,3,1,0,1
"168",1,3,93,0,0.54381474,-4.7,29.3,15,1,0,0,3,3,1,0,1
"175",2,4,4,1,0.63185105,-9.5,2.89999999999998,-20,0,0,0,3,3,1,0,1
"182",2,4,8,0,0.64427793,-19.7,-0.5,-20,0,0,0,2,3,1,0,2
"189",2,4,11,0,0.63547705,-19.08,-5.7,-20,0,0,0,2,4,4,0,2
"196",2,4,15,0,0.60503545,-10.74,-9.8,-20,0,0,0,2,3,3,0,2
"203",2,4,19,0,0.56161713,-8.45,-12.1,-20,0,0,0,2,3,3,0,2
"210",2,4,23,0,0.5088671,-6.54,-14,-20,0,0,0,2,3,3,0,2
"217",2,4,27,0,0.44892831,-4.87,-15.5,-20,0,0,0,4,3,3,0,2
"224",2,4,31,0,0.3853145,-3.73,-16.6,-20,0,0,0,3,2,2,0,2
"231",2,4,34,0,0.3156912,-0.83,-17.3,-10,0,0,0,3,2,2,0,2
"238",2,4,38,0,0.2460771,7.76,-16.8,-10,0,0,0,3,2,2,0,0
"245",2,2,42,0,0.18334488,6.78,-14.9,0,0,0,0,3,2,2,0,0
"252",2,2,46,0,0.1293164,13.12,-12.8,0,0,0,0,3,2,2,0,0
"259",2,2,50,0,0.08886067,11.75,-9.4,0,0,0,0,2,2,2,0,0
"266",2,2,54,0,0.06202614,7.24,-7.1,0,0,0,0,2,2,2,0,0
