"","PBNleg","dscrPhase","PBNlegPercent","PBNLegChange","PBNdeviation","bank","angdifHCl","angdifSCl","discrSettingNextHdg","dscrTimeWPTCheckCurrLeg","dscrTimeWPTCheckNxtLeg","dscrTimeNavlogCheck","dscrTimeMapCheck","dscrTimeTrackCheck","dscrTimeMapClick","dscrPBNdeviationIntegrCorr"
"7",0,2,10,1,-0.003039,0,-2.8,-1,0,0,0,0,0,0,0,0
"14",0,2,20,0,-0.00628459,0.01,-2.8,-1,0,0,0,0,0,0,0,0
"21",0,2,30,0,-0.00940171,-0.01,-2.8,-1,0,0,0,0,0,0,0,0
"28",0,3,40,0,-0.01229907,0,-2.8,-1,0,0,0,0,0,0,0,0
"35",0,3,48,0,-0.01487729,0,-2.8,-1,0,0,0,0,0,0,0,0
"42",0,3,56,0,-0.01705972,1.93,-2.8,-1,0,0,0,0,0,0,0,0
"49",0,3,63,0,-0.01819059,1.6,-2.5,-1,0,0,0,4,0,0,0,0
"56",0,3,71,0,-0.01853263,1.37,-2.3,-1,0,0,0,3,0,0,0,0
"63",0,3,79,0,-0.01818836,1.16,-2.1,-1,0,0,0,3,3,0,0,0
"70",0,3,87,0,-0.01707895,0.93,-1.8,-1,0,0,0,3,3,0,0,0
"77",0,3,95,0,-0.01513317,-0.73,-1.7,-26,1,0,0,3,3,0,0,0
"84",1,4,2,1,-0.0104852,-11.14,-0.2,-23,0,0,0,4,3,0,0,0
"91",1,4,9,0,-0.01132699,-19.96,-4.4,-23,0,0,0,3,3,0,0,0
"98",1,4,15,0,-0.03323502,-15.72,-9.5,-23,0,0,0,3,2,0,0,0
"105",1,4,21,0,-0.07408784,-10.96,-13,-23,0,0,0,3,2,0,0,0
"112",1,4,28,0,-0.12825284,-8.25,-15.4,2,1,0,0,3,2,0,0,0
"119",1,4,35,0,-0.1908865,-0.94,-16,3,1,0,0,3,4,0,0,0
"126",1,4,41,0,-0.25282436,9.71,-15.3,3,1,0,0,2,3,0,0,0
"133",1,4,50,0,-0.29489765,17.35,-0.0999999999999996,15,1,0,0,2,3,0,0,0
"140",1,4,57,0,-0.27328283,12.45,3.8,15,1,0,0,4,3,0,0,0
"147",1,3,65,0,-0.22517656,9.31,16.4,25,1,0,0,3,4,0,4,0
"154",1,3,72,0,-0.13377405,7.15,18.4,25,1,0,0,3,3,0,3,0
"161",1,3,79,0,-0.03462774,5.48,20,25,1,0,0,3,3,0,3,0
"168",1,3,86,0,0.06859306,4.22,21.1,25,1,0,0,3,3,0,3,0
"175",1,3,92,0,0.17877173,3.24,22,25,1,0,0,4,3,0,3,0
"182",2,4,1,1,0.27729583,2.5,-2.3,0,0,0,0,3,2,0,3,0
"189",2,4,6,0,0.27656209,1.92,-1.8,5,0,0,0,3,2,0,2,0
