"","PBNleg","dscrPhase","PBNlegPercent","PBNLegChange","PBNdeviation","bank","angdifHCl","angdifSCl","discrSettingNextHdg","dscrTimeWPTCheckCurrLeg","dscrTimeWPTCheckNxtLeg","dscrTimeNavlogCheck","dscrTimeMapCheck","dscrTimeTrackCheck","dscrTimeMapClick","dscrPBNdeviationIntegrCorr"
"7",0,2,10,1,-0.00295313,0,-2.8,-1,0,0,0,0,0,0,0,0
"14",0,2,19,0,-0.00600263,0,-2.8,-1,0,0,0,0,0,0,0,0
"21",0,2,30,0,-0.00913192,-0.01,-2.8,-1,0,0,0,0,0,0,0,0
"28",0,3,40,0,-0.01224263,1.11,-2.8,-1,0,0,0,0,0,0,0,0
"35",0,3,50,0,-0.01416616,2.27,-2.5,-1,0,0,0,0,0,0,0,0
"42",0,3,60,0,-0.0143841,1.13,-2.2,-1,0,0,0,0,0,0,0,0
"49",0,3,71,0,-0.01387245,1.1,-2.1,-1,0,0,0,4,0,0,0,0
"56",0,3,82,0,-0.0124644,1.02,-1.8,-1,0,0,0,3,0,0,0,0
"63",0,3,92,0,-0.00996714,0.67,-1.6,-1,0,0,0,3,0,0,0,0
"70",1,4,2,1,-0.00227314,0.53,1.5,2,1,0,0,3,0,0,0,0
"77",1,4,10,0,0.01677497,0.43,1.6,2,1,0,0,3,0,0,0,0
"84",1,4,17,0,0.03588149,0.33,1.7,2,1,0,0,4,0,0,0,0
"91",1,4,25,0,0.05498,0.25,1.8,2,1,0,0,3,0,0,0,0
"98",1,4,32,0,0.07473981,0.19,2.8,3,1,0,0,3,0,0,0,0
"105",1,4,39,0,0.09707976,0.15,2.9,-27,0,0,0,3,0,0,0,0
"112",1,4,46,0,0.11956634,-4.48,2.7,-27,0,0,0,4,0,0,0,0
"119",1,4,53,0,0.17917909,-15.26,12.7,-15,0,0,0,3,0,0,0,0
"126",1,4,60,0,0.23522355,-24.86,8,-15,0,0,0,3,4,0,0,0
"133",1,3,65,0,0.28198899,-22.82,11.6,-5,0,0,0,3,3,0,0,0
"140",1,3,73,0,0.32976571,-13.19,6.8,-5,0,0,0,4,3,0,0,1
"147",1,3,80,0,0.36111092,-9.31,4.1,-5,0,0,0,3,3,0,0,1
"154",1,3,87,0,0.38193924,-7.75,2.1,25,1,0,0,3,3,0,0,1
"161",1,3,94,0,0.39498728,0.17,0.800000000000001,25,1,0,0,3,2,0,0,1
"168",2,4,3,1,0.34740773,10.91,-23.4,0,0,0,0,3,2,0,0,2
"175",2,4,7,0,0.25537991,20.94,-19.8,0,0,0,0,3,2,0,0,0
"182",2,4,11,0,0.18627714,19.53,-14.6,0,0,0,0,4,2,0,0,0
"189",2,4,15,0,0.1381767,10.96,-10.6,0,0,0,0,3,2,0,0,0
