"","PBNleg","dscrPhase","PBNlegPercent","PBNLegChange","PBNdeviation","bank","angdifHCl","angdifSCl","discrSettingNextHdg","dscrTimeWPTCheckCurrLeg","dscrTimeWPTCheckNxtLeg","dscrTimeNavlogCheck","dscrTimeMapCheck","dscrTimeTrackCheck","dscrTimeMapClick","dscrPBNdeviationIntegrCorr"
"7",0,2,10,1,-0.00299369,0.01,-2.8,-1,0,0,0,0,0,0,0,0
"14",0,2,20,0,-0.00607194,0.02,-2.8,-1,0,0,0,0,0,0,0,0
"21",0,2,30,0,-0.00902046,2.07,-2.8,-1,0,0,0,4,0,0,0,0
"28",0,3,41,0,-0.01051586,1.97,-2.4,-1,0,0,0,3,0,0,0,0
"35",0,3,52,0,-0.01038648,0.29,-2.1,-3,0,0,0,3,0,0,0,0
"42",0,3,63,0,-0.01005284,-1.6,-2.2,-3,0,0,0,3,0,0,0,0
"49",0,3,74,0,-0.0112432,-0.52,-2.5,-3,0,0,0,4,0,0,0,0
"56",0,3,84,0,-0.01312132,-0.34,-2.6,-26,1,0,0,3,0,0,0,0
"63",0,3,95,0,-0.01552895,-3.94,-2.7,-26,1,0,0,3,0,0,0,0
"70",1,4,3,1,-0.0162874,-13.97,-1.4,-23,0,0,0,3,0,0,0,0
"77",1,4,10,0,-0.02451409,-21.44,-5.5,-23,0,0,0,3,0,0,0,0
"84",1,4,18,0,-0.0563012,-16.64,-10.7,-23,0,0,0,4,0,0,0,0
"91",1,4,25,0,-0.1068467,-8.92,-14,-23,0,0,0,3,3,0,0,0
"98",1,4,31,0,-0.16738652,-7.62,-15,-22,0,0,0,3,3,0,0,0
"105",1,4,38,0,-0.23251324,-5.84,-16.7,-22,0,0,0,3,3,0,0,0
"112",1,4,45,0,-0.30401011,-4.33,-18,-22,0,0,0,3,4,0,4,1
"119",1,4,54,0,-0.33934555,-3.33,-6.9,-10,0,0,0,2,3,0,3,1
"126",1,4,61,0,-0.36398389,-0.65,-7.6,20,1,0,0,2,3,0,3,1
"133",1,3,70,0,-0.35258776,8.96,2.9,30,1,0,0,2,3,0,3,1
"140",1,3,77,0,-0.32249084,19.78,6,30,1,0,0,2,3,0,3,1
"147",1,3,84,0,-0.27045783,23.97,11.7,30,1,0,0,4,4,0,2,0
"154",1,3,90,0,-0.19179606,16.21,17.2,30,1,0,4,3,3,0,4,0
"161",1,3,97,0,-0.09448194,9.5,20.4,25,1,0,3,3,3,0,3,0
"168",2,4,2,1,-0.04569793,2.79,-2.9,0,0,0,3,3,3,0,3,0
"175",2,4,6,0,-0.04881591,2.27,-2.3,0,0,0,3,3,3,0,3,0
"182",2,4,10,0,-0.04947376,2.04,-1.8,0,0,0,3,2,3,0,3,0
"189",2,4,14,0,-0.04789979,2.3,-1.3,2,0,0,3,2,2,0,2,0
"196",2,4,18,0,-0.0435476,3.31,-0.6,2,0,0,2,2,2,0,2,0
"203",2,4,22,0,-0.03604744,2.04,0,2,0,0,2,2,2,0,2,0
"210",2,4,26,0,-0.02600332,1.65,0.5,2,0,0,2,2,2,0,2,0
"217",2,4,30,0,-0.01409357,1.27,0.800000000000011,2,0,0,2,4,2,0,2,0
"224",2,4,34,0,-0.00077365,0.96,1.10000000000002,2,0,4,2,3,2,0,2,0
"231",2,4,39,0,0.013637,0.74,1.30000000000001,2,0,3,2,3,2,0,2,0
