"","PBNleg","dscrPhase","PBNlegPercent","PBNLegChange","PBNdeviation","bank","angdifHCl","angdifSCl","discrSettingNextHdg","dscrTimeWPTCheckCurrLeg","dscrTimeWPTCheckNxtLeg","dscrTimeNavlogCheck","dscrTimeMapCheck","dscrTimeTrackCheck","dscrTimeMapClick","dscrPBNdeviationIntegrCorr"
"7",0,3,44,1,-0.01293894,2.35,-2.8,-1,0,0,0,4,0,0,0,0
"14",0,3,54,0,-0.01450772,1.76,-2.6,-1,0,0,0,3,4,0,0,0
"21",0,3,64,0,-0.01525334,1.27,-2.4,-1,0,0,0,3,3,4,0,0
"28",0,3,75,0,-0.01520037,1.28,-2.1,-1,0,0,0,3,3,3,0,0
"35",0,3,86,0,-0.01378503,0.93,-1.8,-1,0,0,0,3,3,3,0,0
"42",0,3,97,0,-0.01123608,0.68,-1.7,-1,0,0,0,2,3,3,0,0
"49",1,4,6,1,0.00361695,0.58,1.5,2,1,0,0,2,3,3,0,0
"56",1,4,14,0,0.02272797,0.44,1.6,2,1,0,0,2,2,2,0,0
"63",1,4,21,0,0.04201571,0.34,1.7,2,1,0,0,4,2,2,0,0
"70",1,4,28,0,0.06075625,0.26,1.8,2,1,0,0,3,2,2,0,0
"77",1,4,36,0,0.08261066,0.2,2.8,-22,0,0,0,3,2,2,0,0
"84",1,4,43,0,0.10505704,-5.58,2.6,-22,0,0,0,3,2,2,0,0
"91",1,4,50,0,0.13789297,-16.37,12.3,-10,0,0,0,3,2,2,0,0
"98",1,4,56,0,0.19095191,-22.19,7.6,-10,0,0,0,3,2,2,0,0
"105",1,4,64,0,0.22169224,-15.43,2.4,-10,0,4,0,2,2,2,0,0
"112",1,3,70,0,0.27738224,-9.42,9.4,0,0,3,0,2,2,2,0,0
"119",1,3,77,0,0.32301664,-8.05,7.3,0,0,3,0,2,2,2,0,1
"126",1,3,84,0,0.36045133,-2.66,5.7,5,0,3,0,2,2,2,0,1
"133",1,3,91,0,0.39389117,0.4,5.4,5,0,3,0,2,1,2,0,1
"140",2,4,2,1,0.41392459,-0.69,-19.6,-20,0,3,0,2,1,1,0,1
"147",2,4,6,0,0.32922343,-0.29,-19.7,-20,0,2,0,2,1,1,0,2
"154",2,4,10,0,0.24403195,-0.25,-19.8,-20,0,2,0,2,1,1,0,0
"161",2,4,14,0,0.16099892,-0.2,-19.8,-20,0,2,0,2,1,1,0,0
"168",2,4,18,0,0.07537406,-0.15,-19.9,-20,0,2,0,2,1,1,0,0
"175",2,4,22,0,-0.01051306,-0.11,-19.9,-20,0,2,0,2,1,1,0,0
"182",2,4,26,0,-0.09661679,-0.09,-19.9,-20,0,2,0,1,1,1,0,0
"189",2,4,30,0,-0.18298288,-0.07,-19.9,-20,0,2,0,1,4,1,0,0
"196",2,4,34,0,-0.26710107,-0.05,-19.9,-20,0,2,0,1,3,4,0,0
"203",2,4,37,0,-0.35376382,-0.04,-20,10,0,2,0,1,3,3,0,1
"210",2,2,42,0,-0.44046138,4.32,-19.8,10,0,2,0,1,3,3,0,1
"217",2,2,46,0,-0.52204883,14.9,-18,10,0,2,0,1,3,3,0,1
"224",2,2,50,0,-0.58732881,24.82,-13.3,10,0,1,0,1,3,3,0,2
"231",2,2,54,0,-0.62414454,23.02,-7.2,10,0,1,0,1,2,2,0,2
"238",2,2,58,0,-0.63487642,13.56,-2.5,10,0,1,0,1,2,2,0,2
"245",2,2,62,0,-0.62876437,10.23,0.199999999999989,10,0,1,0,1,2,2,0,2
"252",2,2,66,0,-0.61136533,8.3,2.39999999999998,10,0,1,0,1,2,2,0,2
"259",2,2,71,0,-0.5846838,6.26,4.19999999999999,10,0,1,0,1,2,2,0,2
"266",2,3,75,0,-0.55077006,4.87,5.5,10,0,1,0,1,2,2,0,2
"273",2,3,79,0,-0.51248756,3.8,6.5,10,0,1,0,1,2,2,0,2
"280",2,3,83,0,-0.46884564,2.94,7.30000000000001,10,0,1,0,1,2,2,0,2
"287",2,3,88,0,-0.42184292,2.28,7.89999999999998,10,0,1,0,1,2,2,0,2
"294",2,3,92,0,-0.37229872,1.76,8.39999999999998,10,0,1,0,1,2,2,0,2
"301",2,3,96,0,-0.32071433,1.37,8.69999999999999,10,0,1,0,1,2,2,0,2
"308",2,3,100,0,-0.26809746,1.06,9,10,0,1,0,4,1,1,0,0
"315",3,4,3,1,-0.23807766,0.82,4.19999999999999,97,0,1,0,3,1,1,0,0
"322",3,4,5,0,-0.21305086,5.1,-5.39999999999998,87,0,1,0,3,1,1,0,0
"329",3,4,7,0,-0.22557148,15.62,-3.39999999999998,87,0,1,0,3,1,1,0,0
"336",3,4,10,0,-0.23000937,26.14,-8.89999999999998,77,0,1,0,3,1,1,0,0
"343",3,4,12,0,-0.2446271,30.98,-1.39999999999998,77,0,1,0,3,1,1,0,0
"350",3,4,15,0,-0.23399709,29.79,-3.80000000000001,67,0,1,0,2,1,1,0,0
"357",3,4,17,0,-0.22230022,30.04,3.5,67,0,1,0,2,4,4,0,0
"364",3,4,20,0,-0.19249255,30,0.800000000000011,57,0,1,0,2,3,3,0,0
"371",3,4,22,0,-0.15745069,30,8.19999999999999,57,0,1,0,2,3,3,0,0
"378",3,4,25,0,-0.11023418,30,5.5,47,0,1,0,2,3,3,0,0
"385",3,4,27,0,-0.0516909,30,12.7,47,0,1,0,2,3,3,0,0
"392",3,4,30,0,0.00843773,29.58,9.80000000000001,37,0,1,0,2,2,2,0,0
"399",3,4,32,0,0.08753201,22.66,16.2,37,0,1,0,2,2,2,0,0
"406",3,4,35,0,0.15082546,17.31,10.7,27,0,1,0,4,2,2,0,0
"413",3,4,38,0,0.21785946,13.79,4.19999999999999,17,0,1,0,3,2,2,0,0
"420",3,4,41,0,0.25888419,10.76,7,17,0,1,0,3,2,2,0,0
"427",3,4,44,0,0.28201981,8.42,-0.800000000000011,7,0,1,0,3,2,2,0,0
"434",3,4,47,0,0.29330418,6.6,-5.10000000000002,1,0,1,0,3,2,2,0,0
"441",3,2,50,0,0.27419505,5.46,-5.80000000000001,4,0,1,0,3,2,2,0,0
"448",3,2,53,0,0.2581718,9.68,-4.30000000000001,4,0,1,0,2,4,2,0,0
"455",3,2,55,0,0.25213438,6.87,-2.39999999999998,4,0,0,0,2,3,3,0,0
"462",3,2,58,0,0.25393481,5.35,-1,4,0,0,0,2,3,3,0,0
"469",3,2,61,0,0.26182463,4.27,0.100000000000023,4,0,0,0,2,3,3,0,0
"476",3,2,64,0,0.27455536,3.32,0.899999999999977,4,0,0,0,2,3,3,0,0
"483",3,2,66,0,0.2911116,2.62,1.59999999999999,4,0,0,0,2,3,3,0,0
"490",3,2,69,0,0.31058559,2.06,2.09999999999999,4,0,0,0,2,2,2,0,1
"497",3,2,72,0,0.3324167,1.62,2.5,4,0,0,0,2,2,2,0,1
"504",3,2,75,0,0.35607515,1.28,2.80000000000001,4,0,0,0,2,2,2,0,1
"511",3,2,77,0,0.38123062,-0.75,3,-6,0,0,0,2,2,2,0,1
"518",3,2,80,0,0.40409691,-9.12,2.30000000000001,-6,0,0,0,2,2,2,0,2
"525",3,2,83,0,0.4186737,-7.15,0.300000000000011,-6,0,0,0,1,2,2,0,2
"532",3,3,86,0,0.42473077,-5.15,-1,-6,0,0,0,1,2,2,0,2
"539",3,3,89,0,0.42491307,-4.26,-2.10000000000002,-6,0,0,0,1,2,2,0,2
"546",3,3,91,0,0.42019375,-3.3,-2.89999999999998,-6,0,0,0,1,2,2,0,2
"553",3,3,94,0,0.41169422,-2.62,-3.60000000000002,-6,0,0,0,1,2,2,0,2
"560",3,3,97,0,0.40015019,-2.06,-4.10000000000002,-6,0,0,0,1,2,2,0,2
"567",3,3,100,0,0.38621855,-1.61,-4.5,-6,0,0,0,1,1,1,0,2
"574",4,4,3,1,0.3459585,-1.28,-9.80000000000001,-11,0,0,0,1,1,1,0,2
"581",4,4,6,0,0.29101785,-1.01,-20,-21,0,0,0,1,4,4,0,0
"588",4,4,9,0,0.19517159,-0.8,-20.2,-21,0,0,0,1,3,3,0,0
"595",4,4,12,0,0.07422912,-0.64,-30.4,-31,0,0,0,3,3,3,0,0
"602",4,4,14,0,-0.0734438,-0.5,-30.5,67,0,0,0,3,3,3,0,0
"609",4,4,16,0,-0.24048124,3.78,-40.5,57,0,0,0,3,3,3,0,0
"616",4,4,18,0,-0.43020456,14.13,-38.9,57,0,0,0,3,3,3,0,1
"623",4,4,21,0,-0.60795033,24.96,-34.9,57,0,0,0,3,2,2,0,1
"630",4,4,22,0,-0.80008475,31.03,-38.1,47,0,0,0,2,2,2,0,1
"637",4,4,24,0,-0.96576849,29.81,-31,47,0,0,0,2,2,2,0,1
"644",4,4,27,0,-1.10947954,30.03,-24.2,47,0,0,0,2,2,2,0,1
"651",4,4,28,0,-1.25728328,30,-27.4,37,0,0,0,4,2,2,0,1
"658",4,4,30,0,-1.37157938,30,-20.6,37,0,0,0,3,4,4,0,1
"665",4,4,31,0,-1.47686308,30,-23.7,27,0,0,0,3,3,3,0,1
"672",4,4,33,0,-1.57160395,30,-17.2,27,0,0,0,3,3,3,0,1
"679",4,4,36,0,-1.63480568,30,-10.4,27,0,0,0,3,3,3,0,1
