"","PBNleg","dscrPhase","PBNlegPercent","PBNLegChange","PBNdeviation","bank","angdifHCl","angdifSCl","discrSettingNextHdg","dscrTimeWPTCheckCurrLeg","dscrTimeWPTCheckNxtLeg","dscrTimeNavlogCheck","dscrTimeMapCheck","dscrTimeTrackCheck","dscrTimeMapClick","dscrPBNdeviationIntegrCorr"
"7",0,2,10,1,-0.00291458,0.01,-2.8,-1,0,0,0,0,0,0,0,0
"14",0,2,20,0,-0.0059908,0.37,-2.8,-1,0,0,0,0,0,0,0,0
"21",0,2,30,0,-0.00863007,2.39,-2.7,-1,0,0,0,4,0,0,0,0
"28",0,3,41,0,-0.00946345,1.58,-2.3,-1,0,0,0,3,0,0,0,0
"35",0,3,52,0,-0.00881713,0.66,-2,-2,0,0,0,3,0,0,0,0
"42",0,3,63,0,-0.00758886,-0.32,-1.9,-2,0,0,0,3,0,0,0,0
"49",0,3,74,0,-0.00655245,-0.03,-2,-2,0,0,0,3,0,0,0,0
"56",0,3,84,0,-0.00566424,-1.62,-2,-26,1,0,0,3,0,0,0,0
"63",0,3,95,0,-0.00744269,-10.6,-2.9,-26,1,0,0,2,0,0,0,0
"70",1,4,3,1,-0.01418202,-20.54,-3.2,-23,0,0,0,2,0,0,0,0
"77",1,4,11,0,-0.03564893,-20.26,-8.5,-23,0,0,0,2,0,0,0,0
"84",1,4,18,0,-0.07981615,-11.38,-12.8,-23,0,0,0,2,0,0,0,0
"91",1,4,25,0,-0.13730983,-7.92,-15.2,-23,0,0,0,4,0,0,0,0
"98",1,4,31,0,-0.20244326,-6.73,-16,-22,0,0,0,3,0,0,0,0
"105",1,4,38,0,-0.27140852,-4.87,-17.5,-22,0,0,0,3,0,0,0,0
"112",1,4,45,0,-0.34580688,-3.74,-18.5,-12,0,0,0,3,0,0,0,1
"119",1,4,54,0,-0.38234147,2.34,-7.1,0,0,0,0,4,0,0,0,1
"126",1,4,61,0,-0.40191295,8.29,-6,20,1,0,0,3,0,0,0,1
"133",1,3,70,0,-0.37702714,6.65,5.8,30,1,0,0,3,0,0,0,1
"140",1,3,77,0,-0.3358823,14.96,7.9,30,1,0,0,3,0,0,0,2
"147",1,3,84,0,-0.2782761,21.74,12.5,30,1,0,0,3,0,0,0,0
"154",1,3,91,0,-0.19707808,15.76,17.6,30,1,0,0,3,0,0,0,0
"161",1,3,97,0,-0.09983736,9.23,20.7,30,1,0,0,3,0,0,0,0
"168",2,4,2,1,-0.04952554,7.93,-2.2,5,0,0,0,3,0,0,0,0
"175",2,4,6,0,-0.04580877,3.76,-0.5,-5,0,0,0,3,0,0,0,0
"182",2,4,10,0,-0.03849345,-5.28,-0.3,-5,0,0,0,3,0,0,0,0
"189",2,4,14,0,-0.03591778,-4.22,-1.6,-5,0,0,0,4,0,0,0,0
"196",2,4,18,0,-0.03808028,-2.47,-2.5,-5,0,0,0,3,0,0,0,0
"203",2,4,22,0,-0.04311229,-2.21,-3,-5,0,0,0,3,0,0,0,0
"210",2,4,26,0,-0.05055809,-1.6,-3.5,-5,0,0,0,3,0,0,0,0
"217",2,4,30,0,-0.05987019,-1.24,-3.8,-5,0,0,0,3,0,0,0,0
"224",2,4,35,0,-0.07022864,3.23,-4,3,0,0,0,3,0,0,0,0
"231",2,4,39,0,-0.07684654,7.9,-2.7,3,0,0,0,2,0,0,0,0
"238",2,2,43,0,-0.07581936,4.23,-1.1,3,0,0,0,2,0,0,0,0
"245",2,2,47,0,-0.06969304,3.46,-0.2,3,0,0,0,2,0,0,0,0
"252",2,2,51,0,-0.05974365,2.71,0.5,3,0,0,0,2,0,0,0,0
"259",2,2,55,0,-0.04674532,2.03,1.10000000000002,3,0,0,0,2,0,0,0,0
"266",2,2,59,0,-0.03147303,1.57,1.60000000000002,3,0,0,0,2,0,0,0,0
"273",2,2,63,0,-0.014337,1.2,1.89999999999998,3,0,0,0,4,0,0,0,0
"280",2,2,67,0,0.00411644,0.92,2.19999999999999,3,0,0,0,3,0,0,0,0
"287",2,2,72,0,0.02365919,0.71,2.30000000000001,3,0,0,0,3,0,0,0,0
