"","PBNleg","dscrPhase","PBNlegPercent","PBNLegChange","PBNdeviation","bank","angdifHCl","angdifSCl","discrSettingNextHdg","dscrTimeWPTCheckCurrLeg","dscrTimeWPTCheckNxtLeg","dscrTimeNavlogCheck","dscrTimeMapCheck","dscrTimeTrackCheck","dscrTimeMapClick","dscrPBNdeviationIntegrCorr"
"7",0,2,10,1,-0.00319519,-0.01,-2.8,-1,0,0,0,0,0,0,0,0
"14",0,2,21,0,-0.0064384,-0.01,-2.8,-1,0,0,0,0,0,0,0,0
"21",0,2,31,0,-0.00958392,-0.01,-2.8,-1,0,0,0,0,0,0,0,0
"28",0,3,41,0,-0.01257495,1.67,-2.8,-1,0,0,0,0,0,0,0,0
"35",0,3,50,0,-0.01437474,1.7,-2.6,-1,0,0,0,0,0,0,0,0
"42",0,3,60,0,-0.01527659,1.48,-2.4,-1,0,0,0,0,0,0,0,0
"49",0,3,70,0,-0.01554696,1.32,-2.2,-1,0,0,0,4,0,0,0,0
"56",0,3,81,0,-0.01482985,1.06,-2,-1,0,0,0,3,0,0,0,0
"63",0,3,91,0,-0.01285424,0.4,-1.7,-26,1,0,0,3,0,0,0,0
"70",1,4,1,1,-0.00943473,-8.5,0.9,-23,0,0,0,3,0,0,0,0
"77",1,4,8,0,-0.00289644,-19.22,-1.9,-23,0,0,0,3,0,0,0,0
"84",1,4,16,0,-0.0172199,-20.62,-7.1,-23,0,0,0,2,0,0,0,0
"91",1,4,23,0,-0.05386816,-12.69,-11.4,-23,0,0,0,2,0,0,0,0
"98",1,4,30,0,-0.10607083,-9.64,-14.1,-23,0,0,0,2,0,0,0,0
"105",1,4,37,0,-0.16549963,-7.38,-15.2,-22,0,0,0,2,0,0,0,0
"112",1,4,44,0,-0.23390238,-5.59,-16.9,-22,0,0,0,2,0,0,0,0
"119",1,4,52,0,-0.27668642,-2.62,-6,-8,0,0,0,2,0,0,0,0
"126",1,4,59,0,-0.29681639,-1.59,-6.5,-6,0,0,0,2,0,0,0,0
"133",1,3,68,0,-0.29097591,0.76,3.3,4,0,0,0,4,0,0,0,0
"140",1,3,75,0,-0.26626666,0.64,3.5,31,1,0,0,3,0,0,0,0
"147",1,3,83,0,-0.23998843,8.23,4.1,31,1,0,0,3,0,0,0,0
"154",1,3,90,0,-0.20512759,18.88,6.8,31,1,0,0,3,0,0,0,0
"161",1,3,97,0,-0.14847535,23.36,12.3,31,1,0,0,4,0,0,0,0
"168",2,4,2,1,-0.12237023,15.26,-7.6,0,0,0,0,3,0,0,0,0
"175",2,4,6,0,-0.13983797,6.79,-4.7,0,0,0,0,3,0,0,0,0
"182",2,4,10,0,-0.14915043,3.67,-3.4,0,0,0,0,3,0,0,0,0
"189",2,4,14,0,-0.15445335,2.88,-2.6,0,0,0,0,3,0,0,0,0
"196",2,4,18,0,-0.15652254,2.77,-2,3,0,0,0,3,0,0,0,0
"203",2,4,22,0,-0.15499169,4.55,-1.1,3,0,0,0,2,0,0,0,0
"210",2,4,27,0,-0.1485891,3.45,-0.2,3,0,0,0,2,0,0,0,0
"217",2,4,31,0,-0.13822607,2.66,0.600000000000023,3,0,0,0,4,0,0,0,0
"224",2,4,35,0,-0.12490397,2.04,1.10000000000002,3,0,0,0,3,0,0,0,0
"231",2,4,39,0,-0.10926125,1.57,1.60000000000002,3,0,0,0,3,0,0,0,0
"238",2,2,43,0,-0.09216039,1.22,1.89999999999998,3,0,0,0,3,0,0,0,0
"245",2,2,48,0,-0.07329111,0.94,2.10000000000002,3,0,0,0,3,0,0,0,0
"252",2,2,52,0,-0.05333156,0.72,2.30000000000001,3,0,0,0,2,0,0,0,0
"259",2,2,56,0,-0.03264614,0.56,2.5,3,0,0,0,2,0,0,0,0
"266",2,2,60,0,-0.01168736,-1.59,2.60000000000002,0,0,0,0,4,0,0,0,0
"273",2,2,65,0,0.00826253,-2.28,2.10000000000002,0,0,0,0,3,0,0,0,0
"280",2,2,69,0,0.02566063,-1.74,1.60000000000002,0,0,0,0,3,0,0,0,0
"287",2,3,73,0,0.04118982,-1.34,1.19999999999999,0,0,0,0,3,0,0,0,0
"294",2,3,77,0,0.05507973,-1.04,1,0,0,0,0,3,0,0,0,0
"301",2,3,82,0,0.06805312,-0.8,0.699999999999989,0,0,0,0,3,0,0,0,0
"308",2,3,86,0,0.07984702,-0.62,0.600000000000023,0,0,0,0,2,0,0,0,0
"315",2,3,90,0,0.09117976,-0.48,0.5,0,0,0,0,2,0,0,0,0
"322",2,3,95,0,0.10201025,-0.37,0.399999999999977,0,0,0,0,4,0,0,0,0
"329",2,3,99,0,0.11242886,-0.25,0.300000000000011,102,1,0,0,3,0,0,0,0
"336",3,4,2,1,0.10474255,7.5,-4.30000000000001,97,0,0,0,3,0,0,0,0
"343",3,4,5,0,0.09854462,18.33,-11.7,87,0,0,0,3,0,0,0,0
"350",3,4,7,0,0.06454638,28.68,-6.30000000000001,87,0,0,0,3,0,0,0,0
"357",3,4,10,0,0.04973127,30.04,-8.69999999999999,77,0,0,0,3,0,0,0,0
"364",3,4,13,0,0.03718489,30,-1.19999999999999,77,0,0,0,3,0,0,0,0
"371",3,4,15,0,0.03462329,30,-4.10000000000002,67,0,0,0,3,4,0,0,0
"378",3,4,18,0,0.04503278,30,3.30000000000001,67,0,0,0,3,3,0,0,0
"385",3,4,21,0,0.05268594,30,0.600000000000023,57,0,0,0,4,3,0,0,0
"392",3,4,24,0,0.08322129,30,-2.10000000000002,47,0,0,0,3,3,0,0,0
"399",3,4,26,0,0.10362587,30,5.19999999999999,47,0,0,0,3,3,0,0,0
"406",3,4,29,0,0.14099192,30,2.30000000000001,37,0,0,0,3,3,0,0,0
"413",3,4,32,0,0.18441695,29.37,9.5,37,0,0,0,3,2,0,0,0
"420",3,4,35,0,0.22515588,23.06,5.69999999999999,27,0,0,0,3,2,0,0,0
"427",3,4,38,0,0.2746374,18,0.300000000000011,17,0,0,0,2,2,0,0,0
"434",3,4,41,0,0.29921143,14.03,4,17,0,0,0,2,2,0,0,0
"441",3,4,44,0,0.31097585,10.08,-3.19999999999999,2,0,0,0,2,2,0,0,1
"448",3,4,47,0,0.31013339,2.24,-1.60000000000002,-1,0,0,0,2,2,0,0,1
"455",3,2,50,0,0.27504765,0.38,-9.39999999999998,-9,0,0,0,2,2,0,0,0
"462",3,2,53,0,0.23571675,2.04,-9.30000000000001,-6,0,0,0,2,2,0,0,0
"469",3,2,55,0,0.19844787,2.94,-8.69999999999999,-6,0,0,0,4,2,0,0,0
"476",3,2,58,0,0.16496159,2.3,-8.10000000000002,-6,0,0,0,3,2,0,0,0
"483",3,2,61,0,0.13338871,1.8,-7.69999999999999,-6,0,0,0,3,2,0,0,0
"490",3,2,63,0,0.10420267,1.69,-7.30000000000001,-1,0,0,0,3,1,0,0,0
"497",3,2,66,0,0.07697142,6.08,-6.5,-1,0,0,0,3,1,0,0,0
"504",3,2,69,0,0.0567,4.67,-5.30000000000001,-1,0,0,0,2,1,0,0,0
"511",3,2,72,0,0.04126719,3.67,-4.39999999999998,-1,0,0,0,2,1,0,0,0
"518",3,2,75,0,0.02977702,2.87,-3.69999999999999,-1,0,0,0,2,1,0,0,0
"525",3,2,77,0,0.02192598,2.27,-3.10000000000002,-1,0,0,0,2,1,0,0,0
"532",3,2,80,0,0.01643515,1.8,-2.69999999999999,-1,0,0,0,2,1,0,0,0
"539",3,2,83,0,0.01294648,1.42,-2.30000000000001,-1,0,0,0,4,1,0,0,0
"546",3,3,86,0,0.01110966,1.12,-2,-1,0,0,0,3,1,0,0,0
"553",3,3,89,0,0.01050713,0.88,-1.80000000000001,-1,0,0,0,3,1,0,0,0
"560",3,3,91,0,0.01084324,0.69,-1.60000000000002,-1,0,0,0,3,1,0,0,0
"567",3,3,94,0,0.01194628,0.55,-1.5,92,1,0,0,3,1,0,0,0
